traffic_id,line_id,traffic_date,total_ridership,peak_hour_ridership,off_peak_ridership,day_type
TD0085,L048,2025-01-04,10018,2457,5674,saturday
TD0086,L002,2024-08-01,931332,285858,489812,weekday
TD0087,L034,2025-09-21,140187,32144,57175,weekday
TD0088,L021,2025-04-25,684047,287067,509318,weekday
TD0089,L039,2025-07-23,46990,8935,22841,weekday
TD0090,L025,2024-03-25,33990,10126,23101,saturday
TD0091,L016,2024-04-30,1479860,242069,789112,sunday
TD0092,L013,2024-05-22,709760,100384,329197,sunday
TD0093,L008,2025-06-11,310595,56903,220251,saturday
TD0094,L008,2025-02-10,269451,106081,153688,weekday
TD0095,L014,2025-01-22,1562495,438255,775451,saturday
TD0096,L014,2024-07-01,1140041,298670,744460,sunday
TD0097,L027,2024-09-01,161065,39119,60521,weekday
TD0098,L009,2024-02-01,303013,43482,104668,weekday
TD0099,L039,2024-06-25,35317,10223,17001,saturday
TD0100,L052,2024-09-07,44181,8927,20098,weekday
TD0101,L051,2025-09-24,32255,6841,25036,weekday
TD0102,L020,2025-10-04,460381,72459,194899,sunday
TD0103,L030,2025-01-17,80460,24961,59236,weekday
TD0104,L009,2024-11-03,183290,58392,116366,weekday
TD0105,L029,2025-03-02,75742,20990,31347,weekday
TD0106,L009,2025-06-16,303758,42108,96469,weekday
TD0107,L007,2025-08-02,1393881,162634,557945,weekday
TD0108,L036,2024-12-30,43963,17697,30635,weekday
TD0109,L023,2024-09-08,145560,37904,84063,sunday
TD0110,L047,2025-09-21,45746,12141,25083,weekday
TD0111,L009,2024-03-04,235150,60098,109636,weekday
TD0112,L019,2024-06-15,1013139,219144,363604,weekday
TD0113,L008,2024-09-24,268209,104976,222151,weekday
TD0114,L022,2024-03-10,66829,9543,29475,weekday
TD0115,L001,2024-12-16,1137818,187706,499944,weekday
TD0116,L052,2024-08-12,37495,6461,21024,weekday
TD0117,L034,2024-06-20,166825,20761,73132,sunday
TD0118,L039,2025-02-15,32435,7695,17592,weekday
TD0119,L028,2025-04-01,126192,29029,77755,weekday
TD0120,L050,2025-04-28,30003,7522,22417,weekday
TD0121,L014,2024-11-01,1936319,285159,666616,weekday
TD0122,L015,2025-08-22,682429,185475,322964,weekday
TD0123,L037,2025-09-19,25373,5323,10793,weekday
TD0124,L009,2024-11-09,182569,46836,106886,saturday
TD0125,L049,2024-07-13,49595,8912,18038,saturday
TD0126,L003,2024-01-18,1497815,273011,604736,weekday
TD0127,L037,2025-10-22,16189,6088,8429,saturday
TD0128,L008,2024-08-08,294807,75915,190394,weekday
TD0129,L040,2025-02-09,38111,5075,19211,weekday
TD0130,L052,2024-08-20,41435,12350,18061,weekday
TD0131,L054,2024-11-14,22487,8545,13538,saturday
TD0132,L004,2025-10-30,634962,224356,428270,weekday
TD0133,L005,2024-11-12,1717170,348163,781549,weekday
TD0134,L043,2024-03-16,58464,17327,28442,weekday
TD0135,L021,2024-06-12,1121164,147210,565424,weekday
TD0136,L027,2025-07-04,126933,38679,54275,weekday
TD0137,L032,2024-07-28,41278,5786,16504,saturday
TD0138,L026,2025-05-08,64302,17447,37039,weekday
TD0139,L016,2025-10-16,1204960,345990,739644,sunday
TD0140,L006,2025-04-17,1133888,207561,527571,saturday
TD0141,L023,2025-03-23,156116,40118,77916,weekday
TD0142,L004,2025-03-29,816626,200582,507651,sunday
TD0143,L038,2024-11-02,60763,20071,36502,weekday
TD0144,L009,2024-01-09,270541,37031,96667,weekday
TD0145,L025,2025-04-12,40868,12805,19208,sunday
TD0146,L048,2025-11-28,10438,2923,6282,weekday
TD0147,L044,2024-08-11,52351,8121,19153,sunday
TD0148,L021,2025-03-16,923149,244228,506817,weekday
TD0149,L023,2025-03-25,200102,32773,86314,saturday
TD0150,L031,2025-11-16,162010,35538,82646,saturday
TD0151,L020,2024-04-08,492533,94787,207600,sunday
TD0152,L028,2024-10-25,120301,35891,55381,saturday
TD0153,L055,2025-10-26,55413,20268,40142,saturday
TD0154,L001,2025-05-10,1185168,298636,634774,saturday
TD0155,L014,2024-10-05,1180102,440158,783498,weekday
TD0156,L029,2025-10-24,66553,16701,35786,weekday
TD0157,L019,2024-12-10,1016172,140732,372615,sunday
TD0158,L012,2024-09-12,578555,148789,404068,sunday
TD0159,L015,2025-02-26,647185,169071,372028,weekday
TD0160,L016,2025-04-05,1330477,227050,872693,weekday
TD0161,L025,2024-02-23,57609,9717,26180,weekday
TD0162,L046,2025-05-17,26285,9797,17080,weekday
TD0163,L017,2025-01-06,618794,114927,280940,weekday
TD0164,L005,2025-07-21,1255702,323947,774014,weekday
TD0165,L023,2025-01-12,127124,33627,67009,sunday
TD0166,L026,2025-06-22,75384,10359,28832,weekday
TD0167,L005,2024-06-12,1734319,209867,586864,weekday
TD0168,L024,2024-09-14,125841,30015,49022,sunday
TD0169,L031,2025-09-24,188265,35666,113663,sunday
TD0170,L007,2024-02-04,1156618,236643,569635,weekday
TD0171,L009,2024-06-23,290200,64516,112425,weekday
TD0172,L040,2024-07-09,24333,5596,18228,sunday
TD0173,L030,2025-08-13,121701,29496,63315,saturday
TD0174,L038,2025-12-01,53879,19153,40422,saturday
TD0175,L030,2024-08-25,88340,30544,45757,sunday
TD0176,L003,2024-07-14,982711,324963,808135,weekday
TD0177,L051,2024-06-26,51165,12310,17971,weekday
TD0178,L008,2024-09-16,275311,59699,198870,saturday
TD0179,L013,2024-12-10,564472,156549,326721,weekday
TD0180,L043,2024-05-23,67326,11627,26695,weekday
TD0181,L017,2024-12-29,537400,133348,221652,sunday
TD0182,L048,2024-05-15,14178,1823,7161,weekday
TD0183,L050,2024-11-19,53579,10353,21329,weekday
TD0184,L051,2025-05-19,46030,10993,20369,saturday
TD0185,L017,2024-07-16,650743,121959,216972,weekday
TD0186,L007,2025-12-14,1345923,253744,487760,weekday
TD0187,L025,2024-03-03,60333,14109,26659,weekday
TD0188,L015,2025-07-12,822932,128532,434566,weekday
TD0189,L026,2024-09-30,54201,14152,35602,sunday
TD0190,L022,2024-12-31,55732,10318,33727,saturday
TD0191,L048,2024-06-28,10942,2610,6941,sunday
TD0192,L051,2025-12-25,38920,7270,22958,weekday
TD0193,L009,2025-03-16,285265,61783,125547,weekday
TD0194,L011,2024-04-09,549849,141362,257261,saturday
TD0195,L050,2024-02-22,53679,10174,19776,weekday
TD0196,L048,2025-11-06,11473,2516,6758,saturday
TD0197,L018,2025-03-15,823225,137468,344632,weekday
TD0198,L027,2024-03-27,140137,29555,72523,sunday
TD0199,L005,2025-01-06,1381414,271549,657193,saturday
TD0200,L006,2024-07-23,823682,167726,408039,weekday
TD0201,L024,2025-04-07,89008,20155,53049,saturday
TD0202,L005,2025-09-20,1705367,315991,578494,weekday
TD0203,L037,2025-04-24,26292,4124,8727,weekday
TD0204,L017,2024-12-22,494301,114387,273143,weekday
TD0205,L025,2024-08-07,33698,8817,26394,weekday
TD0206,L051,2025-05-31,36701,9538,20533,weekday
TD0207,L007,2024-07-25,881143,173134,525653,weekday
TD0208,L051,2024-10-09,37652,8641,20943,sunday
TD0209,L014,2025-11-01,1443454,304479,778097,weekday
TD0210,L025,2025-06-08,56072,10360,23809,weekday
TD0211,L013,2024-11-21,812702,147526,344415,weekday
TD0212,L009,2025-04-20,233551,62854,141897,weekday
TD0213,L032,2025-09-07,30018,9009,19725,saturday
TD0214,L042,2024-12-11,15358,3668,10113,saturday
TD0215,L030,2025-07-19,135152,25783,62255,saturday
TD0216,L016,2025-12-16,1293530,230640,753447,saturday
TD0217,L021,2024-11-13,783963,164359,537941,weekday
TD0218,L020,2025-08-10,465596,87191,246759,weekday
TD0219,L010,2025-09-12,81690,32390,63333,weekday
TD0220,L002,2025-05-25,1266990,182290,403609,weekday
TD0221,L048,2024-07-28,13219,2905,7203,weekday
TD0222,L046,2025-09-25,42600,6790,18258,weekday
TD0223,L049,2025-09-18,35881,9348,23063,sunday
TD0224,L006,2024-07-30,741326,264278,380939,weekday
TD0225,L052,2025-09-04,48087,11689,23062,weekday
TD0226,L054,2024-12-03,26578,7043,16066,sunday
TD0227,L032,2024-11-14,25118,8890,15101,saturday
TD0228,L018,2024-01-19,732107,139640,280082,weekday
TD0229,L029,2024-01-13,86240,17519,39691,weekday
TD0230,L039,2024-07-31,48009,6767,22062,weekday
TD0231,L046,2025-08-24,46504,5643,15996,weekday
TD0232,L039,2025-12-14,52440,12096,19294,weekday
TD0233,L008,2025-04-23,443391,61396,211906,sunday
TD0234,L049,2025-07-26,49325,9161,15997,weekday
TD0235,L026,2025-01-18,49912,19552,36326,sunday
TD0236,L022,2024-01-29,70413,13926,32588,saturday
TD0237,L008,2024-09-22,316740,93125,155975,saturday
TD0238,L015,2024-12-04,649459,179817,313601,weekday
TD0239,L029,2025-11-23,64336,13832,28675,sunday
TD0240,L023,2025-09-05,159507,28961,72510,weekday
TD0241,L039,2025-08-30,40018,12094,22956,sunday
TD0242,L043,2024-12-26,66597,16990,26467,saturday
TD0243,L040,2024-06-09,25298,5259,18279,weekday
TD0244,L027,2024-04-29,175262,32814,68439,weekday
TD0245,L034,2025-01-08,101681,31381,63329,weekday
TD0246,L055,2025-02-08,57319,16799,32262,weekday
TD0247,L041,2025-10-12,53234,17922,27954,sunday
TD0248,L013,2025-06-20,630497,181683,264924,weekday
TD0249,L048,2025-09-17,15471,3593,6857,saturday
TD0250,L039,2025-03-22,38202,9806,22046,weekday
TD0251,L039,2024-11-16,28950,10753,23328,weekday
TD0252,L053,2025-05-11,55395,13850,27040,saturday
TD0253,L050,2024-01-31,33631,7156,18790,weekday
TD0254,L030,2025-07-10,107542,32308,49866,sunday
TD0255,L055,2025-11-28,74342,13554,38841,weekday
TD0256,L016,2024-05-08,1754223,333735,596816,saturday
TD0257,L016,2025-12-16,1343683,433801,719971,weekday
TD0258,L055,2024-05-07,86344,20386,39817,saturday
TD0259,L017,2024-11-23,550650,127175,246276,saturday
TD0260,L049,2025-06-14,43244,8521,22240,saturday
TD0261,L045,2024-08-20,46260,15394,31175,weekday
TD0262,L030,2025-12-04,107116,20436,44196,weekday
TD0263,L018,2025-01-06,461531,148381,361506,weekday
TD0264,L054,2025-12-07,30664,8133,14808,sunday
TD0265,L011,2024-08-17,572123,105235,299325,weekday
TD0266,L035,2025-09-29,53672,11180,22839,weekday
TD0267,L007,2025-11-18,1243948,264067,575299,weekday
TD0268,L017,2025-03-06,587201,147719,237622,weekday
TD0269,L004,2024-04-20,763982,152292,408593,saturday
TD0270,L045,2024-02-21,73580,9478,30501,saturday
TD0271,L023,2025-09-19,140377,42587,87752,weekday
TD0272,L019,2025-01-02,730338,255610,512296,weekday
TD0273,L037,2024-12-08,14676,4945,10768,weekday
TD0274,L010,2024-01-31,118199,25340,58976,sunday
TD0275,L017,2025-08-12,430394,83922,298380,weekday
TD0276,L019,2025-09-29,1138902,265822,378067,weekday
TD0277,L055,2024-01-15,52549,12897,40598,weekday
TD0278,L054,2024-08-17,26720,8818,17109,sunday
TD0279,L036,2025-05-17,44318,14602,30492,sunday
TD0280,L030,2025-12-07,126639,24096,64024,weekday
TD0281,L033,2025-09-12,101621,17007,51756,sunday
TD0282,L027,2024-12-16,122610,25741,54932,saturday
TD0283,L051,2025-10-20,32078,10689,23523,weekday
TD0284,L026,2024-06-03,84153,11518,30139,weekday
TD0285,L010,2024-02-18,114630,30438,63939,sunday
TD0286,L023,2025-04-17,172006,41718,93505,weekday
TD0287,L018,2024-08-21,652466,112326,365982,weekday
TD0288,L043,2025-05-26,64433,18474,32650,weekday
TD0289,L055,2024-06-06,74131,14081,39279,saturday
TD0290,L008,2024-12-14,378761,74784,175947,weekday
TD0291,L027,2025-02-09,169255,30610,73455,saturday
TD0292,L035,2025-02-28,33741,9873,19267,weekday
TD0293,L031,2025-02-09,152462,37618,108813,weekday
TD0294,L055,2024-02-04,55801,20421,36268,weekday
TD0295,L035,2025-06-25,45621,9144,25293,weekday
TD0296,L035,2024-05-10,37152,13178,24729,weekday
TD0297,L028,2025-09-05,160639,25778,63427,weekday
TD0298,L018,2025-01-28,642640,172465,276919,weekday
TD0299,L055,2024-04-09,52877,12756,32990,sunday
TD0300,L019,2025-02-06,838883,204065,507247,weekday
TD0301,L041,2024-12-05,78179,14098,25025,saturday
TD0302,L028,2024-03-13,129856,22399,58531,weekday
TD0303,L047,2024-07-07,54108,12020,19306,sunday
TD0304,L008,2025-02-16,331274,89632,182029,saturday
TD0305,L032,2024-12-10,36721,7896,17323,weekday
TD0306,L031,2024-03-09,167082,41983,115364,weekday
TD0307,L036,2025-01-04,49108,10019,34594,weekday
TD0308,L024,2025-11-12,74528,28604,59230,weekday
TD0309,L038,2024-05-08,66152,16887,28876,weekday
TD0310,L028,2024-04-06,161780,33183,76801,sunday
TD0311,L004,2025-09-03,1015781,162823,455049,weekday
TD0312,L035,2025-09-20,37140,6853,23757,weekday
TD0313,L022,2024-05-10,80850,15845,34249,weekday
TD0314,L049,2024-12-08,41201,9351,17894,weekday
TD0315,L033,2025-06-04,92837,19094,51519,weekday
TD0316,L021,2025-05-03,731165,260631,427923,weekday
TD0317,L017,2024-09-25,540906,90999,268680,sunday
TD0318,L045,2025-03-16,58298,8596,28710,saturday
TD0319,L043,2024-08-29,54232,12644,25846,weekday
TD0320,L046,2024-02-20,32162,9684,16474,weekday
TD0321,L019,2024-09-30,867773,201756,467349,saturday
TD0322,L006,2025-03-05,987230,244998,499329,weekday
TD0323,L032,2025-11-02,34224,7489,15258,weekday
TD0324,L042,2024-08-13,27249,4638,9001,weekday
TD0325,L015,2024-08-23,814481,129987,382270,saturday
TD0326,L049,2025-02-14,47489,7433,19618,weekday
TD0327,L055,2024-10-12,66225,20128,39696,weekday
TD0328,L032,2025-10-28,37844,5165,15646,weekday
TD0329,L024,2025-05-26,99159,17250,46324,weekday
TD0330,L049,2025-12-22,31500,7072,22052,weekday
TD0331,L028,2024-09-27,116797,24649,59600,weekday
TD0332,L032,2025-04-23,23538,7406,15221,weekday
TD0333,L025,2024-12-31,37921,8053,24879,weekday
TD0334,L004,2024-02-11,928151,197050,359172,weekday
TD0335,L042,2025-02-26,16491,4695,12121,weekday
TD0336,L025,2025-03-15,37454,7672,27385,saturday
TD0337,L002,2025-01-14,1055201,167723,455843,sunday
TD0338,L050,2024-02-16,54291,8079,22921,sunday
TD0339,L010,2024-03-22,115613,24713,58108,weekday
TD0340,L022,2024-03-31,47753,10843,34965,weekday
TD0341,L042,2024-05-01,18794,4684,10090,saturday
TD0342,L002,2024-12-15,1016774,216000,463008,weekday
TD0343,L005,2025-06-25,1295834,289052,807587,weekday
TD0344,L001,2025-05-03,883970,337019,630249,weekday
TD0345,L021,2025-06-02,776146,225683,456818,saturday
TD0346,L013,2024-05-17,818655,162599,334734,weekday
TD0347,L031,2024-05-06,249122,55568,101363,saturday
TD0348,L044,2025-11-22,43438,6265,20417,weekday
TD0349,L011,2024-03-23,558739,123475,290510,weekday
TD0350,L002,2024-08-25,691809,270750,471734,weekday
TD0351,L039,2024-08-13,43593,8326,19760,sunday
TD0352,L042,2025-12-29,14916,4634,10037,saturday
TD0353,L051,2024-08-13,35891,11196,18709,weekday
TD0354,L039,2024-01-03,37879,6374,18629,weekday
TD0355,L046,2024-04-25,28063,7935,20201,weekday
TD0356,L007,2024-03-16,1262092,236997,453882,weekday
TD0357,L047,2025-04-25,38986,9945,25780,saturday
TD0358,L054,2024-08-26,29161,7554,14531,weekday
TD0359,L036,2024-11-03,64229,18311,27396,weekday
TD0360,L027,2025-06-29,95653,21380,72072,weekday
TD0361,L015,2025-07-29,719121,208083,371898,weekday
TD0362,L022,2025-07-21,48048,13778,36622,weekday
TD0363,L017,2025-03-20,504882,85478,235016,saturday
TD0364,L010,2024-04-11,127676,27866,48943,weekday
TD0365,L053,2025-11-24,62377,11068,31176,weekday
TD0366,L038,2025-06-18,87584,11557,31021,saturday
TD0367,L020,2024-04-14,538326,88624,210101,sunday
TD0368,L023,2024-09-19,167952,39356,76575,sunday
TD0369,L046,2024-06-11,44946,10684,19967,weekday
TD0370,L032,2025-12-26,42998,6198,15760,weekday
TD0371,L049,2024-12-13,44105,6658,21872,sunday
TD0372,L042,2024-12-18,19128,3960,12607,weekday
TD0373,L026,2025-11-21,58571,11784,30662,sunday
TD0374,L052,2025-04-12,46704,9232,22815,weekday
TD0375,L001,2024-04-19,886990,221504,592143,weekday
TD0376,L007,2024-07-18,914029,226430,479758,weekday
TD0377,L028,2025-10-03,167220,29895,64048,saturday
TD0378,L008,2025-11-07,482525,84301,205198,weekday
TD0379,L027,2025-06-24,170153,40205,75948,saturday
TD0380,L032,2024-10-17,31842,8335,16967,weekday
TD0381,L048,2025-04-25,13114,2086,6375,weekday
TD0382,L031,2025-05-26,174040,41324,86365,sunday
TD0383,L052,2025-12-27,41559,11094,17059,sunday
TD0384,L028,2025-09-03,136861,25818,66426,weekday
TD0385,L008,2025-10-02,286279,60121,186702,weekday
TD0386,L039,2024-08-23,41403,6842,19697,weekday
TD0387,L023,2025-03-22,166386,40845,71758,weekday
TD0388,L045,2025-07-05,63107,13250,29184,weekday
TD0389,L020,2025-11-14,434367,94191,241323,weekday
TD0390,L012,2025-07-03,688149,185115,320343,weekday
TD0391,L008,2024-09-03,416302,86863,183591,weekday
TD0392,L039,2025-08-20,46050,6988,19278,sunday
TD0393,L003,2025-04-22,1328734,368133,691822,saturday
TD0394,L002,2024-11-01,1014910,270792,481552,sunday
TD0395,L040,2025-09-25,24693,5746,19179,sunday
TD0396,L042,2024-10-02,15016,3691,12246,weekday
TD0397,L030,2024-08-28,125652,27193,56125,weekday
TD0398,L002,2024-05-28,1197681,275900,561044,weekday
TD0399,L002,2025-07-19,825731,285720,414607,weekday
TD0400,L002,2024-09-21,1256853,202336,405034,saturday
TD0401,L048,2024-12-22,11106,3575,5221,saturday
TD0402,L032,2025-10-07,23418,5206,19293,saturday
TD0403,L050,2025-04-15,32087,7404,20474,weekday
TD0404,L037,2025-05-01,21029,3396,11837,weekday
TD0405,L036,2025-08-13,71065,17555,25717,weekday
TD0406,L028,2024-08-03,155832,28396,66789,weekday
TD0407,L043,2024-06-17,67325,10920,30072,weekday
TD0408,L044,2024-05-21,52565,9017,17242,weekday
TD0409,L025,2025-12-13,37184,12201,24758,weekday
TD0410,L045,2024-09-17,71595,10392,22881,weekday
TD0411,L045,2024-06-30,66309,13531,24232,saturday
TD0412,L046,2024-04-09,40291,5760,21524,sunday
TD0413,L036,2024-06-04,57706,9938,25421,weekday
TD0414,L054,2025-02-21,28797,5027,16303,weekday
TD0415,L013,2024-10-11,571115,109836,344474,sunday
TD0416,L035,2024-10-11,51126,8519,24718,sunday
TD0417,L027,2024-07-28,126085,24257,72419,saturday
TD0418,L005,2024-02-20,1612894,369254,580920,weekday
TD0419,L024,2024-08-22,81294,27274,48999,sunday
TD0420,L004,2024-11-09,1005118,236856,371073,weekday
TD0421,L032,2025-08-22,38591,8994,14560,saturday
TD0422,L025,2024-02-27,49364,11122,28147,weekday
TD0423,L045,2024-06-17,46470,13178,30839,weekday
TD0424,L028,2025-01-27,161132,37957,76921,weekday
TD0425,L035,2024-06-07,38063,9983,25159,weekday
TD0426,L005,2025-10-07,1026890,241200,591670,weekday
TD0427,L008,2024-11-10,427746,64107,173131,weekday
TD0428,L043,2025-12-07,62322,17339,31495,weekday
TD0429,L045,2025-12-27,72409,14032,31912,saturday
TD0430,L009,2024-09-02,226869,67516,124457,weekday
TD0431,L019,2025-10-02,887025,178611,520678,sunday
TD0432,L053,2025-11-08,40019,14677,21730,weekday
TD0433,L045,2024-04-25,49344,12790,23074,saturday
TD0434,L027,2024-03-21,159365,22110,67359,weekday
TD0435,L029,2025-03-11,88263,16481,33686,weekday
TD0436,L019,2024-06-22,894654,195386,535498,weekday
TD0437,L007,2025-01-22,1040625,171482,607259,saturday
TD0438,L007,2024-12-22,852132,265187,581059,weekday
TD0439,L011,2025-11-18,500091,107196,354174,weekday
TD0440,L010,2024-11-12,114327,20751,46046,saturday
TD0441,L009,2025-11-30,271284,45596,95794,weekday
TD0442,L027,2025-11-16,161183,23225,75265,weekday
TD0443,L052,2024-07-24,53082,7948,21991,sunday
TD0444,L025,2024-03-05,40582,10972,20659,weekday
TD0445,L007,2024-07-15,1372606,294782,512786,weekday
TD0446,L032,2024-12-16,42745,5650,18053,weekday
TD0447,L013,2024-02-08,597484,130772,369957,weekday
TD0448,L003,2024-01-13,1462776,252041,569901,weekday
TD0449,L002,2024-12-24,1027597,240459,398021,weekday
TD0450,L017,2025-09-19,492829,150323,290507,weekday
TD0451,L039,2024-02-12,51163,11165,22498,weekday
TD0452,L025,2024-06-18,56674,10597,21574,weekday
TD0453,L046,2024-04-05,36968,6696,18560,sunday
TD0454,L055,2025-12-02,57603,18485,35662,sunday
TD0455,L047,2025-11-15,51218,7230,21396,weekday
TD0456,L046,2024-07-15,44224,9718,18001,weekday
TD0457,L004,2024-02-26,1058438,204531,454013,sunday
TD0458,L024,2025-12-07,101043,27756,46430,weekday
TD0459,L017,2024-12-14,393535,136233,248752,weekday
TD0460,L052,2025-03-12,34219,8261,20089,weekday
TD0461,L023,2024-08-01,184277,37882,76173,weekday
TD0462,L014,2024-07-11,1746704,337834,679549,weekday
TD0463,L049,2024-09-01,39502,7885,20713,weekday
TD0464,L003,2025-07-30,1402151,365438,555063,sunday
TD0465,L035,2025-05-19,51400,11024,27047,weekday
TD0466,L021,2025-02-11,1162762,221762,391888,sunday
TD0467,L027,2025-01-04,127820,25693,59598,weekday
TD0468,L001,2025-03-08,1182782,292442,468865,weekday
TD0469,L039,2024-08-30,47135,9882,18896,saturday
TD0470,L015,2025-12-05,698683,169371,331750,weekday
TD0471,L055,2025-01-11,70242,13421,37008,weekday
TD0472,L020,2024-01-28,544715,72275,171344,weekday
TD0473,L045,2024-12-16,48315,12874,28863,saturday
TD0474,L024,2025-04-02,94686,27719,60280,weekday
TD0475,L029,2024-07-26,85710,14943,35530,weekday
TD0476,L049,2024-01-24,35268,6172,19518,sunday
TD0477,L021,2024-01-15,758646,181632,485246,weekday
TD0478,L041,2025-05-11,60959,10035,34840,weekday
TD0479,L039,2025-11-02,41818,10313,22689,weekday
TD0480,L010,2024-04-10,137355,29505,59203,sunday
TD0481,L024,2024-08-12,99912,15386,47847,weekday
TD0482,L036,2025-01-12,75269,18338,27431,weekday
TD0483,L045,2024-07-27,41278,13933,27786,weekday
TD0484,L020,2024-03-26,317641,125064,192840,weekday
TD0485,L023,2025-09-24,216620,27326,91873,weekday
TD0486,L038,2024-03-08,80834,18467,38078,sunday
TD0487,L018,2025-12-18,712649,102966,343537,weekday
TD0488,L012,2025-05-14,714850,208540,308922,weekday
TD0489,L032,2025-12-12,39130,7944,15577,weekday
TD0490,L008,2025-06-08,337724,110131,198831,weekday
TD0491,L008,2024-02-08,333197,109386,224570,sunday
TD0492,L028,2024-07-18,120129,19874,54428,weekday
TD0493,L052,2024-01-28,32032,9844,18564,weekday
TD0494,L026,2025-12-10,66452,16599,35193,sunday
