trip_id,line_id,vehicle_id,direction,trip_date,departure_time,arrival_time,trip_duration_min,status
TR00052,L011,VH0027,outbound,2024-12-09,10:16:00,23:47:00,47,completed
TR00053,L025,VH0088,outbound,2024-09-06,07:16:00,18:12:00,38,delayed
TR00054,L003,VH0068,inbound,2025-04-25,17:09:00,22:35:00,69,in_progress
TR00055,L049,VH0054,outbound,2025-02-16,14:18:00,15:40:00,78,completed
TR00056,L001,VH0081,inbound,2024-09-29,09:05:00,16:46:00,71,in_progress
TR00057,L052,VH0028,outbound,2025-07-19,08:10:00,08:24:00,15,completed
TR00058,L022,VH0082,inbound,2025-07-24,13:49:00,15:31:00,49,cancelled
TR00059,L041,VH0108,inbound,2025-06-22,20:56:00,05:49:00,40,completed
TR00060,L051,VH0072,inbound,2024-10-27,18:26:00,14:26:00,42,cancelled
TR00061,L010,VH0102,inbound,2024-12-10,05:35:00,21:07:00,32,cancelled
TR00062,L008,VH0106,inbound,2024-03-22,19:52:00,13:32:00,52,in_progress
TR00063,L031,VH0048,inbound,2025-01-01,13:18:00,23:17:00,29,delayed
TR00064,L025,VH0020,inbound,2024-07-17,19:30:00,14:15:00,65,delayed
TR00065,L008,VH0087,inbound,2025-02-16,07:26:00,10:38:00,71,completed
TR00066,L016,VH0052,outbound,2025-08-23,14:50:00,19:54:00,66,delayed
TR00067,L040,VH0103,inbound,2025-09-23,23:13:00,10:05:00,33,in_progress
TR00068,L031,VH0090,outbound,2025-05-26,12:26:00,08:14:00,51,completed
TR00069,L024,VH0003,outbound,2024-10-20,06:10:00,08:10:00,55,delayed
TR00070,L021,VH0068,outbound,2024-03-27,09:29:00,23:49:00,73,completed
TR00071,L053,VH0070,outbound,2025-11-30,05:13:00,19:36:00,26,delayed
TR00072,L011,VH0073,inbound,2024-05-23,13:19:00,08:33:00,73,cancelled
TR00073,L011,VH0006,outbound,2025-09-01,11:24:00,12:14:00,82,cancelled
TR00074,L024,VH0058,inbound,2025-04-30,18:35:00,11:12:00,54,completed
TR00075,L019,VH0106,inbound,2024-12-11,07:06:00,17:41:00,21,completed
TR00076,L021,VH0098,outbound,2024-08-24,23:50:00,15:27:00,41,in_progress
TR00077,L013,VH0005,outbound,2025-07-17,21:22:00,21:52:00,66,in_progress
TR00078,L020,VH0101,inbound,2025-12-15,11:17:00,15:18:00,23,completed
TR00079,L017,VH0051,outbound,2024-06-02,17:20:00,17:12:00,31,completed
TR00080,L014,VH0016,outbound,2025-05-12,10:22:00,17:11:00,86,completed
TR00081,L009,VH0053,inbound,2025-12-07,21:11:00,14:34:00,61,delayed
TR00082,L017,VH0066,outbound,2024-06-03,07:43:00,16:40:00,89,completed
TR00083,L009,VH0103,outbound,2025-01-16,12:07:00,09:46:00,56,delayed
TR00084,L052,VH0059,inbound,2025-11-04,14:51:00,17:11:00,69,completed
TR00085,L029,VH0117,inbound,2025-02-03,06:40:00,16:26:00,15,completed
TR00086,L055,VH0023,outbound,2024-11-26,09:01:00,19:28:00,85,completed
TR00087,L036,VH0076,outbound,2025-07-23,09:59:00,18:52:00,68,delayed
TR00088,L040,VH0046,outbound,2024-01-10,09:04:00,23:53:00,74,completed
TR00089,L011,VH0017,outbound,2024-06-16,15:03:00,13:22:00,64,completed
TR00090,L049,VH0022,inbound,2024-03-14,18:59:00,10:17:00,55,completed
TR00091,L001,VH0035,outbound,2024-09-23,07:41:00,15:18:00,52,completed
TR00092,L013,VH0108,inbound,2024-11-02,19:25:00,12:22:00,37,cancelled
TR00093,L026,VH0040,outbound,2024-05-01,05:41:00,19:27:00,77,completed
TR00094,L046,VH0030,outbound,2024-09-10,12:47:00,07:52:00,63,completed
TR00095,L023,VH0098,outbound,2025-01-11,14:15:00,23:18:00,55,in_progress
TR00096,L008,VH0022,outbound,2025-06-23,05:56:00,15:37:00,31,completed
TR00097,L006,VH0069,outbound,2025-04-24,05:35:00,20:36:00,37,completed
TR00098,L048,VH0029,outbound,2025-10-02,20:30:00,22:34:00,20,completed
TR00099,L013,VH0005,outbound,2024-04-17,21:41:00,22:08:00,61,completed
TR00100,L012,VH0104,outbound,2024-12-27,23:09:00,16:02:00,57,completed
TR00101,L018,VH0085,inbound,2025-04-29,22:06:00,17:35:00,89,cancelled
TR00102,L004,VH0059,outbound,2024-03-12,15:04:00,18:14:00,57,cancelled
TR00103,L010,VH0113,outbound,2025-08-20,19:15:00,14:04:00,49,completed
TR00104,L025,VH0043,inbound,2025-12-20,21:43:00,19:57:00,41,in_progress
TR00105,L041,VH0096,inbound,2025-04-18,12:53:00,14:44:00,43,completed
TR00106,L019,VH0005,outbound,2025-05-05,10:36:00,23:18:00,37,completed
TR00107,L016,VH0040,inbound,2025-12-28,19:17:00,06:40:00,69,completed
TR00108,L008,VH0059,outbound,2025-01-07,17:32:00,13:48:00,83,cancelled
TR00109,L053,VH0097,outbound,2024-01-05,15:34:00,10:40:00,71,completed
TR00110,L017,VH0036,inbound,2024-06-22,22:01:00,11:23:00,85,completed
TR00111,L020,VH0055,outbound,2024-04-06,09:16:00,19:13:00,47,delayed
TR00112,L002,VH0040,inbound,2024-11-22,13:58:00,18:55:00,40,completed
TR00113,L027,VH0098,outbound,2024-06-23,23:34:00,10:40:00,39,cancelled
TR00114,L055,VH0036,outbound,2025-11-25,05:22:00,22:10:00,56,cancelled
TR00115,L004,VH0058,outbound,2025-02-09,22:41:00,10:51:00,78,completed
TR00116,L020,VH0100,outbound,2025-02-16,07:05:00,17:52:00,19,in_progress
TR00117,L015,VH0024,outbound,2025-06-06,18:53:00,17:42:00,68,delayed
TR00118,L008,VH0039,outbound,2025-06-15,15:51:00,12:58:00,40,in_progress
TR00119,L009,VH0079,outbound,2025-03-30,05:45:00,10:07:00,76,completed
TR00120,L045,VH0042,inbound,2024-08-05,23:26:00,16:17:00,82,completed
TR00121,L031,VH0047,outbound,2024-06-20,23:19:00,14:57:00,24,delayed
TR00122,L017,VH0005,outbound,2025-05-04,05:21:00,17:15:00,15,completed
TR00123,L047,VH0084,outbound,2025-05-29,11:06:00,13:24:00,51,completed
TR00124,L017,VH0006,inbound,2024-01-10,19:17:00,23:30:00,36,completed
TR00125,L046,VH0019,inbound,2024-07-29,17:36:00,22:59:00,32,in_progress
TR00126,L026,VH0113,inbound,2025-02-26,20:56:00,12:45:00,72,cancelled
TR00127,L019,VH0019,inbound,2024-10-23,06:21:00,10:04:00,54,delayed
TR00128,L022,VH0001,inbound,2025-04-21,16:38:00,11:13:00,30,cancelled
TR00129,L026,VH0105,inbound,2024-11-08,13:28:00,20:17:00,15,completed
TR00130,L049,VH0037,outbound,2025-02-12,07:02:00,14:57:00,21,completed
TR00131,L014,VH0056,outbound,2024-06-30,13:39:00,11:06:00,79,completed
TR00132,L032,VH0013,outbound,2024-06-30,09:32:00,18:57:00,68,in_progress
TR00133,L045,VH0008,outbound,2025-08-04,21:05:00,07:41:00,64,in_progress
TR00134,L043,VH0018,outbound,2024-04-11,10:40:00,19:21:00,40,completed
TR00135,L035,VH0016,outbound,2024-02-26,16:23:00,17:24:00,16,in_progress
TR00136,L022,VH0060,outbound,2024-09-24,17:11:00,11:58:00,67,in_progress
TR00137,L015,VH0114,outbound,2024-02-01,08:20:00,14:18:00,81,delayed
TR00138,L051,VH0103,inbound,2025-11-21,05:36:00,20:42:00,46,in_progress
TR00139,L019,VH0114,outbound,2024-01-14,08:10:00,09:51:00,44,completed
TR00140,L019,VH0086,inbound,2025-02-10,21:11:00,11:32:00,74,cancelled
TR00141,L050,VH0096,inbound,2024-07-14,07:31:00,08:08:00,34,cancelled
TR00142,L036,VH0080,inbound,2024-02-29,07:29:00,19:11:00,18,cancelled
TR00143,L042,VH0038,outbound,2024-07-20,18:19:00,16:30:00,78,cancelled
TR00144,L043,VH0043,inbound,2024-09-12,23:47:00,22:06:00,69,cancelled
TR00145,L049,VH0108,outbound,2024-01-09,09:31:00,11:49:00,79,completed
TR00146,L017,VH0026,inbound,2025-01-07,19:35:00,14:16:00,43,cancelled
TR00147,L026,VH0100,outbound,2025-01-21,10:28:00,09:23:00,57,completed
TR00148,L039,VH0091,inbound,2024-01-05,10:26:00,10:45:00,78,completed
TR00149,L016,VH0109,inbound,2025-10-27,17:24:00,19:57:00,79,completed
TR00150,L008,VH0093,outbound,2024-07-23,10:04:00,05:01:00,22,completed
TR00151,L007,VH0080,outbound,2024-01-23,05:18:00,07:19:00,46,completed
TR00152,L046,VH0045,outbound,2025-09-09,15:31:00,14:55:00,77,delayed
TR00153,L050,VH0012,outbound,2025-07-31,08:07:00,09:54:00,54,cancelled
TR00154,L011,VH0016,inbound,2024-03-20,07:25:00,16:05:00,73,delayed
TR00155,L037,VH0069,outbound,2024-08-19,06:57:00,14:37:00,81,delayed
TR00156,L014,VH0047,outbound,2024-07-17,10:47:00,06:55:00,44,completed
TR00157,L036,VH0028,inbound,2025-03-26,21:53:00,13:56:00,50,delayed
TR00158,L023,VH0038,outbound,2024-04-24,08:24:00,21:15:00,82,delayed
TR00159,L005,VH0012,inbound,2024-06-16,14:08:00,05:43:00,25,cancelled
TR00160,L007,VH0045,outbound,2024-05-13,06:50:00,09:21:00,49,in_progress
TR00161,L051,VH0024,outbound,2025-05-26,06:15:00,18:09:00,54,completed
TR00162,L012,VH0043,inbound,2025-01-16,15:07:00,23:55:00,35,completed
TR00163,L052,VH0009,outbound,2024-05-30,23:32:00,19:08:00,77,cancelled
TR00164,L022,VH0031,inbound,2024-09-08,10:09:00,05:55:00,85,completed
TR00165,L037,VH0035,outbound,2025-02-10,11:23:00,18:25:00,83,in_progress
TR00166,L049,VH0097,outbound,2024-11-12,15:31:00,09:02:00,27,in_progress
TR00167,L046,VH0002,outbound,2025-10-07,07:06:00,10:17:00,83,completed
TR00168,L032,VH0057,outbound,2025-05-11,05:02:00,12:53:00,52,completed
TR00169,L030,VH0042,outbound,2025-10-28,09:35:00,14:34:00,83,completed
TR00170,L034,VH0112,inbound,2024-05-27,16:04:00,05:44:00,51,completed
TR00171,L049,VH0040,outbound,2025-07-30,22:23:00,14:24:00,18,in_progress
TR00172,L014,VH0063,outbound,2025-07-26,14:06:00,09:26:00,33,completed
TR00173,L049,VH0058,inbound,2024-09-20,14:41:00,08:45:00,55,in_progress
TR00174,L018,VH0076,outbound,2024-07-13,23:30:00,13:21:00,16,in_progress
TR00175,L045,VH0048,inbound,2024-02-02,05:02:00,10:39:00,82,delayed
TR00176,L025,VH0078,outbound,2025-05-06,23:21:00,15:25:00,69,in_progress
TR00177,L009,VH0002,outbound,2024-08-08,08:59:00,20:14:00,17,in_progress
TR00178,L028,VH0070,outbound,2024-01-29,16:42:00,08:45:00,64,completed
TR00179,L034,VH0117,outbound,2024-09-21,19:08:00,18:55:00,87,completed
TR00180,L002,VH0064,outbound,2024-08-11,10:59:00,11:21:00,87,completed
TR00181,L035,VH0020,inbound,2025-01-23,10:35:00,15:44:00,79,completed
TR00182,L025,VH0024,inbound,2024-10-10,21:06:00,14:56:00,25,delayed
TR00183,L044,VH0110,outbound,2025-01-06,12:45:00,22:08:00,51,completed
TR00184,L033,VH0035,inbound,2025-09-12,15:26:00,08:11:00,19,delayed
TR00185,L036,VH0044,inbound,2024-06-01,17:46:00,11:26:00,64,completed
TR00186,L055,VH0070,inbound,2024-01-14,13:14:00,22:48:00,65,delayed
TR00187,L042,VH0050,outbound,2025-06-30,05:46:00,05:56:00,68,completed
TR00188,L024,VH0046,inbound,2024-09-10,07:18:00,11:56:00,64,in_progress
TR00189,L037,VH0011,inbound,2024-11-14,19:17:00,20:57:00,60,cancelled
TR00190,L027,VH0002,outbound,2024-06-20,11:46:00,07:16:00,74,completed
TR00191,L001,VH0039,outbound,2025-12-29,15:07:00,22:32:00,61,completed
TR00192,L031,VH0025,outbound,2025-03-16,10:03:00,12:47:00,66,delayed
TR00193,L021,VH0023,inbound,2024-01-31,08:46:00,17:40:00,81,cancelled
TR00194,L053,VH0037,outbound,2024-12-08,20:49:00,17:22:00,15,delayed
TR00195,L028,VH0035,outbound,2025-09-19,19:34:00,19:29:00,77,delayed
TR00196,L019,VH0051,outbound,2024-07-24,07:53:00,08:45:00,35,completed
TR00197,L029,VH0103,inbound,2025-01-11,09:45:00,20:41:00,60,in_progress
TR00198,L051,VH0034,outbound,2025-12-15,16:30:00,12:41:00,74,in_progress
TR00199,L026,VH0112,inbound,2024-08-03,09:02:00,13:19:00,73,delayed
TR00200,L038,VH0038,outbound,2024-12-25,15:27:00,12:01:00,39,cancelled
TR00201,L045,VH0116,outbound,2024-04-07,22:50:00,10:57:00,52,in_progress
TR00202,L004,VH0005,outbound,2024-08-03,21:42:00,06:51:00,84,delayed
TR00203,L050,VH0027,inbound,2024-10-30,19:26:00,05:34:00,87,delayed
TR00204,L037,VH0015,inbound,2025-12-28,16:40:00,08:53:00,76,in_progress
TR00205,L013,VH0058,inbound,2024-11-03,07:37:00,23:38:00,68,delayed
TR00206,L032,VH0089,inbound,2025-06-21,12:15:00,05:53:00,15,in_progress
TR00207,L055,VH0067,outbound,2024-01-09,09:19:00,07:26:00,27,cancelled
TR00208,L015,VH0107,inbound,2024-11-20,16:48:00,19:25:00,24,in_progress
TR00209,L001,VH0085,outbound,2024-10-19,21:07:00,23:24:00,27,completed
TR00210,L012,VH0116,inbound,2024-04-15,16:44:00,22:32:00,38,in_progress
TR00211,L010,VH0083,outbound,2025-03-20,21:20:00,06:45:00,59,completed
TR00212,L023,VH0074,inbound,2025-07-20,11:58:00,10:33:00,24,delayed
TR00213,L053,VH0017,inbound,2025-11-08,05:40:00,16:34:00,28,delayed
TR00214,L050,VH0035,inbound,2024-07-25,07:42:00,13:13:00,15,cancelled
TR00215,L044,VH0030,inbound,2025-12-08,12:07:00,08:33:00,38,completed
TR00216,L002,VH0065,outbound,2025-11-06,19:56:00,08:12:00,77,in_progress
TR00217,L032,VH0118,outbound,2024-10-28,18:12:00,05:45:00,85,completed
TR00218,L017,VH0118,outbound,2025-07-14,15:36:00,07:57:00,43,delayed
TR00219,L040,VH0083,outbound,2024-04-17,16:23:00,19:40:00,62,completed
TR00220,L017,VH0080,inbound,2025-05-04,06:56:00,14:51:00,15,in_progress
TR00221,L036,VH0028,outbound,2025-02-01,23:58:00,07:50:00,77,completed
TR00222,L020,VH0072,inbound,2024-02-18,05:21:00,22:30:00,66,cancelled
TR00223,L040,VH0103,inbound,2024-05-07,07:51:00,14:45:00,38,completed
TR00224,L023,VH0006,inbound,2024-10-30,20:04:00,19:06:00,35,completed
TR00225,L013,VH0051,inbound,2025-11-12,11:23:00,20:17:00,88,delayed
TR00226,L002,VH0112,outbound,2025-02-24,08:28:00,08:39:00,15,completed
TR00227,L046,VH0071,inbound,2025-09-15,10:41:00,11:36:00,77,delayed
TR00228,L053,VH0015,outbound,2025-09-18,22:28:00,05:58:00,77,completed
TR00229,L027,VH0012,inbound,2024-04-23,16:01:00,15:50:00,28,completed
TR00230,L049,VH0051,outbound,2025-04-03,11:47:00,16:39:00,86,in_progress
TR00231,L042,VH0039,outbound,2025-10-08,15:37:00,17:42:00,87,cancelled
TR00232,L005,VH0064,inbound,2025-07-21,18:28:00,12:34:00,70,cancelled
TR00233,L004,VH0028,outbound,2025-07-12,19:27:00,09:33:00,73,cancelled
TR00234,L018,VH0010,inbound,2025-04-26,16:11:00,20:52:00,57,completed
TR00235,L014,VH0115,outbound,2025-10-18,21:33:00,11:54:00,39,completed
TR00236,L005,VH0108,inbound,2024-08-10,08:11:00,17:30:00,29,completed
TR00237,L010,VH0089,inbound,2025-09-22,16:32:00,16:37:00,18,completed
TR00238,L048,VH0086,outbound,2024-03-31,17:14:00,05:14:00,55,completed
TR00239,L050,VH0046,inbound,2025-03-27,16:47:00,22:33:00,29,completed
TR00240,L033,VH0060,outbound,2025-08-08,16:00:00,15:34:00,81,completed
TR00241,L027,VH0097,outbound,2025-07-07,10:44:00,08:11:00,76,cancelled
TR00242,L010,VH0022,outbound,2025-02-06,15:05:00,08:43:00,77,completed
TR00243,L035,VH0090,outbound,2025-01-02,22:29:00,09:04:00,88,delayed
TR00244,L039,VH0091,outbound,2025-01-12,08:31:00,17:49:00,22,completed
TR00245,L035,VH0107,inbound,2024-08-24,13:48:00,12:06:00,47,completed
TR00246,L009,VH0061,outbound,2025-04-09,22:29:00,21:44:00,61,in_progress
TR00247,L048,VH0098,outbound,2025-12-27,06:38:00,14:54:00,58,completed
TR00248,L012,VH0057,inbound,2024-02-27,12:37:00,17:23:00,19,completed
TR00249,L020,VH0033,outbound,2024-11-24,08:59:00,16:31:00,86,cancelled
TR00250,L025,VH0092,inbound,2025-08-10,12:39:00,10:15:00,64,completed
TR00251,L012,VH0085,inbound,2025-05-07,05:01:00,06:39:00,30,cancelled
TR00252,L031,VH0001,outbound,2024-06-30,14:01:00,17:20:00,44,completed
TR00253,L027,VH0013,inbound,2024-10-28,22:42:00,15:04:00,37,completed
TR00254,L026,VH0090,outbound,2024-01-02,16:57:00,21:10:00,60,completed
TR00255,L042,VH0109,outbound,2025-09-25,15:31:00,15:51:00,45,completed
TR00256,L046,VH0055,inbound,2025-03-16,18:02:00,12:07:00,21,completed
TR00257,L007,VH0046,outbound,2025-03-22,14:00:00,20:12:00,61,cancelled
TR00258,L055,VH0089,inbound,2025-07-03,16:53:00,09:56:00,47,completed
TR00259,L037,VH0021,outbound,2025-10-29,20:41:00,23:36:00,77,completed
TR00260,L044,VH0007,outbound,2025-11-30,12:41:00,22:38:00,49,completed
TR00261,L012,VH0008,inbound,2024-10-10,22:32:00,23:19:00,45,completed
TR00262,L004,VH0095,outbound,2024-01-08,06:15:00,22:31:00,65,completed
TR00263,L045,VH0074,inbound,2024-05-04,21:08:00,17:47:00,58,in_progress
TR00264,L034,VH0007,outbound,2025-04-25,08:33:00,15:25:00,40,completed
TR00265,L033,VH0101,outbound,2024-08-04,13:00:00,20:35:00,74,delayed
TR00266,L010,VH0061,inbound,2024-07-07,09:11:00,13:45:00,88,in_progress
TR00267,L048,VH0045,outbound,2024-11-01,18:34:00,20:49:00,55,completed
TR00268,L029,VH0049,inbound,2024-05-25,09:18:00,20:17:00,17,cancelled
TR00269,L014,VH0013,outbound,2024-01-11,10:54:00,19:24:00,65,in_progress
TR00270,L007,VH0048,inbound,2024-09-09,15:03:00,09:24:00,26,cancelled
TR00271,L007,VH0112,inbound,2024-08-03,18:53:00,22:52:00,56,completed
TR00272,L012,VH0079,outbound,2025-07-30,07:32:00,08:14:00,30,delayed
TR00273,L023,VH0067,inbound,2025-03-13,10:44:00,14:39:00,82,completed
TR00274,L039,VH0034,outbound,2024-09-06,22:51:00,08:30:00,62,completed
TR00275,L032,VH0074,inbound,2024-02-12,07:59:00,14:52:00,61,cancelled
TR00276,L013,VH0069,inbound,2025-11-03,21:12:00,12:18:00,41,completed
TR00277,L051,VH0083,outbound,2024-01-11,16:29:00,18:54:00,46,cancelled
TR00278,L022,VH0007,outbound,2024-01-15,16:39:00,06:51:00,85,cancelled
TR00279,L029,VH0002,inbound,2025-12-04,16:33:00,11:02:00,81,completed
TR00280,L002,VH0023,inbound,2025-02-14,15:51:00,06:22:00,16,in_progress
TR00281,L013,VH0042,outbound,2025-06-27,16:26:00,06:07:00,57,completed
TR00282,L036,VH0062,outbound,2024-03-19,16:37:00,05:27:00,78,cancelled
TR00283,L015,VH0036,inbound,2025-03-02,13:05:00,16:14:00,29,delayed
TR00284,L026,VH0068,inbound,2025-04-04,10:23:00,17:06:00,21,in_progress
TR00285,L042,VH0075,inbound,2025-09-09,17:47:00,15:08:00,87,delayed
TR00286,L009,VH0116,outbound,2024-05-11,16:43:00,17:45:00,79,delayed
TR00287,L049,VH0026,inbound,2024-11-08,08:57:00,13:57:00,53,completed
TR00288,L039,VH0082,inbound,2025-01-22,22:09:00,22:04:00,18,completed
TR00289,L039,VH0046,outbound,2025-01-28,14:05:00,06:47:00,34,completed
TR00290,L028,VH0109,inbound,2024-11-14,18:06:00,10:30:00,34,completed
TR00291,L051,VH0088,outbound,2024-07-17,17:22:00,14:23:00,41,in_progress
TR00292,L046,VH0008,outbound,2024-09-29,05:49:00,20:36:00,78,completed
TR00293,L026,VH0113,outbound,2024-09-21,19:30:00,11:36:00,26,in_progress
TR00294,L014,VH0087,inbound,2025-11-03,14:10:00,06:47:00,89,in_progress
TR00295,L017,VH0118,outbound,2024-08-17,14:32:00,13:09:00,34,delayed
TR00296,L010,VH0067,inbound,2025-12-07,17:09:00,11:01:00,85,cancelled
TR00297,L033,VH0080,outbound,2024-11-05,09:23:00,23:56:00,62,cancelled
TR00298,L020,VH0079,outbound,2025-04-09,17:38:00,21:26:00,41,completed
TR00299,L052,VH0091,outbound,2024-02-15,08:23:00,13:28:00,67,completed
TR00300,L007,VH0087,inbound,2024-12-12,21:47:00,16:05:00,63,completed
TR00301,L035,VH0001,outbound,2024-04-15,18:51:00,15:02:00,90,completed
TR00302,L024,VH0100,inbound,2024-11-01,19:34:00,09:50:00,36,in_progress
TR00303,L052,VH0002,outbound,2024-03-05,21:48:00,23:13:00,78,completed
TR00304,L002,VH0005,inbound,2024-03-31,22:27:00,15:11:00,79,completed
TR00305,L004,VH0078,inbound,2025-10-13,16:10:00,23:12:00,49,completed
TR00306,L015,VH0041,outbound,2025-02-12,21:13:00,14:10:00,48,delayed
TR00307,L030,VH0066,inbound,2024-08-20,06:35:00,16:16:00,49,completed
TR00308,L027,VH0099,inbound,2024-03-01,15:46:00,08:58:00,57,delayed
TR00309,L012,VH0101,outbound,2025-06-22,19:24:00,12:17:00,67,completed
TR00310,L031,VH0106,inbound,2024-09-18,23:22:00,18:29:00,83,completed
TR00311,L006,VH0092,outbound,2025-12-13,23:40:00,10:57:00,38,cancelled
TR00312,L040,VH0038,inbound,2024-11-27,13:37:00,14:54:00,23,delayed
TR00313,L031,VH0055,outbound,2025-03-31,20:05:00,11:38:00,20,completed
TR00314,L018,VH0096,outbound,2025-02-11,06:27:00,16:01:00,53,completed
TR00315,L007,VH0009,inbound,2025-08-26,08:37:00,13:05:00,65,delayed
TR00316,L042,VH0079,outbound,2024-06-22,21:57:00,10:45:00,62,completed
TR00317,L034,VH0114,inbound,2025-11-06,21:34:00,23:39:00,16,delayed
TR00318,L040,VH0016,outbound,2024-10-15,15:53:00,18:40:00,79,cancelled
TR00319,L036,VH0102,outbound,2024-07-29,19:33:00,20:11:00,29,completed
TR00320,L021,VH0113,outbound,2025-07-22,23:52:00,21:44:00,73,completed
TR00321,L035,VH0112,inbound,2025-12-18,21:11:00,20:42:00,35,cancelled
TR00322,L021,VH0050,outbound,2025-11-16,11:17:00,05:15:00,68,completed
TR00323,L040,VH0112,inbound,2024-11-14,07:12:00,10:16:00,16,in_progress
TR00324,L020,VH0052,outbound,2025-09-07,13:08:00,08:01:00,23,in_progress
TR00325,L023,VH0020,inbound,2024-05-18,17:03:00,10:23:00,63,in_progress
TR00326,L029,VH0064,outbound,2024-01-08,17:50:00,17:35:00,78,in_progress
TR00327,L033,VH0003,outbound,2024-09-01,23:08:00,08:25:00,64,cancelled
TR00328,L014,VH0102,inbound,2025-12-24,13:44:00,06:51:00,43,completed
TR00329,L023,VH0098,outbound,2024-08-02,08:56:00,16:44:00,48,completed
TR00330,L045,VH0039,inbound,2024-09-11,13:24:00,18:55:00,78,completed
TR00331,L007,VH0109,inbound,2025-12-30,06:01:00,08:11:00,60,in_progress
TR00332,L042,VH0072,inbound,2024-10-23,05:43:00,11:17:00,57,cancelled
