vehicle_id,fleet_type,vehicle_category,capacity,manufacture_year,manufacturer,energy_type,is_air_conditioned,status,last_maintenance_date
VH0078,MF77,metro,560,1979,Solaris,hydrogen,False,retired,2024-08-21
VH0079,MF67,metro,560,1965,MAN,diesel,True,in_service,2024-08-23
VH0080,Citadis 302,tramway,210,2001,Bombardier,hydrogen,False,in_service,2024-08-23
VH0081,MP73,metro,583,1973,Solaris,hybrid,True,in_service,2025-04-08
VH0082,Iveco Urbanway,bus,100,2016,Alstom,hydrogen,True,in_service,2024-06-22
VH0083,MI79,rer,900,1978,CAF,electric,False,in_service,2025-08-15
VH0084,MAN Lion's City,bus,90,2013,Mercedes,hydrogen,True,maintenance,2024-05-16
VH0085,MP14,metro,722,2027,Mercedes,hydrogen,False,in_service,2025-01-03
VH0086,MI09,rer,1060,2015,Bombardier,electric,True,retired,2025-05-04
VH0087,Solaris Urbino 18,bus_articulated,150,2021,Heuliez,electric,False,in_service,2024-07-28
VH0088,Mercedes Citaro,bus,105,2020,Mercedes,hydrogen,True,in_service,2025-02-07
VH0089,Alstom Régiolis,transilien,500,2013,Iveco,diesel,True,retired,2024-01-31
VH0090,Iveco Urbanway,bus,100,2016,Solaris,hydrogen,False,in_service,2025-02-04
VH0091,Citadis 302,tramway,210,2000,Solaris,electric,True,retired,2024-06-19
VH0092,MF01,metro,600,2005,Heuliez,hybrid,False,in_service,2025-02-17
VH0093,MF01,metro,600,2006,Heuliez,electric,True,in_service,2024-08-06
VH0094,MI79,rer,900,1979,Bombardier,electric,True,maintenance,2025-05-31
VH0095,Alstom Régiolis,transilien,500,2015,Bombardier,electric,False,in_service,2024-03-17
VH0096,Bluebus 12m,bus_electric,80,2024,MAN,electric,True,retired,2024-12-14
VH0097,Iveco Urbanway,bus,100,2021,Iveco,diesel,True,in_service,2025-03-14
VH0098,MP89,metro,583,1997,MAN,diesel,True,in_service,2025-01-08
VH0099,Mercedes Citaro,bus,105,2016,Bombardier,electric,True,in_service,2024-03-06
VH0100,Citadis 402,tramway,304,2004,Iveco,electric,True,retired,2024-01-17
VH0101,MP73,metro,583,1977,Bombardier,diesel,True,retired,2025-11-08
VH0102,Bluebus 12m,bus_electric,80,2024,Iveco,electric,True,maintenance,2024-02-04
VH0103,MI79,rer,900,1984,Alstom,hydrogen,True,in_service,2025-04-01
VH0104,MP73,metro,583,1974,Heuliez,electric,True,maintenance,2025-04-06
VH0105,Solaris Urbino 18,bus_articulated,150,2020,Iveco,hybrid,False,retired,2024-08-20
VH0106,MF77,metro,560,1981,Solaris,hybrid,True,in_service,2024-10-25
VH0107,MAN Lion's City,bus,90,2014,CAF,electric,False,in_service,2024-10-21
VH0108,MI79,rer,900,1982,MAN,electric,True,retired,2024-12-16
VH0109,MP73,metro,583,1976,Iveco,diesel,True,in_service,2025-06-10
VH0110,Solaris Urbino 18,bus_articulated,150,2019,Alstom,hydrogen,True,in_service,2024-01-10
VH0111,MP89,metro,583,1998,CAF,hydrogen,True,in_service,2024-10-15
VH0112,Citadis 402,tramway,304,2010,Heuliez,electric,True,in_service,2024-10-21
VH0113,Bluebus 12m,bus_electric,80,2024,Alstom,electric,False,in_service,2024-06-03
VH0114,Iveco Urbanway,bus,100,2017,Bombardier,electric,True,in_service,2025-08-06
VH0115,MF77,metro,560,1981,Solaris,electric,True,maintenance,2024-04-19
VH0116,Alstom Régiolis,transilien,500,2014,Mercedes,electric,True,retired,2025-08-02
VH0117,MI79,rer,900,1980,Mercedes,hydrogen,False,in_service,2024-02-29
VH0118,MI09,rer,1060,2014,Alstom,electric,True,in_service,2025-04-08
VH0119,MI79,rer,900,1982,Bombardier,diesel,True,maintenance,2025-11-17
VH0120,Citadis 302,tramway,210,1996,CAF,hybrid,False,maintenance,2025-06-06
