equipment_id,station_id,equipment_type,location_description,installation_date,last_inspection_date,status,manufacturer
EQ0112,ST0083,elevator,Mezzanine,2024-10-09,2024-08-08,operational,Kone
EQ0113,ST0027,audio_announcement,Mezzanine,2020-07-06,2025-05-12,under_repair,Schindler
EQ0114,ST0082,induction_loop,Main entrance,2011-11-13,2025-12-11,operational,Otis
EQ0115,ST0081,audio_announcement,Mezzanine,2012-10-07,2024-01-28,under_repair,Kone
EQ0116,ST0046,wheelchair_ramp,Platform level,2020-07-27,2024-04-27,operational,Mitsubishi
EQ0117,ST0064,audio_announcement,Corridor to line transfer,2016-07-10,2024-05-07,out_of_service,Schindler
EQ0118,ST0036,wheelchair_ramp,Corridor to line transfer,2007-03-24,2025-04-18,operational,Mitsubishi
EQ0119,ST0160,elevator,Corridor to line transfer,2012-01-16,2025-01-05,operational,Otis
EQ0120,ST0111,induction_loop,Corridor to line transfer,2023-01-16,2025-04-05,operational,ThyssenKrupp
EQ0121,ST0242,audio_announcement,Mezzanine,2012-03-05,2025-11-04,out_of_service,Mitsubishi
EQ0122,ST0039,wheelchair_ramp,Platform level,2015-05-13,2025-07-09,out_of_service,ThyssenKrupp
EQ0123,ST0236,escalator,Mezzanine,2016-01-18,2024-05-04,operational,Mitsubishi
EQ0124,ST0121,tactile_strip,Platform level,2005-09-09,2025-01-17,operational,ThyssenKrupp
EQ0125,ST0196,wheelchair_ramp,Platform level,2019-02-28,2025-02-20,under_repair,Schindler
EQ0126,ST0214,induction_loop,Platform level,2015-01-10,2024-01-20,operational,Kone
EQ0127,ST0100,tactile_strip,Corridor to line transfer,2024-10-21,2024-10-19,operational,Kone
EQ0128,ST0167,elevator,Mezzanine,2015-02-24,2025-01-07,operational,Otis
EQ0129,ST0147,tactile_strip,Platform level,2023-01-11,2025-07-06,operational,Schindler
EQ0130,ST0100,elevator,Platform level,2008-08-18,2024-03-04,under_repair,Otis
EQ0131,ST0094,elevator,Exit B,2013-06-30,2025-10-14,operational,Mitsubishi
EQ0132,ST0184,elevator,Main entrance,2005-02-02,2024-02-04,operational,Otis
EQ0133,ST0233,induction_loop,Corridor to line transfer,2007-06-14,2024-04-07,operational,Kone
EQ0134,ST0019,tactile_strip,Main entrance,2016-04-07,2024-12-02,operational,ThyssenKrupp
EQ0135,ST0105,tactile_strip,Corridor to line transfer,2015-05-06,2024-11-27,operational,Otis
EQ0136,ST0014,audio_announcement,Mezzanine,2019-02-15,2024-08-09,operational,Schindler
EQ0137,ST0062,wheelchair_ramp,Main entrance,2014-08-04,2025-04-02,operational,Mitsubishi
EQ0138,ST0072,escalator,Corridor to line transfer,2006-02-22,2025-07-16,out_of_service,ThyssenKrupp
EQ0139,ST0096,audio_announcement,Main entrance,2022-07-02,2025-12-19,operational,Otis
EQ0140,ST0106,elevator,Mezzanine,2017-09-10,2025-04-22,operational,ThyssenKrupp
EQ0141,ST0211,induction_loop,Mezzanine,2021-08-25,2024-06-21,operational,ThyssenKrupp
EQ0142,ST0030,tactile_strip,Main entrance,2015-03-01,2024-11-01,operational,ThyssenKrupp
EQ0143,ST0170,escalator,Exit B,2021-02-12,2024-07-30,operational,ThyssenKrupp
EQ0144,ST0008,wheelchair_ramp,Corridor to line transfer,2015-01-31,2025-07-25,under_repair,ThyssenKrupp
EQ0145,ST0171,tactile_strip,Corridor to line transfer,2023-07-24,2025-02-20,operational,ThyssenKrupp
EQ0146,ST0215,wheelchair_ramp,Main entrance,2013-12-21,2025-04-04,operational,Schindler
EQ0147,ST0040,induction_loop,Corridor to line transfer,2019-02-09,2025-01-30,out_of_service,Schindler
EQ0148,ST0239,elevator,Exit B,2008-09-23,2024-03-22,operational,Mitsubishi
EQ0149,ST0171,escalator,Platform level,2014-06-09,2025-02-20,out_of_service,Kone
EQ0150,ST0023,tactile_strip,Exit B,2022-07-09,2024-06-13,out_of_service,Schindler
EQ0151,ST0106,elevator,Platform level,2008-04-02,2024-01-16,operational,Kone
EQ0152,ST0182,escalator,Exit B,2009-11-29,2025-03-19,operational,Otis
EQ0153,ST0241,induction_loop,Main entrance,2009-09-13,2025-10-17,operational,Otis
EQ0154,ST0041,induction_loop,Exit B,2008-11-04,2025-03-19,operational,Kone
EQ0155,ST0187,escalator,Platform level,2020-03-30,2024-09-23,operational,Mitsubishi
EQ0156,ST0098,tactile_strip,Exit B,2023-08-04,2025-11-08,operational,Otis
EQ0157,ST0049,escalator,Exit B,2018-01-16,2024-02-13,out_of_service,Otis
EQ0158,ST0162,escalator,Main entrance,2009-04-06,2024-08-11,out_of_service,Mitsubishi
EQ0159,ST0095,escalator,Corridor to line transfer,2018-06-04,2025-04-11,operational,Mitsubishi
EQ0160,ST0120,elevator,Mezzanine,2013-09-19,2024-03-22,operational,Mitsubishi
EQ0161,ST0131,tactile_strip,Main entrance,2015-06-17,2025-12-31,operational,ThyssenKrupp
EQ0162,ST0104,tactile_strip,Main entrance,2023-08-14,2024-01-26,operational,Mitsubishi
EQ0163,ST0064,induction_loop,Mezzanine,2017-11-11,2024-12-19,operational,ThyssenKrupp
EQ0164,ST0147,escalator,Exit B,2021-02-01,2025-04-11,out_of_service,ThyssenKrupp
EQ0165,ST0227,tactile_strip,Exit B,2019-11-04,2024-05-03,operational,Schindler
EQ0166,ST0236,escalator,Mezzanine,2017-09-05,2024-11-01,operational,Schindler
EQ0167,ST0143,elevator,Exit B,2011-07-29,2024-09-01,operational,Kone
EQ0168,ST0219,elevator,Mezzanine,2010-08-29,2025-02-20,operational,ThyssenKrupp
EQ0169,ST0231,elevator,Corridor to line transfer,2015-05-03,2025-09-26,out_of_service,ThyssenKrupp
EQ0170,ST0030,induction_loop,Exit B,2018-10-28,2025-10-04,out_of_service,Mitsubishi
EQ0171,ST0132,elevator,Platform level,2023-04-14,2025-08-23,under_repair,Otis
EQ0172,ST0107,audio_announcement,Main entrance,2022-07-16,2025-09-11,out_of_service,ThyssenKrupp
EQ0173,ST0040,audio_announcement,Corridor to line transfer,2014-05-08,2024-06-20,operational,ThyssenKrupp
EQ0174,ST0169,elevator,Mezzanine,2017-08-24,2025-01-24,operational,Schindler
EQ0175,ST0063,induction_loop,Main entrance,2022-04-23,2024-10-04,out_of_service,Schindler
EQ0176,ST0053,induction_loop,Corridor to line transfer,2012-02-23,2025-11-09,out_of_service,ThyssenKrupp
EQ0177,ST0226,audio_announcement,Platform level,2008-01-22,2025-07-11,operational,Otis
EQ0178,ST0235,tactile_strip,Corridor to line transfer,2015-05-23,2025-12-20,under_repair,Mitsubishi
EQ0179,ST0094,escalator,Exit B,2020-03-28,2025-11-04,operational,Kone
EQ0180,ST0131,tactile_strip,Exit B,2010-08-11,2024-05-03,operational,Otis
