survey_id,line_id,station_id,survey_date,aspect,rating,comment,respondent_age_group,respondent_commute_frequency
SV0067,L016,ST0217,2024-01-18,information,8,Very comfortable new rolling stock.,25-34,first_time
SV0068,L022,ST0113,2024-09-09,comfort,8,Staff was helpful and professional.,25-34,occasional
SV0069,L002,ST0220,2025-08-03,frequency,6,Elevator out of service again.,65+,first_time
SV0070,L019,ST0082,2025-06-04,frequency,7,,45-54,weekly
SV0071,L046,ST0114,2025-05-04,safety,3,Staff was helpful and professional.,25-34,occasional
SV0072,L011,ST0049,2025-08-19,crowding,9,Too crowded during rush hour.,35-44,weekly
SV0073,L026,ST0029,2025-02-27,accessibility,1,Too crowded during rush hour.,55-64,occasional
SV0074,L021,ST0225,2025-10-02,information,2,Staff was helpful and professional.,18-24,daily
SV0075,L024,ST0097,2024-01-05,crowding,5,Elevator out of service again.,65+,weekly
SV0076,L020,ST0024,2024-10-27,crowding,3,Staff was helpful and professional.,25-34,first_time
SV0077,L045,ST0224,2025-01-09,comfort,2,Service was on time and clean.,55-64,daily
SV0078,L048,ST0060,2024-12-21,safety,2,Very comfortable new rolling stock.,18-24,first_time
SV0079,L020,ST0139,2024-09-11,safety,3,,55-64,first_time
SV0080,L019,ST0023,2024-03-29,frequency,1,Elevator out of service again.,45-54,weekly
SV0081,L054,ST0042,2025-11-04,safety,2,Too crowded during rush hour.,25-34,first_time
SV0082,L023,ST0037,2025-08-18,crowding,7,Very comfortable new rolling stock.,55-64,daily
SV0083,L009,ST0132,2024-05-10,cleanliness,7,Staff was helpful and professional.,35-44,first_time
SV0084,L048,ST0012,2024-10-25,cleanliness,9,Service was on time and clean.,18-24,weekly
SV0085,L003,ST0033,2024-05-29,frequency,7,,65+,first_time
SV0086,L049,ST0036,2025-01-05,punctuality,4,Very comfortable new rolling stock.,18-24,first_time
SV0087,L009,ST0245,2024-08-06,accessibility,9,Very comfortable new rolling stock.,25-34,occasional
SV0088,L034,ST0179,2025-06-04,cleanliness,7,Staff was helpful and professional.,55-64,weekly
SV0089,L019,ST0119,2024-04-13,accessibility,7,Service was on time and clean.,45-54,daily
SV0090,L046,ST0017,2025-07-25,comfort,8,Information displays were not working.,55-64,occasional
SV0091,L052,ST0031,2024-02-28,safety,7,Service was on time and clean.,25-34,weekly
SV0092,L031,ST0065,2024-08-21,frequency,2,Elevator out of service again.,35-44,daily
SV0093,L049,ST0228,2024-07-16,frequency,8,Very comfortable new rolling stock.,18-24,occasional
SV0094,L042,ST0072,2025-11-11,accessibility,2,Needs more frequent service on weekends.,55-64,daily
SV0095,L003,ST0064,2025-10-14,safety,6,Elevator out of service again.,65+,weekly
SV0096,L039,ST0154,2025-02-20,punctuality,6,Very comfortable new rolling stock.,18-24,first_time
SV0097,L052,ST0197,2025-11-30,crowding,3,Very comfortable new rolling stock.,25-34,occasional
SV0098,L043,ST0025,2024-07-09,punctuality,8,Information displays were not working.,55-64,first_time
SV0099,L024,ST0160,2024-10-10,information,5,Elevator out of service again.,55-64,daily
SV0100,L032,ST0229,2025-03-27,crowding,7,Very comfortable new rolling stock.,35-44,first_time
SV0101,L010,ST0090,2024-09-17,punctuality,5,Staff was helpful and professional.,18-24,first_time
SV0102,L038,ST0056,2024-04-15,frequency,2,,35-44,first_time
SV0103,L053,ST0050,2024-08-05,comfort,6,Service was on time and clean.,55-64,daily
SV0104,L019,ST0180,2025-09-21,frequency,5,Elevator out of service again.,65+,weekly
SV0105,L040,ST0107,2024-05-29,safety,9,Elevator out of service again.,25-34,weekly
SV0106,L009,ST0214,2025-08-02,safety,7,Staff was helpful and professional.,45-54,first_time
SV0107,L033,ST0033,2024-05-04,crowding,8,Elevator out of service again.,55-64,daily
SV0108,L023,ST0240,2024-02-16,comfort,1,Too crowded during rush hour.,65+,daily
SV0109,L050,ST0166,2025-06-06,comfort,10,Information displays were not working.,25-34,weekly
SV0110,L033,ST0047,2024-07-28,comfort,4,Elevator out of service again.,45-54,occasional
SV0111,L013,ST0044,2024-08-13,cleanliness,5,Too crowded during rush hour.,65+,first_time
SV0112,L036,ST0046,2025-04-18,comfort,2,Needs more frequent service on weekends.,45-54,occasional
SV0113,L055,ST0170,2025-02-13,punctuality,2,Service was on time and clean.,35-44,first_time
SV0114,L008,ST0005,2024-11-25,information,7,Very comfortable new rolling stock.,45-54,daily
SV0115,L040,ST0157,2025-07-19,safety,9,Very comfortable new rolling stock.,45-54,occasional
SV0116,L022,ST0074,2024-04-28,information,1,Needs more frequent service on weekends.,55-64,weekly
SV0117,L025,ST0163,2025-02-01,comfort,7,Needs more frequent service on weekends.,45-54,first_time
SV0118,L037,ST0137,2024-03-05,information,4,Too crowded during rush hour.,45-54,occasional
SV0119,L051,ST0018,2025-12-08,punctuality,3,Staff was helpful and professional.,65+,daily
SV0120,L048,ST0070,2024-08-21,cleanliness,9,Service was on time and clean.,65+,daily
SV0121,L044,ST0021,2024-10-17,crowding,10,Needs more frequent service on weekends.,55-64,weekly
SV0122,L035,ST0165,2024-07-05,information,6,Elevator out of service again.,35-44,occasional
SV0123,L020,ST0061,2025-08-03,accessibility,1,Very comfortable new rolling stock.,45-54,occasional
SV0124,L026,ST0152,2024-08-19,accessibility,5,Elevator out of service again.,55-64,first_time
SV0125,L045,ST0185,2024-07-12,cleanliness,9,Elevator out of service again.,18-24,daily
SV0126,L035,ST0218,2024-06-26,comfort,5,Elevator out of service again.,35-44,daily
SV0127,L020,ST0054,2024-01-18,safety,3,Staff was helpful and professional.,65+,occasional
SV0128,L025,ST0003,2024-06-16,comfort,9,Elevator out of service again.,45-54,weekly
SV0129,L020,ST0148,2025-08-04,frequency,8,,18-24,occasional
SV0130,L035,ST0129,2025-01-28,information,10,Elevator out of service again.,35-44,daily
SV0131,L029,ST0246,2025-07-16,information,4,,25-34,first_time
SV0132,L021,ST0134,2025-02-16,punctuality,5,Staff was helpful and professional.,18-24,first_time
SV0133,L033,ST0155,2024-07-09,safety,1,Staff was helpful and professional.,18-24,daily
SV0134,L040,ST0077,2025-08-23,punctuality,8,Information displays were not working.,25-34,daily
SV0135,L029,ST0145,2024-09-14,accessibility,6,Needs more frequent service on weekends.,55-64,daily
SV0136,L050,ST0136,2024-05-16,information,3,Needs more frequent service on weekends.,18-24,weekly
SV0137,L023,ST0147,2024-07-08,crowding,9,,65+,occasional
SV0138,L039,ST0161,2025-11-25,accessibility,3,Too crowded during rush hour.,55-64,first_time
SV0139,L052,ST0217,2025-10-21,accessibility,8,Needs more frequent service on weekends.,35-44,daily
SV0140,L042,ST0087,2024-11-17,information,1,Staff was helpful and professional.,25-34,first_time
SV0141,L050,ST0127,2025-02-21,accessibility,7,Very comfortable new rolling stock.,65+,occasional
SV0142,L006,ST0246,2025-08-15,cleanliness,2,Very comfortable new rolling stock.,65+,daily
SV0143,L044,ST0003,2025-08-14,frequency,8,Elevator out of service again.,55-64,daily
SV0144,L011,ST0127,2025-03-05,accessibility,2,Service was on time and clean.,65+,daily
SV0145,L034,ST0168,2025-03-06,comfort,10,Service was on time and clean.,35-44,first_time
SV0146,L027,ST0088,2024-01-11,crowding,2,,35-44,daily
SV0147,L026,ST0036,2025-05-29,punctuality,10,Needs more frequent service on weekends.,25-34,occasional
SV0148,L024,ST0045,2025-03-25,cleanliness,2,Service was on time and clean.,45-54,weekly
SV0149,L031,ST0213,2025-07-10,comfort,6,Staff was helpful and professional.,35-44,daily
SV0150,L006,ST0217,2025-04-15,punctuality,7,Needs more frequent service on weekends.,45-54,daily
SV0151,L015,ST0190,2024-01-30,crowding,10,,35-44,daily
SV0152,L032,ST0130,2024-11-04,accessibility,10,Service was on time and clean.,35-44,first_time
SV0153,L047,ST0012,2025-05-16,crowding,1,Needs more frequent service on weekends.,65+,occasional
SV0154,L012,ST0055,2024-08-19,punctuality,3,Too crowded during rush hour.,65+,first_time
SV0155,L027,ST0207,2025-02-19,information,4,,35-44,first_time
SV0156,L021,ST0194,2025-06-13,cleanliness,6,Needs more frequent service on weekends.,55-64,occasional
SV0157,L021,ST0142,2025-12-22,comfort,6,Needs more frequent service on weekends.,18-24,occasional
SV0158,L045,ST0039,2025-07-03,safety,3,Too crowded during rush hour.,35-44,first_time
SV0159,L030,ST0048,2024-08-25,accessibility,8,Service was on time and clean.,65+,occasional
SV0160,L029,ST0130,2025-04-23,comfort,7,Elevator out of service again.,65+,occasional
SV0161,L020,ST0070,2025-12-27,frequency,9,Staff was helpful and professional.,18-24,daily
SV0162,L015,ST0023,2024-08-22,comfort,7,Needs more frequent service on weekends.,55-64,weekly
SV0163,L004,ST0242,2024-05-21,crowding,2,,25-34,first_time
SV0164,L044,ST0042,2024-06-19,cleanliness,10,,35-44,daily
SV0165,L034,ST0011,2025-01-08,cleanliness,1,Service was on time and clean.,65+,first_time
SV0166,L014,ST0055,2024-04-11,punctuality,5,,35-44,weekly
SV0167,L035,ST0135,2025-05-05,safety,4,Staff was helpful and professional.,55-64,daily
SV0168,L031,ST0202,2024-09-03,comfort,5,Needs more frequent service on weekends.,65+,weekly
SV0169,L037,ST0145,2024-10-29,punctuality,1,Very comfortable new rolling stock.,35-44,first_time
SV0170,L006,ST0040,2024-08-07,accessibility,5,Too crowded during rush hour.,18-24,first_time
SV0171,L010,ST0205,2025-12-26,safety,6,Staff was helpful and professional.,18-24,first_time
SV0172,L006,ST0229,2025-11-09,cleanliness,3,Service was on time and clean.,18-24,daily
SV0173,L044,ST0075,2024-02-18,comfort,5,Needs more frequent service on weekends.,35-44,first_time
SV0174,L025,ST0045,2025-06-11,frequency,5,,55-64,first_time
SV0175,L023,ST0127,2024-09-04,comfort,10,Needs more frequent service on weekends.,65+,daily
SV0176,L003,ST0018,2025-10-20,comfort,6,,45-54,weekly
SV0177,L023,ST0001,2024-07-17,accessibility,10,Staff was helpful and professional.,35-44,occasional
SV0178,L049,ST0069,2024-11-04,information,3,Staff was helpful and professional.,18-24,occasional
SV0179,L017,ST0051,2024-11-08,comfort,1,Service was on time and clean.,25-34,daily
SV0180,L019,ST0173,2024-09-28,crowding,5,Very comfortable new rolling stock.,35-44,weekly
SV0181,L002,ST0104,2024-05-25,accessibility,3,Information displays were not working.,25-34,daily
SV0182,L017,ST0123,2024-07-14,crowding,8,Elevator out of service again.,55-64,daily
SV0183,L003,ST0213,2024-12-19,cleanliness,2,Staff was helpful and professional.,55-64,occasional
SV0184,L046,ST0207,2024-10-10,safety,8,,55-64,daily
SV0185,L042,ST0022,2024-03-05,punctuality,1,Needs more frequent service on weekends.,65+,first_time
SV0186,L031,ST0044,2025-09-18,cleanliness,8,,25-34,weekly
SV0187,L055,ST0176,2024-10-26,crowding,5,Needs more frequent service on weekends.,45-54,weekly
SV0188,L024,ST0007,2025-02-11,safety,5,Needs more frequent service on weekends.,55-64,daily
SV0189,L054,ST0108,2024-12-11,frequency,2,,25-34,first_time
SV0190,L035,ST0005,2024-08-18,safety,1,Staff was helpful and professional.,55-64,daily
SV0191,L024,ST0020,2025-07-23,accessibility,4,Very comfortable new rolling stock.,65+,occasional
SV0192,L047,ST0194,2025-06-07,punctuality,5,,45-54,first_time
SV0193,L001,ST0151,2024-10-07,punctuality,9,Elevator out of service again.,55-64,first_time
SV0194,L029,ST0152,2025-08-18,frequency,10,Very comfortable new rolling stock.,25-34,occasional
SV0195,L037,ST0060,2025-08-06,safety,7,Elevator out of service again.,65+,first_time
SV0196,L017,ST0102,2025-01-28,information,8,Information displays were not working.,18-24,weekly
SV0197,L032,ST0072,2025-06-22,comfort,5,Staff was helpful and professional.,65+,daily
SV0198,L036,ST0189,2025-12-23,punctuality,2,Needs more frequent service on weekends.,45-54,occasional
SV0199,L044,ST0129,2025-01-28,comfort,9,,18-24,first_time
SV0200,L043,ST0085,2025-07-03,comfort,5,,65+,weekly
SV0201,L055,ST0061,2025-10-13,safety,9,,35-44,daily
SV0202,L039,ST0043,2024-03-19,frequency,8,Needs more frequent service on weekends.,65+,first_time
SV0203,L029,ST0175,2024-02-07,frequency,2,Staff was helpful and professional.,55-64,first_time
SV0204,L010,ST0099,2025-04-07,punctuality,4,Service was on time and clean.,45-54,occasional
SV0205,L031,ST0140,2025-03-09,information,2,Very comfortable new rolling stock.,55-64,occasional
SV0206,L005,ST0238,2024-11-27,accessibility,4,Elevator out of service again.,55-64,occasional
SV0207,L009,ST0082,2024-06-28,cleanliness,2,Very comfortable new rolling stock.,65+,daily
SV0208,L045,ST0231,2024-11-14,crowding,4,Information displays were not working.,55-64,first_time
SV0209,L023,ST0063,2025-10-06,crowding,8,Staff was helpful and professional.,65+,weekly
SV0210,L022,ST0013,2025-06-13,punctuality,8,Elevator out of service again.,35-44,occasional
SV0211,L036,ST0061,2025-09-10,punctuality,5,Service was on time and clean.,35-44,occasional
SV0212,L034,ST0216,2025-09-15,punctuality,6,Very comfortable new rolling stock.,55-64,first_time
SV0213,L032,ST0003,2025-04-26,safety,8,Very comfortable new rolling stock.,45-54,daily
SV0214,L006,ST0085,2024-08-09,comfort,1,Too crowded during rush hour.,45-54,occasional
SV0215,L037,ST0247,2025-08-19,punctuality,1,,55-64,first_time
SV0216,L055,ST0126,2024-07-22,cleanliness,3,Needs more frequent service on weekends.,65+,daily
SV0217,L042,ST0232,2024-06-07,accessibility,10,,18-24,occasional
SV0218,L039,ST0219,2024-10-28,accessibility,10,,35-44,daily
SV0219,L011,ST0197,2024-09-06,safety,4,Needs more frequent service on weekends.,18-24,occasional
SV0220,L003,ST0046,2024-10-13,crowding,4,Too crowded during rush hour.,55-64,occasional
SV0221,L029,ST0020,2024-09-08,safety,8,Service was on time and clean.,18-24,first_time
SV0222,L017,ST0243,2024-08-19,punctuality,4,Needs more frequent service on weekends.,35-44,first_time
SV0223,L008,ST0078,2025-06-29,frequency,6,Needs more frequent service on weekends.,65+,first_time
SV0224,L011,ST0074,2025-04-19,frequency,10,Staff was helpful and professional.,65+,daily
SV0225,L015,ST0217,2024-08-21,comfort,7,Staff was helpful and professional.,35-44,daily
SV0226,L044,ST0147,2025-08-22,cleanliness,10,Very comfortable new rolling stock.,18-24,weekly
SV0227,L055,ST0153,2025-02-20,comfort,1,Information displays were not working.,35-44,occasional
SV0228,L020,ST0206,2025-06-06,safety,3,,55-64,first_time
SV0229,L018,ST0106,2024-11-26,crowding,10,Information displays were not working.,65+,first_time
SV0230,L026,ST0139,2025-05-26,frequency,6,Information displays were not working.,18-24,occasional
SV0231,L046,ST0181,2025-11-14,safety,1,Staff was helpful and professional.,25-34,weekly
SV0232,L042,ST0163,2024-11-28,crowding,4,Elevator out of service again.,25-34,daily
SV0233,L001,ST0079,2024-07-03,crowding,2,Needs more frequent service on weekends.,65+,weekly
SV0234,L003,ST0219,2024-02-03,safety,3,Elevator out of service again.,65+,occasional
SV0235,L044,ST0232,2024-05-29,frequency,2,Staff was helpful and professional.,45-54,weekly
SV0236,L051,ST0143,2024-03-21,frequency,6,Elevator out of service again.,35-44,daily
SV0237,L007,ST0058,2024-01-29,information,9,Service was on time and clean.,45-54,daily
SV0238,L005,ST0059,2024-01-13,safety,2,Information displays were not working.,55-64,first_time
SV0239,L032,ST0164,2025-01-11,accessibility,7,Staff was helpful and professional.,45-54,first_time
SV0240,L017,ST0078,2025-06-08,information,8,Very comfortable new rolling stock.,45-54,weekly
SV0241,L016,ST0189,2024-06-23,crowding,1,Elevator out of service again.,35-44,occasional
SV0242,L047,ST0102,2024-04-30,comfort,2,Needs more frequent service on weekends.,55-64,first_time
SV0243,L030,ST0192,2024-07-31,safety,4,Information displays were not working.,18-24,first_time
SV0244,L017,ST0152,2024-01-29,safety,8,Needs more frequent service on weekends.,25-34,weekly
SV0245,L014,ST0108,2024-02-16,information,3,Service was on time and clean.,65+,occasional
SV0246,L014,ST0192,2024-10-04,information,6,Needs more frequent service on weekends.,25-34,first_time
SV0247,L022,ST0244,2025-02-18,frequency,4,Needs more frequent service on weekends.,55-64,weekly
SV0248,L020,ST0176,2024-09-13,information,10,Very comfortable new rolling stock.,45-54,first_time
SV0249,L030,ST0080,2025-08-23,accessibility,1,Information displays were not working.,35-44,occasional
SV0250,L006,ST0170,2025-09-22,comfort,2,,45-54,weekly
SV0251,L024,ST0112,2025-04-23,punctuality,4,Very comfortable new rolling stock.,35-44,weekly
SV0252,L037,ST0186,2025-12-30,accessibility,2,,18-24,weekly
SV0253,L015,ST0164,2024-08-17,comfort,1,Elevator out of service again.,65+,first_time
SV0254,L014,ST0089,2024-06-23,crowding,1,,55-64,first_time
SV0255,L041,ST0161,2024-10-22,accessibility,2,Service was on time and clean.,25-34,first_time
SV0256,L053,ST0162,2025-01-12,information,3,Staff was helpful and professional.,18-24,weekly
SV0257,L044,ST0102,2024-12-28,punctuality,1,Very comfortable new rolling stock.,18-24,weekly
SV0258,L025,ST0033,2024-08-04,frequency,9,Service was on time and clean.,18-24,daily
SV0259,L042,ST0018,2024-06-27,frequency,7,Very comfortable new rolling stock.,55-64,daily
SV0260,L003,ST0139,2025-12-24,cleanliness,3,Needs more frequent service on weekends.,45-54,first_time
SV0261,L036,ST0037,2024-05-16,information,10,Needs more frequent service on weekends.,25-34,first_time
SV0262,L036,ST0068,2025-04-07,punctuality,9,Needs more frequent service on weekends.,65+,weekly
SV0263,L013,ST0132,2025-11-01,frequency,8,Staff was helpful and professional.,45-54,first_time
SV0264,L049,ST0108,2025-12-22,information,7,Staff was helpful and professional.,45-54,weekly
SV0265,L033,ST0194,2024-07-09,frequency,4,,35-44,daily
SV0266,L008,ST0147,2025-10-03,frequency,2,Too crowded during rush hour.,25-34,first_time
SV0267,L014,ST0118,2025-05-24,information,4,Very comfortable new rolling stock.,35-44,first_time
SV0268,L033,ST0119,2025-10-21,accessibility,1,Staff was helpful and professional.,65+,occasional
SV0269,L016,ST0222,2025-01-09,safety,5,Needs more frequent service on weekends.,45-54,occasional
SV0270,L028,ST0127,2025-02-11,information,9,Elevator out of service again.,55-64,first_time
SV0271,L033,ST0179,2024-10-24,cleanliness,3,Needs more frequent service on weekends.,18-24,occasional
SV0272,L037,ST0091,2024-02-04,crowding,2,Information displays were not working.,45-54,first_time
SV0273,L046,ST0218,2025-06-28,crowding,2,,45-54,daily
SV0274,L002,ST0084,2025-05-04,information,4,,65+,first_time
SV0275,L009,ST0036,2024-03-29,cleanliness,4,Too crowded during rush hour.,65+,weekly
SV0276,L027,ST0200,2024-07-04,comfort,10,Very comfortable new rolling stock.,35-44,weekly
SV0277,L011,ST0005,2024-01-15,comfort,6,Very comfortable new rolling stock.,18-24,daily
SV0278,L017,ST0067,2025-06-10,accessibility,6,,25-34,daily
SV0279,L026,ST0230,2024-05-22,comfort,2,Too crowded during rush hour.,35-44,occasional
SV0280,L004,ST0107,2024-02-27,safety,6,Elevator out of service again.,35-44,daily
SV0281,L007,ST0241,2024-03-09,punctuality,4,Very comfortable new rolling stock.,25-34,first_time
SV0282,L050,ST0113,2024-03-18,comfort,9,Staff was helpful and professional.,65+,occasional
SV0283,L055,ST0174,2025-09-12,frequency,6,Too crowded during rush hour.,65+,weekly
SV0284,L034,ST0030,2025-05-29,crowding,4,Staff was helpful and professional.,65+,weekly
SV0285,L006,ST0134,2024-05-29,safety,7,Staff was helpful and professional.,35-44,weekly
SV0286,L010,ST0150,2025-12-23,comfort,9,,55-64,occasional
SV0287,L044,ST0109,2025-04-25,cleanliness,7,Elevator out of service again.,45-54,daily
SV0288,L050,ST0210,2024-12-06,punctuality,8,,65+,weekly
SV0289,L037,ST0063,2025-10-20,frequency,9,Service was on time and clean.,35-44,weekly
SV0290,L035,ST0035,2024-12-18,comfort,3,Needs more frequent service on weekends.,55-64,daily
SV0291,L035,ST0244,2025-12-31,punctuality,7,Very comfortable new rolling stock.,65+,occasional
SV0292,L045,ST0190,2024-07-26,safety,6,Staff was helpful and professional.,25-34,weekly
SV0293,L045,ST0123,2025-04-04,information,1,Very comfortable new rolling stock.,25-34,weekly
SV0294,L018,ST0247,2024-09-22,cleanliness,9,Needs more frequent service on weekends.,55-64,first_time
SV0295,L004,ST0014,2024-04-03,cleanliness,7,Very comfortable new rolling stock.,35-44,occasional
SV0296,L013,ST0055,2025-04-09,crowding,9,Service was on time and clean.,55-64,daily
SV0297,L034,ST0087,2025-08-01,information,9,Elevator out of service again.,55-64,occasional
SV0298,L042,ST0156,2024-10-18,comfort,2,Needs more frequent service on weekends.,18-24,occasional
SV0299,L055,ST0137,2024-01-24,comfort,7,Staff was helpful and professional.,25-34,occasional
SV0300,L050,ST0044,2024-01-19,crowding,8,Very comfortable new rolling stock.,45-54,first_time
SV0301,L037,ST0028,2024-04-26,cleanliness,10,Too crowded during rush hour.,65+,daily
SV0302,L048,ST0096,2024-08-06,crowding,3,Too crowded during rush hour.,25-34,daily
SV0303,L040,ST0169,2024-10-11,crowding,5,,18-24,daily
SV0304,L034,ST0027,2025-08-25,punctuality,8,Needs more frequent service on weekends.,65+,occasional
SV0305,L009,ST0048,2025-12-31,accessibility,9,Very comfortable new rolling stock.,25-34,occasional
SV0306,L050,ST0211,2025-09-22,cleanliness,6,Too crowded during rush hour.,18-24,daily
SV0307,L018,ST0179,2025-11-23,information,10,Very comfortable new rolling stock.,65+,occasional
SV0308,L015,ST0116,2024-07-12,accessibility,5,Elevator out of service again.,65+,daily
SV0309,L009,ST0118,2024-06-04,cleanliness,3,Too crowded during rush hour.,65+,occasional
SV0310,L016,ST0070,2025-07-21,information,2,Very comfortable new rolling stock.,25-34,weekly
SV0311,L054,ST0187,2024-09-25,safety,10,Service was on time and clean.,18-24,weekly
SV0312,L050,ST0137,2025-10-16,cleanliness,6,Needs more frequent service on weekends.,55-64,daily
SV0313,L052,ST0222,2025-01-28,comfort,6,Staff was helpful and professional.,45-54,daily
SV0314,L004,ST0198,2025-11-21,information,3,,45-54,weekly
SV0315,L047,ST0142,2024-09-25,crowding,5,Staff was helpful and professional.,25-34,weekly
