stop_event_id,trip_id,station_id,scheduled_arrival,actual_arrival,delay_seconds,passenger_boarding,passenger_alighting,platform
SE00080,TR01288,ST0219,21:52:00,23:21:00,600,72,40,Quai Nord
SE00081,TR00354,ST0101,20:52:00,23:38:00,120,123,33,2
SE00082,TR01240,ST0157,20:58:00,15:14:00,600,114,84,A
SE00083,TR01425,ST0247,05:11:00,14:26:00,0,180,116,
SE00084,TR01361,ST0138,21:51:00,11:01:00,0,137,34,Quai Nord
SE00085,TR00672,ST0118,16:57:00,11:36:00,600,114,129,A
SE00086,TR00515,ST0165,06:31:00,06:14:00,0,100,22,Quai Nord
SE00087,TR00697,ST0004,12:20:00,23:28:00,120,170,38,
SE00088,TR00275,ST0245,15:21:00,12:35:00,0,47,25,
SE00089,TR01068,ST0203,10:44:00,15:24:00,60,113,132,B
SE00090,TR00025,ST0244,17:10:00,18:42:00,60,31,132,Quai Nord
SE00091,TR00614,ST0176,05:09:00,19:03:00,0,115,72,2
SE00092,TR00075,ST0147,10:28:00,08:04:00,0,171,179,B
SE00093,TR00878,ST0022,16:39:00,10:00:00,180,40,110,
SE00094,TR00334,ST0018,16:28:00,17:00:00,0,123,129,1
SE00095,TR01140,ST0031,17:43:00,13:14:00,180,139,139,
SE00096,TR00841,ST0193,06:24:00,23:32:00,0,10,81,
SE00097,TR01017,ST0067,19:31:00,07:13:00,600,144,67,B
SE00098,TR01092,ST0161,07:54:00,12:15:00,120,32,176,2
SE00099,TR00926,ST0211,07:38:00,09:10:00,180,100,158,2
SE00100,TR00754,ST0003,12:50:00,19:15:00,600,65,143,
SE00101,TR01394,ST0211,21:47:00,06:30:00,0,34,44,2
SE00102,TR00441,ST0046,14:41:00,16:31:00,120,58,109,Quai Sud
SE00103,TR00335,ST0187,09:53:00,17:27:00,300,164,133,1
SE00104,TR01450,ST0172,08:41:00,14:08:00,60,184,27,A
SE00105,TR00812,ST0102,22:10:00,20:42:00,0,89,76,2
SE00106,TR00454,ST0026,21:23:00,17:13:00,180,81,65,
SE00107,TR00050,ST0040,19:09:00,11:54:00,600,165,13,B
SE00108,TR01292,ST0094,07:29:00,05:22:00,300,169,121,Quai Sud
SE00109,TR01444,ST0015,15:17:00,06:08:00,180,142,170,2
SE00110,TR00154,ST0083,11:03:00,08:41:00,180,145,22,Quai Nord
SE00111,TR01035,ST0109,13:20:00,15:41:00,0,35,93,B
SE00112,TR00035,ST0101,15:53:00,09:46:00,600,136,149,B
SE00113,TR01425,ST0044,13:05:00,21:48:00,120,68,153,Quai Nord
SE00114,TR00604,ST0135,17:09:00,18:43:00,600,46,11,A
SE00115,TR00363,ST0122,14:22:00,16:09:00,120,102,190,2
SE00116,TR00845,ST0148,05:13:00,14:17:00,180,95,14,1
SE00117,TR00178,ST0223,07:04:00,05:56:00,300,155,117,
SE00118,TR00263,ST0011,06:22:00,05:32:00,0,42,88,Quai Sud
SE00119,TR00402,ST0049,10:10:00,19:14:00,180,182,143,Quai Nord
SE00120,TR01063,ST0237,08:12:00,09:16:00,600,120,24,Quai Nord
SE00121,TR00002,ST0200,13:05:00,17:47:00,60,185,27,
SE00122,TR00292,ST0163,16:34:00,10:08:00,600,132,167,A
SE00123,TR00347,ST0224,21:47:00,10:50:00,300,17,170,A
SE00124,TR00473,ST0233,21:29:00,06:13:00,300,139,13,1
SE00125,TR00146,ST0127,17:16:00,06:34:00,120,25,121,B
SE00126,TR00237,ST0234,10:18:00,09:39:00,0,41,11,
SE00127,TR01080,ST0034,15:05:00,23:06:00,0,22,184,2
SE00128,TR00005,ST0125,12:15:00,05:21:00,120,18,11,1
SE00129,TR00554,ST0079,19:37:00,12:07:00,0,26,133,1
SE00130,TR00271,ST0058,05:45:00,06:16:00,600,28,61,B
SE00131,TR00523,ST0132,11:15:00,07:05:00,120,176,13,2
SE00132,TR00948,ST0089,13:44:00,07:45:00,60,28,49,B
SE00133,TR00993,ST0168,05:43:00,14:32:00,60,181,147,Quai Sud
SE00134,TR01085,ST0155,22:50:00,12:13:00,60,109,141,2
SE00135,TR00904,ST0017,23:24:00,21:52:00,120,43,19,
SE00136,TR00362,ST0138,17:47:00,15:56:00,0,175,21,1
SE00137,TR00345,ST0158,14:36:00,05:09:00,0,135,79,
SE00138,TR01147,ST0069,15:50:00,20:28:00,0,22,123,Quai Nord
SE00139,TR00801,ST0225,13:30:00,16:40:00,60,135,181,Quai Nord
SE00140,TR00911,ST0113,16:26:00,17:14:00,120,47,13,
SE00141,TR00633,ST0113,10:27:00,17:57:00,300,149,83,1
SE00142,TR01473,ST0241,15:11:00,08:00:00,60,128,189,A
SE00143,TR01174,ST0229,11:17:00,20:41:00,600,115,53,A
SE00144,TR00747,ST0004,07:01:00,23:10:00,0,158,88,Quai Nord
SE00145,TR01151,ST0014,06:09:00,17:09:00,120,132,73,2
SE00146,TR00467,ST0188,14:51:00,13:48:00,0,92,125,1
SE00147,TR00791,ST0225,22:15:00,19:48:00,0,73,93,2
SE00148,TR00244,ST0218,18:01:00,13:37:00,120,12,7,B
SE00149,TR00989,ST0121,07:02:00,08:56:00,120,4,126,Quai Sud
SE00150,TR00530,ST0121,17:41:00,18:46:00,60,186,79,Quai Sud
SE00151,TR00208,ST0117,10:21:00,06:18:00,60,33,179,A
SE00152,TR00791,ST0100,15:02:00,15:11:00,0,156,18,2
SE00153,TR01115,ST0098,09:17:00,12:14:00,0,107,68,1
SE00154,TR00760,ST0124,21:25:00,17:37:00,0,78,5,1
SE00155,TR00705,ST0087,10:04:00,09:11:00,0,36,32,Quai Nord
SE00156,TR00875,ST0133,08:51:00,05:46:00,0,40,33,B
SE00157,TR00227,ST0068,17:17:00,06:58:00,180,141,26,B
SE00158,TR01292,ST0030,22:31:00,14:13:00,0,78,8,1
SE00159,TR00827,ST0050,23:49:00,09:10:00,60,106,127,B
SE00160,TR00226,ST0095,15:58:00,10:53:00,600,149,25,Quai Nord
SE00161,TR00101,ST0153,10:03:00,07:10:00,0,16,148,
SE00162,TR00526,ST0166,14:28:00,20:20:00,120,187,34,A
SE00163,TR01007,ST0103,23:49:00,19:28:00,120,32,3,A
SE00164,TR00015,ST0019,19:21:00,17:49:00,120,78,13,Quai Sud
SE00165,TR00479,ST0117,13:27:00,16:19:00,180,88,37,B
SE00166,TR01109,ST0051,11:26:00,08:04:00,0,24,117,1
SE00167,TR00763,ST0241,10:19:00,08:16:00,300,32,96,2
SE00168,TR01025,ST0114,08:23:00,10:47:00,180,93,98,Quai Nord
SE00169,TR00624,ST0200,12:18:00,21:28:00,0,84,24,2
SE00170,TR01124,ST0026,12:12:00,14:28:00,600,165,183,Quai Nord
SE00171,TR00044,ST0071,09:21:00,20:53:00,300,3,102,2
SE00172,TR00504,ST0158,20:54:00,08:36:00,300,74,101,Quai Nord
SE00173,TR00328,ST0178,05:19:00,07:19:00,0,40,117,Quai Sud
SE00174,TR00994,ST0108,17:09:00,08:43:00,0,42,85,
SE00175,TR01295,ST0246,17:01:00,08:17:00,0,74,6,2
SE00176,TR00544,ST0074,17:23:00,11:33:00,0,116,44,Quai Sud
SE00177,TR01421,ST0171,16:22:00,20:57:00,180,199,41,2
SE00178,TR00308,ST0001,23:31:00,07:04:00,0,154,28,
SE00179,TR00206,ST0164,20:48:00,14:01:00,120,77,127,B
SE00180,TR00041,ST0200,12:00:00,09:15:00,0,46,180,B
SE00181,TR00472,ST0021,15:26:00,18:10:00,60,109,131,Quai Sud
SE00182,TR01162,ST0057,14:12:00,11:24:00,0,175,85,A
SE00183,TR01042,ST0061,22:49:00,05:57:00,0,3,134,A
SE00184,TR01000,ST0142,06:01:00,12:56:00,0,99,154,Quai Nord
SE00185,TR00867,ST0216,22:12:00,17:57:00,0,73,199,Quai Sud
SE00186,TR00608,ST0025,17:15:00,20:00:00,180,84,6,1
SE00187,TR01478,ST0001,15:30:00,06:50:00,60,90,150,B
SE00188,TR00346,ST0128,21:33:00,11:29:00,60,110,100,2
SE00189,TR00217,ST0080,17:10:00,21:48:00,60,79,83,
SE00190,TR00281,ST0180,19:52:00,15:10:00,300,52,87,Quai Nord
SE00191,TR00735,ST0006,17:42:00,17:58:00,0,139,58,A
SE00192,TR00693,ST0184,11:34:00,17:45:00,120,112,122,Quai Nord
SE00193,TR01106,ST0242,18:20:00,14:13:00,0,66,153,B
SE00194,TR00870,ST0021,18:55:00,06:36:00,180,87,10,1
SE00195,TR01323,ST0119,07:07:00,19:41:00,600,21,2,2
SE00196,TR01284,ST0147,10:02:00,17:45:00,0,192,40,
SE00197,TR00392,ST0054,06:34:00,08:36:00,300,158,1,
SE00198,TR01340,ST0090,06:12:00,22:31:00,0,159,174,B
SE00199,TR01225,ST0094,15:56:00,05:27:00,120,120,132,
SE00200,TR00962,ST0222,21:53:00,12:33:00,180,58,27,Quai Sud
SE00201,TR00748,ST0195,16:05:00,19:23:00,0,178,187,2
SE00202,TR00919,ST0019,15:38:00,05:23:00,120,12,42,B
SE00203,TR00256,ST0086,09:39:00,18:15:00,180,184,17,2
SE00204,TR00856,ST0227,12:35:00,17:35:00,600,196,108,
SE00205,TR00220,ST0131,17:55:00,10:10:00,0,12,59,A
SE00206,TR00499,ST0016,09:27:00,22:02:00,60,60,163,B
SE00207,TR00666,ST0015,15:21:00,07:57:00,0,68,199,B
SE00208,TR00343,ST0095,08:28:00,12:44:00,120,175,50,
SE00209,TR00908,ST0113,20:31:00,05:25:00,600,14,40,
SE00210,TR01436,ST0198,05:29:00,09:21:00,600,19,85,Quai Sud
SE00211,TR01142,ST0078,06:27:00,12:26:00,0,13,87,A
SE00212,TR00420,ST0091,23:15:00,17:43:00,600,118,11,Quai Sud
SE00213,TR01347,ST0211,16:26:00,22:10:00,60,36,101,
SE00214,TR01094,ST0217,19:25:00,06:31:00,60,190,2,B
SE00215,TR00824,ST0216,11:13:00,05:10:00,0,22,191,Quai Sud
SE00216,TR00197,ST0052,08:16:00,17:54:00,60,69,9,A
SE00217,TR00411,ST0053,18:08:00,05:25:00,0,45,45,Quai Sud
SE00218,TR00708,ST0121,22:14:00,10:26:00,60,46,51,2
SE00219,TR00680,ST0155,11:22:00,11:49:00,0,194,0,Quai Nord
SE00220,TR00582,ST0121,05:26:00,06:52:00,180,99,114,1
SE00221,TR01435,ST0113,19:01:00,16:18:00,600,11,7,2
SE00222,TR00802,ST0247,11:58:00,15:06:00,120,94,96,
SE00223,TR01064,ST0087,15:23:00,05:36:00,180,77,105,Quai Nord
SE00224,TR00408,ST0219,19:54:00,12:49:00,0,43,79,B
SE00225,TR01463,ST0114,09:37:00,14:59:00,0,70,17,Quai Nord
SE00226,TR00259,ST0098,13:03:00,07:26:00,180,91,161,1
SE00227,TR01173,ST0062,09:31:00,23:45:00,300,86,17,A
SE00228,TR01329,ST0004,18:47:00,17:01:00,0,187,128,1
SE00229,TR00797,ST0211,18:41:00,18:06:00,180,153,93,Quai Nord
SE00230,TR01118,ST0149,16:46:00,06:37:00,0,113,106,1
SE00231,TR00887,ST0188,17:56:00,10:05:00,300,39,127,
SE00232,TR01498,ST0061,07:54:00,10:50:00,0,186,43,Quai Nord
SE00233,TR01173,ST0060,22:42:00,11:33:00,60,69,179,B
SE00234,TR00188,ST0193,13:57:00,17:52:00,60,49,187,Quai Sud
SE00235,TR00554,ST0192,06:44:00,08:54:00,60,60,47,
SE00236,TR00849,ST0041,17:58:00,09:53:00,300,76,127,2
SE00237,TR00065,ST0115,12:22:00,06:51:00,120,139,61,B
SE00238,TR00673,ST0120,21:45:00,08:48:00,0,76,112,B
SE00239,TR00352,ST0203,06:07:00,15:11:00,300,92,15,
SE00240,TR01077,ST0032,22:42:00,18:17:00,0,190,73,2
SE00241,TR01149,ST0101,16:35:00,13:13:00,600,119,61,Quai Sud
SE00242,TR00709,ST0062,18:08:00,15:44:00,300,63,73,B
SE00243,TR00328,ST0126,14:42:00,11:26:00,0,16,95,2
SE00244,TR00209,ST0163,14:21:00,21:13:00,600,47,63,B
SE00245,TR00173,ST0039,17:51:00,09:34:00,0,173,24,Quai Nord
SE00246,TR01487,ST0107,23:19:00,16:22:00,0,57,8,B
SE00247,TR00789,ST0048,21:49:00,14:26:00,0,197,75,Quai Nord
SE00248,TR00896,ST0010,19:42:00,06:52:00,60,126,137,2
SE00249,TR01395,ST0039,17:16:00,13:30:00,0,103,149,1
SE00250,TR00006,ST0204,17:48:00,13:34:00,120,157,26,Quai Nord
SE00251,TR00391,ST0134,17:18:00,11:27:00,0,196,124,1
SE00252,TR00643,ST0163,11:02:00,07:35:00,0,123,27,1
SE00253,TR00423,ST0024,13:17:00,23:47:00,0,181,163,Quai Nord
SE00254,TR00351,ST0019,18:54:00,11:17:00,600,119,43,
SE00255,TR01253,ST0011,14:03:00,20:42:00,0,46,199,B
SE00256,TR00852,ST0124,13:04:00,20:08:00,300,23,108,2
SE00257,TR00022,ST0068,11:34:00,07:16:00,0,28,30,2
SE00258,TR01492,ST0037,15:34:00,10:27:00,120,113,40,2
SE00259,TR00354,ST0167,18:01:00,05:31:00,180,4,36,1
SE00260,TR01447,ST0070,08:19:00,23:16:00,0,8,133,1
SE00261,TR01277,ST0115,11:53:00,11:31:00,120,99,158,Quai Sud
SE00262,TR00914,ST0149,14:14:00,22:23:00,60,75,105,1
SE00263,TR00702,ST0166,11:31:00,20:13:00,0,72,194,Quai Sud
SE00264,TR00380,ST0114,17:38:00,19:38:00,300,17,118,2
SE00265,TR01108,ST0034,15:43:00,08:20:00,0,70,166,B
SE00266,TR00224,ST0101,15:43:00,06:14:00,600,37,98,2
SE00267,TR01488,ST0216,08:14:00,19:52:00,600,145,125,Quai Sud
SE00268,TR00037,ST0165,22:25:00,13:51:00,0,1,43,Quai Nord
SE00269,TR00626,ST0003,23:33:00,20:01:00,0,159,161,A
SE00270,TR00134,ST0188,23:25:00,10:41:00,0,73,126,Quai Nord
SE00271,TR00499,ST0120,05:32:00,18:40:00,300,41,9,Quai Sud
SE00272,TR00609,ST0168,16:48:00,13:40:00,180,75,167,A
SE00273,TR00706,ST0186,09:26:00,19:48:00,60,168,76,A
SE00274,TR00769,ST0157,14:10:00,17:22:00,0,132,198,Quai Nord
SE00275,TR00645,ST0018,17:48:00,11:10:00,0,45,18,
SE00276,TR00019,ST0069,23:37:00,20:31:00,60,50,9,A
SE00277,TR01255,ST0120,14:02:00,05:50:00,180,42,88,Quai Sud
SE00278,TR01379,ST0007,06:52:00,23:58:00,0,65,172,2
SE00279,TR01451,ST0215,22:18:00,19:09:00,120,89,164,1
SE00280,TR00408,ST0012,11:23:00,13:44:00,0,37,187,A
SE00281,TR00123,ST0172,16:02:00,18:50:00,600,105,28,1
SE00282,TR00766,ST0031,23:28:00,14:17:00,0,76,66,A
SE00283,TR00228,ST0056,05:25:00,12:07:00,600,95,141,A
SE00284,TR01094,ST0194,12:57:00,12:38:00,60,53,117,Quai Sud
SE00285,TR01361,ST0150,10:23:00,22:02:00,0,97,122,A
SE00286,TR01267,ST0239,16:29:00,23:03:00,0,196,25,B
SE00287,TR01211,ST0179,15:14:00,11:36:00,0,93,119,2
SE00288,TR00402,ST0184,10:26:00,16:57:00,0,19,7,1
SE00289,TR00321,ST0172,08:38:00,17:17:00,120,105,90,A
SE00290,TR00182,ST0205,19:49:00,19:10:00,600,109,56,Quai Sud
SE00291,TR00336,ST0233,05:50:00,14:00:00,600,100,100,B
SE00292,TR00731,ST0040,17:09:00,22:41:00,120,139,77,
SE00293,TR00792,ST0166,08:31:00,23:41:00,0,94,174,1
SE00294,TR01385,ST0014,12:55:00,14:53:00,0,33,176,B
SE00295,TR01036,ST0135,06:52:00,20:35:00,600,4,4,Quai Nord
SE00296,TR01178,ST0041,10:51:00,05:14:00,0,104,52,A
SE00297,TR01180,ST0015,18:14:00,20:59:00,600,52,100,B
SE00298,TR01233,ST0003,06:24:00,11:25:00,300,109,200,Quai Sud
SE00299,TR01065,ST0164,18:34:00,12:24:00,60,51,171,
SE00300,TR01448,ST0149,12:22:00,19:25:00,180,52,127,A
SE00301,TR00520,ST0045,07:34:00,17:42:00,180,132,1,2
SE00302,TR01244,ST0146,06:29:00,21:45:00,600,195,50,B
SE00303,TR00772,ST0214,07:16:00,17:31:00,300,89,10,1
SE00304,TR00326,ST0153,08:56:00,16:46:00,600,84,169,A
SE00305,TR00188,ST0105,11:47:00,15:31:00,600,80,76,2
SE00306,TR00983,ST0140,14:41:00,13:42:00,120,58,24,B
SE00307,TR01180,ST0088,06:36:00,12:39:00,60,136,188,A
SE00308,TR00078,ST0139,17:41:00,20:38:00,180,133,129,A
SE00309,TR00894,ST0207,10:20:00,20:14:00,600,199,157,1
SE00310,TR01055,ST0236,23:07:00,09:04:00,0,102,119,B
SE00311,TR00821,ST0048,17:36:00,17:26:00,0,139,101,1
SE00312,TR01496,ST0089,22:31:00,17:45:00,0,172,51,A
SE00313,TR01118,ST0227,13:18:00,21:40:00,180,123,129,Quai Sud
SE00314,TR00637,ST0105,19:36:00,09:55:00,0,21,88,
SE00315,TR01145,ST0217,21:14:00,16:06:00,600,34,38,Quai Sud
SE00316,TR01252,ST0191,22:34:00,11:51:00,180,153,77,2
SE00317,TR00861,ST0097,10:30:00,12:46:00,0,101,111,
SE00318,TR01182,ST0012,05:44:00,13:35:00,0,174,37,2
SE00319,TR00289,ST0115,16:19:00,20:53:00,600,132,110,
SE00320,TR00062,ST0100,17:35:00,10:46:00,180,151,74,A
SE00321,TR00149,ST0116,11:07:00,11:15:00,0,200,188,A
SE00322,TR00217,ST0120,18:35:00,18:04:00,120,148,28,B
SE00323,TR01049,ST0077,08:56:00,11:57:00,60,150,183,2
SE00324,TR00238,ST0014,16:25:00,16:01:00,0,39,151,1
SE00325,TR00900,ST0046,17:57:00,20:06:00,180,62,151,Quai Sud
SE00326,TR00985,ST0009,22:46:00,23:32:00,0,138,3,A
SE00327,TR00181,ST0217,08:23:00,17:43:00,0,92,81,Quai Sud
SE00328,TR00889,ST0049,18:12:00,12:45:00,600,89,185,Quai Sud
SE00329,TR00751,ST0117,12:58:00,10:40:00,60,3,9,1
SE00330,TR01285,ST0070,20:46:00,09:14:00,600,12,29,Quai Nord
SE00331,TR01141,ST0018,13:02:00,05:09:00,0,186,52,
SE00332,TR01024,ST0045,08:26:00,12:45:00,0,63,51,A
SE00333,TR01013,ST0194,10:25:00,15:41:00,600,106,56,Quai Sud
SE00334,TR01240,ST0081,22:00:00,14:57:00,300,22,109,B
SE00335,TR00368,ST0142,06:45:00,07:56:00,60,16,116,
SE00336,TR00944,ST0073,07:26:00,23:40:00,600,99,51,1
SE00337,TR00418,ST0075,08:06:00,15:46:00,60,162,27,A
SE00338,TR00121,ST0044,17:03:00,15:17:00,0,54,112,2
SE00339,TR00502,ST0047,13:10:00,23:02:00,0,12,19,Quai Nord
SE00340,TR00558,ST0186,06:47:00,22:42:00,0,168,125,2
SE00341,TR00750,ST0168,20:29:00,07:41:00,0,27,64,1
SE00342,TR01016,ST0075,09:28:00,14:23:00,0,40,139,1
SE00343,TR00613,ST0209,09:54:00,23:01:00,0,53,63,A
SE00344,TR00142,ST0184,07:38:00,20:57:00,600,148,137,Quai Sud
SE00345,TR00328,ST0046,23:23:00,17:55:00,0,29,152,B
SE00346,TR01001,ST0208,06:29:00,21:01:00,0,154,122,Quai Sud
SE00347,TR00097,ST0082,21:24:00,19:43:00,120,115,123,
SE00348,TR00404,ST0247,23:16:00,10:07:00,60,15,187,2
SE00349,TR01092,ST0241,17:32:00,21:12:00,120,42,96,A
SE00350,TR00997,ST0109,21:40:00,15:51:00,180,184,161,Quai Nord
SE00351,TR00325,ST0097,13:53:00,20:38:00,0,55,128,Quai Nord
SE00352,TR00855,ST0063,13:10:00,16:38:00,60,150,114,Quai Sud
SE00353,TR00661,ST0216,09:11:00,19:54:00,0,198,163,
SE00354,TR00673,ST0210,12:16:00,20:20:00,60,193,34,
SE00355,TR01042,ST0001,15:41:00,20:18:00,60,156,113,2
SE00356,TR01175,ST0126,08:58:00,10:57:00,0,46,187,1
SE00357,TR01263,ST0161,08:43:00,13:22:00,0,65,138,
SE00358,TR00427,ST0232,17:36:00,13:57:00,0,105,50,2
SE00359,TR00365,ST0170,10:05:00,21:45:00,0,154,162,A
SE00360,TR01100,ST0192,06:08:00,21:11:00,120,86,78,1
SE00361,TR00633,ST0010,07:56:00,20:33:00,600,67,23,Quai Sud
SE00362,TR01284,ST0150,05:38:00,22:18:00,600,126,29,Quai Sud
SE00363,TR01172,ST0128,17:09:00,23:04:00,180,191,99,B
SE00364,TR01000,ST0247,08:14:00,20:44:00,0,132,131,B
SE00365,TR00447,ST0244,07:02:00,21:39:00,180,148,96,Quai Nord
SE00366,TR00968,ST0224,09:06:00,20:15:00,0,18,21,
SE00367,TR00709,ST0069,12:08:00,06:07:00,600,48,155,Quai Nord
SE00368,TR01301,ST0155,18:42:00,06:52:00,0,121,196,1
SE00369,TR00734,ST0134,17:21:00,07:45:00,0,106,20,2
SE00370,TR01497,ST0073,13:28:00,10:07:00,120,188,32,A
SE00371,TR00353,ST0149,09:38:00,10:41:00,60,19,166,B
SE00372,TR01238,ST0052,22:41:00,11:15:00,120,19,34,B
SE00373,TR01196,ST0123,10:10:00,08:07:00,600,18,94,A
SE00374,TR00511,ST0004,08:55:00,20:48:00,60,64,10,Quai Sud
SE00375,TR00874,ST0171,12:08:00,06:50:00,120,0,200,B
SE00376,TR01156,ST0120,16:52:00,07:03:00,0,61,118,Quai Nord
SE00377,TR00921,ST0217,10:36:00,19:28:00,180,96,13,2
SE00378,TR01065,ST0105,19:47:00,16:50:00,600,115,65,Quai Sud
SE00379,TR01486,ST0016,10:03:00,06:14:00,600,75,174,2
SE00380,TR00384,ST0080,16:47:00,08:20:00,300,164,129,1
SE00381,TR00093,ST0163,09:29:00,19:16:00,180,105,87,2
SE00382,TR00653,ST0163,11:36:00,21:49:00,0,52,187,B
SE00383,TR01193,ST0088,13:58:00,13:22:00,0,162,82,A
SE00384,TR00312,ST0178,12:57:00,14:49:00,120,5,121,A
