reading_id,meter_id,reading_date,reading_value,unit,reading_type,reported_by,validated
RDG000039,MTR000282,2024-12-29,7506.82,kWh,estimated,smart_meter,false
RDG000040,MTR000118,2025-04-04,5830.95,kWh,smart_auto,technician,false
RDG000041,MTR000296,2023-03-26,3894.13,m3,smart_auto,customer,true
RDG000042,MTR000186,2022-02-05,142.7,kWh,estimated,smart_meter,true
RDG000043,MTR000069,2022-05-03,4608.48,m3,estimated,technician,true
RDG000044,MTR000151,2025-02-03,6959.79,kWh,estimated,customer,true
RDG000045,MTR000115,2022-10-10,932.4,kWh,actual,smart_meter,false
RDG000046,MTR000074,2022-02-23,1918.43,m3,smart_auto,technician,true
RDG000047,MTR000028,2025-09-19,3521.94,m3,smart_auto,customer,true
RDG000048,MTR000305,2022-03-03,13070.11,kWh,actual,technician,true
RDG000049,MTR000041,2022-01-26,3751.18,kWh,smart_auto,technician,true
RDG000050,MTR000392,2022-10-14,2818.13,kWh,smart_auto,smart_meter,false
RDG000051,MTR000154,2023-11-22,2377.41,m3,estimated,smart_meter,false
RDG000052,MTR000007,2022-11-16,1469.51,m3,actual,smart_meter,true
RDG000053,MTR000310,2024-10-27,3768.11,m3,actual,customer,true
RDG000054,MTR000217,2024-07-19,10230.56,kWh,smart_auto,smart_meter,true
RDG000055,MTR000293,2025-12-23,7577.9,kWh,actual,technician,true
RDG000056,MTR000140,2024-12-04,14599.52,kWh,estimated,customer,false
RDG000057,MTR000109,2022-04-25,2031.99,m3,actual,technician,true
RDG000058,MTR000382,2025-05-24,4881.14,m3,actual,smart_meter,true
RDG000059,MTR000245,2025-08-07,4766.53,kWh,estimated,technician,true
RDG000060,MTR000028,2025-08-17,4026.53,m3,estimated,customer,true
RDG000061,MTR000056,2024-01-13,1655.56,kWh,smart_auto,technician,true
RDG000062,MTR000123,2025-01-14,1446.92,m3,actual,customer,true
RDG000063,MTR000306,2023-09-26,104.34,m3,actual,smart_meter,true
RDG000064,MTR000327,2023-05-08,4649.55,m3,estimated,customer,false
RDG000065,MTR000290,2024-09-17,768.63,kWh,actual,customer,true
RDG000066,MTR000048,2022-01-18,14158.29,kWh,estimated,technician,true
RDG000067,MTR000257,2024-03-11,1014.67,m3,smart_auto,technician,true
RDG000068,MTR000360,2023-11-10,3389.7,m3,estimated,smart_meter,false
RDG000069,MTR000052,2022-11-04,2535.78,m3,actual,smart_meter,true
RDG000070,MTR000245,2022-03-18,8836.74,kWh,estimated,customer,true
RDG000071,MTR000350,2025-07-05,2342.38,m3,actual,smart_meter,true
RDG000072,MTR000111,2025-09-01,12131.39,kWh,actual,smart_meter,true
RDG000073,MTR000257,2025-05-31,2605.69,m3,smart_auto,smart_meter,true
RDG000074,MTR000230,2023-11-26,3937.49,m3,estimated,technician,false
RDG000075,MTR000221,2025-12-30,248.06,m3,smart_auto,technician,true
RDG000076,MTR000107,2025-05-27,4985.2,m3,actual,customer,false
RDG000077,MTR000322,2022-07-19,4972.3,m3,actual,customer,true
RDG000078,MTR000281,2022-06-28,4344.29,m3,estimated,customer,true
RDG000079,MTR000161,2023-08-29,890.1,m3,actual,customer,true
RDG000080,MTR000296,2022-07-02,1848.47,m3,actual,customer,false
RDG000081,MTR000396,2024-08-27,6965.04,kWh,estimated,technician,false
RDG000082,MTR000072,2025-03-10,4702.16,m3,estimated,customer,true
RDG000083,MTR000147,2025-06-23,6073.99,kWh,smart_auto,customer,true
RDG000084,MTR000188,2025-07-03,7735.94,kWh,estimated,technician,true
RDG000085,MTR000350,2024-07-10,2095.31,m3,estimated,smart_meter,true
RDG000086,MTR000318,2022-04-27,14663.73,kWh,smart_auto,customer,false
RDG000087,MTR000288,2022-08-04,89.32,m3,estimated,technician,true
RDG000088,MTR000292,2022-05-30,6049.28,kWh,actual,technician,true
RDG000089,MTR000343,2024-08-12,1493.2,kWh,estimated,smart_meter,false
RDG000090,MTR000239,2023-01-05,1725.87,kWh,smart_auto,customer,true
RDG000091,MTR000394,2024-04-02,2193.92,m3,estimated,customer,true
RDG000092,MTR000176,2024-09-22,14946.93,kWh,actual,smart_meter,false
RDG000093,MTR000244,2024-07-19,615.92,m3,actual,smart_meter,true
RDG000094,MTR000241,2023-03-14,770.29,m3,estimated,smart_meter,true
RDG000095,MTR000308,2022-05-08,3882.32,m3,estimated,technician,true
RDG000096,MTR000110,2022-02-16,317.68,m3,smart_auto,technician,true
RDG000097,MTR000130,2022-06-21,9571.74,kWh,actual,customer,true
RDG000098,MTR000208,2025-12-29,1317.47,kWh,estimated,technician,false
RDG000099,MTR000110,2023-06-16,3364.74,m3,actual,customer,true
RDG000100,MTR000220,2023-09-01,5196.09,kWh,actual,customer,true
RDG000101,MTR000215,2025-01-01,2434.05,m3,smart_auto,customer,false
RDG000102,MTR000224,2025-11-20,5384.92,kWh,smart_auto,technician,true
RDG000103,MTR000288,2025-05-07,3926.21,m3,actual,customer,false
RDG000104,MTR000342,2022-10-24,8719.49,kWh,estimated,smart_meter,false
RDG000105,MTR000381,2023-10-11,4134.91,m3,actual,customer,true
RDG000106,MTR000076,2023-10-11,2522.26,m3,actual,smart_meter,true
RDG000107,MTR000135,2022-01-08,7858.31,kWh,estimated,customer,false
RDG000108,MTR000231,2025-03-30,9619.85,kWh,actual,customer,true
RDG000109,MTR000382,2024-05-10,4896.21,m3,smart_auto,smart_meter,true
RDG000110,MTR000308,2023-12-14,1918.91,m3,actual,customer,false
RDG000111,MTR000296,2024-01-29,4777.77,m3,estimated,customer,true
RDG000112,MTR000158,2022-09-13,7581.07,kWh,smart_auto,technician,false
RDG000113,MTR000234,2023-12-22,6269.4,kWh,estimated,smart_meter,true
RDG000114,MTR000268,2023-11-19,4871.65,m3,actual,customer,true
RDG000115,MTR000220,2025-02-06,5659.51,kWh,smart_auto,customer,false
RDG000116,MTR000224,2025-09-12,5785.29,kWh,smart_auto,smart_meter,true
RDG000117,MTR000325,2025-06-24,1452.08,m3,actual,customer,true
RDG000118,MTR000046,2025-06-16,3265.64,m3,estimated,customer,true
RDG000119,MTR000384,2025-01-20,11300.73,kWh,actual,smart_meter,true
RDG000120,MTR000258,2022-03-08,2927.11,m3,smart_auto,technician,true
RDG000121,MTR000109,2024-07-20,1153.25,m3,smart_auto,technician,true
RDG000122,MTR000101,2022-09-12,4288.9,m3,estimated,technician,true
RDG000123,MTR000331,2024-03-21,3533.98,m3,actual,technician,true
RDG000124,MTR000260,2025-09-10,4325.71,kWh,estimated,technician,true
RDG000125,MTR000345,2024-04-29,3699.16,kWh,actual,customer,true
RDG000126,MTR000079,2024-11-28,3963.03,m3,smart_auto,smart_meter,true
RDG000127,MTR000172,2025-03-17,2639.12,kWh,estimated,customer,false
RDG000128,MTR000201,2025-08-12,1003.67,m3,estimated,customer,false
RDG000129,MTR000220,2025-07-27,2020.17,kWh,estimated,smart_meter,true
RDG000130,MTR000207,2024-11-25,13572.15,kWh,actual,technician,true
RDG000131,MTR000051,2022-09-16,10679.37,kWh,smart_auto,customer,false
RDG000132,MTR000296,2025-07-08,3932.19,m3,estimated,smart_meter,true
RDG000133,MTR000166,2022-07-11,3136.06,kWh,actual,technician,true
RDG000134,MTR000322,2022-11-10,3861.66,m3,actual,smart_meter,false
RDG000135,MTR000279,2022-06-11,13816.86,kWh,smart_auto,technician,true
RDG000136,MTR000381,2024-07-18,3684.14,m3,smart_auto,smart_meter,true
RDG000137,MTR000096,2023-03-31,1236.62,m3,estimated,customer,false
RDG000138,MTR000126,2024-02-14,3645.25,m3,estimated,smart_meter,true
RDG000139,MTR000141,2022-10-22,1336.15,kWh,smart_auto,customer,false
RDG000140,MTR000297,2022-08-16,13017.39,kWh,estimated,smart_meter,true
RDG000141,MTR000055,2023-06-21,2213.35,kWh,actual,customer,true
RDG000142,MTR000254,2023-03-02,4230.89,m3,estimated,customer,true
RDG000143,MTR000012,2024-09-23,2098.04,m3,smart_auto,customer,true
RDG000144,MTR000352,2023-10-05,6356.62,kWh,smart_auto,technician,true
RDG000145,MTR000093,2023-01-01,4551.45,kWh,smart_auto,smart_meter,false
RDG000146,MTR000311,2022-08-29,4281.3,m3,estimated,technician,true
RDG000147,MTR000315,2022-01-11,9039.89,kWh,actual,smart_meter,false
RDG000148,MTR000131,2023-01-30,13906.09,kWh,smart_auto,customer,false
RDG000149,MTR000012,2022-11-09,2614.07,m3,actual,technician,true
RDG000150,MTR000112,2022-10-11,539.51,kWh,actual,customer,false
RDG000151,MTR000355,2023-07-03,14103.74,kWh,estimated,technician,true
RDG000152,MTR000048,2025-02-03,5293.45,kWh,smart_auto,technician,true
RDG000153,MTR000382,2024-06-12,4054.61,m3,smart_auto,technician,true
RDG000154,MTR000129,2025-11-08,906.15,m3,smart_auto,technician,true
RDG000155,MTR000053,2025-04-18,8796.36,kWh,estimated,customer,true
RDG000156,MTR000370,2024-07-02,2464.77,m3,estimated,smart_meter,false
RDG000157,MTR000140,2025-06-29,12256.79,kWh,actual,smart_meter,true
RDG000158,MTR000220,2023-12-24,3075.84,kWh,estimated,smart_meter,true
RDG000159,MTR000231,2022-03-11,2592.01,kWh,smart_auto,technician,false
RDG000160,MTR000210,2025-08-14,1502.69,m3,smart_auto,technician,true
RDG000161,MTR000016,2023-10-23,617.52,m3,estimated,customer,true
RDG000162,MTR000126,2025-09-07,409.57,m3,estimated,technician,true
RDG000163,MTR000400,2022-01-20,4785.35,kWh,estimated,smart_meter,true
RDG000164,MTR000368,2024-08-11,1677.9,m3,smart_auto,technician,true
RDG000165,MTR000288,2023-08-04,377.86,m3,smart_auto,customer,false
RDG000166,MTR000112,2023-07-24,1633.51,kWh,smart_auto,smart_meter,false
RDG000167,MTR000039,2025-08-16,2891.04,m3,estimated,smart_meter,true
RDG000168,MTR000163,2023-02-10,4076.3,m3,actual,customer,true
RDG000169,MTR000256,2023-07-17,797.2,kWh,estimated,customer,true
RDG000170,MTR000232,2023-11-01,2649.98,kWh,smart_auto,technician,true
RDG000171,MTR000296,2022-02-06,155.28,m3,smart_auto,smart_meter,true
RDG000172,MTR000237,2024-04-04,4337.05,kWh,actual,smart_meter,false
RDG000173,MTR000021,2022-02-03,1720.08,m3,actual,technician,true
RDG000174,MTR000213,2023-07-17,3630.11,m3,estimated,technician,true
RDG000175,MTR000041,2023-10-04,8391.11,kWh,estimated,smart_meter,true
RDG000176,MTR000202,2024-07-19,4546.81,kWh,estimated,smart_meter,true
RDG000177,MTR000192,2022-07-30,4691.63,m3,actual,customer,true
RDG000178,MTR000006,2023-10-24,736.74,m3,smart_auto,smart_meter,true
RDG000179,MTR000116,2023-01-27,892.45,m3,smart_auto,technician,false
RDG000180,MTR000003,2022-04-18,14018.24,kWh,estimated,customer,true
RDG000181,MTR000025,2022-06-03,14212.46,kWh,estimated,technician,false
RDG000182,MTR000314,2024-02-17,3968.56,m3,estimated,smart_meter,true
RDG000183,MTR000071,2022-09-03,8793.45,kWh,actual,technician,true
RDG000184,MTR000386,2024-04-26,8803.54,kWh,smart_auto,technician,false
RDG000185,MTR000063,2023-05-08,7874.28,kWh,smart_auto,technician,false
RDG000186,MTR000251,2023-10-22,14647.61,kWh,smart_auto,technician,true
RDG000187,MTR000048,2023-08-30,4030.8,kWh,smart_auto,customer,true
RDG000188,MTR000286,2023-05-12,12549.58,kWh,smart_auto,smart_meter,false
RDG000189,MTR000106,2022-06-03,10454.98,kWh,estimated,customer,true
RDG000190,MTR000007,2024-08-16,3368.97,m3,estimated,customer,true
RDG000191,MTR000054,2025-04-24,5172.71,kWh,smart_auto,smart_meter,true
RDG000192,MTR000390,2025-12-22,4724.69,m3,estimated,smart_meter,true
RDG000193,MTR000259,2022-09-24,1674.34,kWh,actual,technician,true
RDG000194,MTR000232,2024-11-17,13031.1,kWh,actual,technician,true
RDG000195,MTR000036,2022-12-03,4239.79,kWh,smart_auto,technician,false
RDG000196,MTR000332,2024-08-02,1620.76,kWh,actual,smart_meter,true
RDG000197,MTR000124,2024-08-01,347.16,kWh,actual,technician,true
RDG000198,MTR000244,2024-07-16,3326.33,m3,estimated,technician,true
RDG000199,MTR000282,2024-06-02,1352.59,kWh,actual,customer,true
RDG000200,MTR000258,2023-11-15,2182.7,m3,actual,technician,true
RDG000201,MTR000190,2025-08-21,1557.41,kWh,estimated,smart_meter,true
RDG000202,MTR000100,2024-04-04,4480.69,kWh,actual,smart_meter,true
RDG000203,MTR000272,2024-11-28,9150.98,kWh,estimated,customer,false
RDG000204,MTR000026,2022-08-16,3249.41,m3,actual,customer,true
RDG000205,MTR000019,2023-05-04,2897.39,m3,actual,smart_meter,true
RDG000206,MTR000142,2025-06-24,3474.33,kWh,smart_auto,smart_meter,true
RDG000207,MTR000201,2023-03-27,1994.78,m3,smart_auto,smart_meter,true
RDG000208,MTR000254,2023-02-21,1068.24,m3,estimated,smart_meter,true
RDG000209,MTR000362,2022-01-07,3001.75,m3,actual,customer,false
RDG000210,MTR000359,2023-09-18,9369.56,kWh,smart_auto,customer,true
RDG000211,MTR000162,2022-12-08,10253.49,kWh,actual,technician,true
RDG000212,MTR000073,2025-09-26,14437.42,kWh,estimated,technician,true
RDG000213,MTR000011,2023-06-25,2744.97,kWh,actual,customer,false
RDG000214,MTR000390,2025-05-01,4272.79,m3,estimated,technician,false
RDG000215,MTR000001,2023-05-22,7375.78,kWh,estimated,customer,true
RDG000216,MTR000009,2023-08-19,8552.27,kWh,actual,smart_meter,false
RDG000217,MTR000086,2022-07-12,3787.21,m3,actual,technician,false
RDG000218,MTR000172,2023-12-20,6843.98,kWh,smart_auto,technician,false
RDG000219,MTR000250,2024-07-28,3877.7,kWh,actual,technician,true
RDG000220,MTR000364,2024-11-26,1702.01,m3,smart_auto,smart_meter,true
RDG000221,MTR000058,2024-11-29,4122.07,kWh,smart_auto,smart_meter,true
RDG000222,MTR000076,2023-03-28,4894.26,m3,smart_auto,customer,true
RDG000223,MTR000255,2025-03-28,202.98,m3,smart_auto,smart_meter,true
RDG000224,MTR000185,2022-07-02,1071.22,m3,actual,technician,false
RDG000225,MTR000056,2025-07-07,14485.25,kWh,smart_auto,smart_meter,true
RDG000226,MTR000270,2025-10-22,2706.79,kWh,estimated,technician,true
RDG000227,MTR000302,2023-07-20,6317.68,kWh,estimated,customer,true
RDG000228,MTR000297,2023-12-05,7849.16,kWh,smart_auto,customer,true
RDG000229,MTR000233,2023-12-12,8543.27,kWh,estimated,customer,true
RDG000230,MTR000256,2022-10-29,13915.77,kWh,estimated,smart_meter,true
RDG000231,MTR000268,2025-07-01,4835.02,m3,smart_auto,smart_meter,true
RDG000232,MTR000156,2022-05-13,2459.78,m3,estimated,customer,true
RDG000233,MTR000021,2025-04-29,1125.76,m3,actual,customer,true
RDG000234,MTR000157,2023-12-23,75.2,m3,smart_auto,customer,true
RDG000235,MTR000129,2023-08-04,731.71,m3,smart_auto,smart_meter,false
RDG000236,MTR000080,2025-12-31,4770.74,m3,estimated,customer,false
RDG000237,MTR000101,2022-06-15,2188.65,m3,estimated,customer,true
RDG000238,MTR000243,2023-05-25,4668.03,m3,smart_auto,smart_meter,true
RDG000239,MTR000217,2022-07-20,6046.79,kWh,estimated,technician,false
RDG000240,MTR000160,2024-06-11,2682.2,kWh,smart_auto,technician,false
RDG000241,MTR000072,2023-02-13,3432.44,m3,estimated,customer,true
RDG000242,MTR000284,2023-09-17,3072.9,kWh,actual,technician,false
RDG000243,MTR000322,2023-01-11,2332.71,m3,estimated,technician,true
RDG000244,MTR000071,2025-11-22,7945.91,kWh,estimated,smart_meter,false
RDG000245,MTR000365,2023-12-27,5427.63,kWh,estimated,technician,true
RDG000246,MTR000211,2025-02-18,6973.13,kWh,actual,technician,true
RDG000247,MTR000387,2023-09-12,745.9,m3,actual,smart_meter,false
RDG000248,MTR000192,2025-01-17,680.01,m3,smart_auto,technician,true
RDG000249,MTR000387,2022-09-15,4233.28,m3,estimated,smart_meter,true
RDG000250,MTR000237,2024-11-26,12131.47,kWh,estimated,customer,true
RDG000251,MTR000029,2025-08-23,1387.37,m3,actual,technician,false
RDG000252,MTR000050,2025-03-04,12346.91,kWh,estimated,smart_meter,true
RDG000253,MTR000032,2025-04-12,651.14,m3,smart_auto,smart_meter,false
RDG000254,MTR000368,2023-02-24,312.45,m3,smart_auto,customer,false
RDG000255,MTR000380,2022-10-07,14512.45,kWh,actual,smart_meter,false
RDG000256,MTR000080,2023-09-29,1539.42,m3,smart_auto,customer,true
RDG000257,MTR000320,2022-08-23,10347.84,kWh,actual,customer,true
RDG000258,MTR000310,2024-11-30,4405.5,m3,actual,customer,true
RDG000259,MTR000054,2024-11-01,7158.76,kWh,estimated,technician,true
RDG000260,MTR000063,2024-09-17,4568.86,kWh,actual,customer,false
RDG000261,MTR000134,2025-10-27,4117.35,m3,estimated,smart_meter,false
RDG000262,MTR000064,2025-07-26,6542.07,kWh,actual,customer,true
RDG000263,MTR000382,2022-12-16,3304.45,m3,smart_auto,smart_meter,false
RDG000264,MTR000280,2024-09-10,1041.74,m3,estimated,technician,false
RDG000265,MTR000052,2024-10-06,4797.5,m3,estimated,smart_meter,true
RDG000266,MTR000201,2022-08-08,1959.81,m3,estimated,technician,true
RDG000267,MTR000076,2024-07-25,188.45,m3,actual,smart_meter,true
RDG000268,MTR000006,2022-03-11,2923.66,m3,smart_auto,smart_meter,false
RDG000269,MTR000318,2023-12-28,6722.74,kWh,actual,technician,false
RDG000270,MTR000235,2022-11-21,1420.67,m3,estimated,smart_meter,false
RDG000271,MTR000108,2025-12-17,1776.73,m3,smart_auto,technician,false
RDG000272,MTR000033,2022-11-07,2700.0,kWh,estimated,smart_meter,false
RDG000273,MTR000289,2022-10-14,1729.49,m3,estimated,smart_meter,true
RDG000274,MTR000202,2025-08-14,1116.33,kWh,estimated,technician,true
RDG000275,MTR000311,2025-03-25,3311.91,m3,smart_auto,smart_meter,false
RDG000276,MTR000270,2025-11-30,3962.47,kWh,estimated,smart_meter,false
RDG000277,MTR000179,2024-04-06,2943.24,m3,actual,customer,true
RDG000278,MTR000376,2022-07-17,837.94,m3,smart_auto,customer,true
RDG000279,MTR000348,2023-04-20,7198.55,kWh,smart_auto,customer,true
RDG000280,MTR000090,2024-02-26,3654.41,m3,estimated,customer,true
RDG000281,MTR000314,2022-03-18,1289.9,m3,smart_auto,customer,true
RDG000282,MTR000391,2025-07-16,5677.4,kWh,actual,customer,true
RDG000283,MTR000056,2024-02-13,10511.01,kWh,actual,smart_meter,false
RDG000284,MTR000285,2023-06-02,1038.69,m3,estimated,technician,false
RDG000285,MTR000147,2022-11-28,3459.9,kWh,estimated,smart_meter,true
RDG000286,MTR000045,2025-07-12,2931.43,m3,smart_auto,customer,true
RDG000287,MTR000018,2022-01-11,12169.13,kWh,estimated,technician,false
RDG000288,MTR000280,2023-11-29,4329.23,m3,actual,smart_meter,false
RDG000289,MTR000373,2024-10-13,3229.05,m3,actual,customer,false
RDG000290,MTR000243,2024-01-01,2529.21,m3,smart_auto,smart_meter,true
RDG000291,MTR000035,2025-07-04,2222.45,m3,estimated,customer,false
RDG000292,MTR000041,2024-11-25,1995.17,kWh,estimated,customer,true
RDG000293,MTR000256,2025-05-16,3535.55,kWh,smart_auto,technician,true
RDG000294,MTR000115,2023-08-17,12337.78,kWh,estimated,technician,false
RDG000295,MTR000184,2022-11-20,386.37,m3,estimated,customer,false
RDG000296,MTR000295,2024-11-26,1244.92,m3,smart_auto,smart_meter,true
RDG000297,MTR000205,2025-01-23,3112.29,m3,smart_auto,customer,false
RDG000298,MTR000242,2023-06-23,4687.79,m3,smart_auto,customer,true
RDG000299,MTR000174,2023-02-15,2135.96,m3,estimated,customer,true
RDG000300,MTR000105,2023-11-07,8251.6,kWh,smart_auto,customer,true
RDG000301,MTR000253,2025-02-28,410.91,m3,smart_auto,smart_meter,true
RDG000302,MTR000178,2024-05-02,14717.74,kWh,smart_auto,smart_meter,false
RDG000303,MTR000042,2024-09-07,4443.22,m3,actual,technician,false
RDG000304,MTR000022,2024-10-14,565.1,m3,smart_auto,customer,false
RDG000305,MTR000180,2023-09-14,2186.0,m3,actual,customer,true
RDG000306,MTR000014,2023-02-06,3879.39,m3,smart_auto,smart_meter,true
RDG000307,MTR000350,2022-02-07,3433.8,m3,smart_auto,technician,true
RDG000308,MTR000199,2025-11-25,3840.12,m3,actual,technician,false
RDG000309,MTR000219,2022-08-25,8288.22,kWh,estimated,customer,false
RDG000310,MTR000189,2023-12-04,5341.66,kWh,estimated,customer,true
RDG000311,MTR000119,2022-01-21,505.35,m3,actual,technician,false
RDG000312,MTR000386,2025-01-03,13336.2,kWh,smart_auto,customer,true
RDG000313,MTR000369,2022-04-27,3823.84,kWh,actual,customer,true
RDG000314,MTR000225,2022-03-31,2790.84,kWh,estimated,technician,false
RDG000315,MTR000336,2023-08-22,13367.33,kWh,actual,smart_meter,true
RDG000316,MTR000246,2025-09-06,3305.03,m3,actual,customer,true
RDG000317,MTR000279,2025-12-15,3167.33,kWh,smart_auto,technician,true
RDG000318,MTR000228,2024-01-22,3580.01,m3,smart_auto,technician,false
RDG000319,MTR000126,2023-07-02,2657.88,m3,estimated,smart_meter,false
RDG000320,MTR000258,2023-12-11,566.67,m3,estimated,smart_meter,false
RDG000321,MTR000249,2023-02-21,1434.93,m3,actual,smart_meter,true
RDG000322,MTR000157,2023-03-08,3722.45,m3,actual,technician,false
RDG000323,MTR000073,2023-04-27,634.43,kWh,smart_auto,technician,false
RDG000324,MTR000392,2022-08-22,6861.07,kWh,actual,technician,true
RDG000325,MTR000139,2024-02-26,1425.94,m3,estimated,customer,true
RDG000326,MTR000143,2024-02-26,12833.16,kWh,estimated,customer,true
RDG000327,MTR000197,2023-04-05,6715.89,kWh,actual,technician,true
RDG000328,MTR000338,2022-04-18,6523.17,kWh,smart_auto,technician,true
RDG000329,MTR000278,2022-02-23,3826.83,m3,smart_auto,technician,true
RDG000330,MTR000386,2022-02-26,8905.28,kWh,estimated,smart_meter,false
RDG000331,MTR000223,2022-04-27,4335.42,m3,actual,smart_meter,true
RDG000332,MTR000370,2023-08-12,4665.74,m3,smart_auto,technician,true
RDG000333,MTR000294,2024-11-28,3610.14,m3,estimated,customer,true
RDG000334,MTR000240,2023-05-03,11209.94,kWh,actual,customer,true
RDG000335,MTR000350,2022-06-25,4757.29,m3,actual,smart_meter,true
RDG000336,MTR000173,2022-03-21,2876.86,m3,smart_auto,technician,true
RDG000337,MTR000138,2025-08-30,3313.19,m3,smart_auto,customer,true
RDG000338,MTR000158,2023-10-20,8569.77,kWh,estimated,customer,true
RDG000339,MTR000237,2022-01-19,357.27,kWh,estimated,customer,true
RDG000340,MTR000246,2025-02-13,3206.83,m3,actual,technician,true
RDG000341,MTR000297,2023-07-21,14088.63,kWh,smart_auto,smart_meter,true
RDG000342,MTR000033,2023-06-13,6662.55,kWh,estimated,technician,true
RDG000343,MTR000066,2022-12-24,1175.72,m3,actual,smart_meter,false
RDG000344,MTR000026,2025-09-02,1201.73,m3,actual,customer,false
RDG000345,MTR000260,2025-04-02,12922.5,kWh,estimated,customer,false
RDG000346,MTR000368,2023-06-15,1178.36,m3,estimated,customer,false
RDG000347,MTR000181,2022-04-02,8152.58,kWh,smart_auto,customer,true
RDG000348,MTR000056,2024-06-27,1254.44,kWh,actual,smart_meter,true
RDG000349,MTR000122,2025-03-14,3140.22,kWh,estimated,smart_meter,true
RDG000350,MTR000037,2023-08-03,3227.34,m3,actual,customer,true
RDG000351,MTR000311,2023-11-18,3951.41,m3,estimated,smart_meter,true
RDG000352,MTR000241,2023-08-26,4715.27,m3,smart_auto,customer,true
RDG000353,MTR000189,2022-11-04,764.7,kWh,smart_auto,customer,true
RDG000354,MTR000312,2023-10-04,3251.05,kWh,smart_auto,smart_meter,false
RDG000355,MTR000261,2025-12-30,11773.66,kWh,estimated,customer,true
RDG000356,MTR000299,2022-11-04,585.73,kWh,estimated,smart_meter,true
RDG000357,MTR000040,2023-04-05,14383.51,kWh,smart_auto,smart_meter,false
RDG000358,MTR000323,2024-05-06,2763.75,m3,smart_auto,smart_meter,true
RDG000359,MTR000271,2025-05-28,11993.26,kWh,estimated,smart_meter,false
RDG000360,MTR000267,2023-07-06,6671.16,kWh,actual,smart_meter,true
RDG000361,MTR000125,2024-01-12,1676.99,m3,actual,technician,true
RDG000362,MTR000384,2025-11-20,14588.71,kWh,actual,technician,false
RDG000363,MTR000210,2023-12-22,1841.31,m3,smart_auto,smart_meter,true
RDG000364,MTR000186,2025-05-24,9834.62,kWh,actual,technician,true
RDG000365,MTR000118,2022-09-14,8583.2,kWh,smart_auto,customer,true
RDG000366,MTR000346,2022-10-10,2944.54,m3,smart_auto,technician,true
RDG000367,MTR000175,2022-06-16,1603.53,m3,estimated,technician,false
RDG000368,MTR000076,2025-07-19,2901.26,m3,actual,customer,true
RDG000369,MTR000008,2024-05-07,2584.89,kWh,estimated,smart_meter,false
