call_id,customer_id,call_datetime,duration_seconds,reason,agent_id,status,satisfaction_score,notes
CALL00057,CUST00073,2025-12-30 08:27:00,673,contract_change,AGT112,completed,3,Customer called regarding payment question
CALL00058,CUST00030,2023-02-07 20:11:00,1010,tariff_info,AGT142,resolved,4,Customer called regarding move out
CALL00059,CUST00193,2022-03-06 19:54:00,1478,technical_issue,AGT150,transferred,2,Customer called regarding general info
CALL00060,CUST00012,2023-07-23 19:51:00,202,tariff_info,AGT120,transferred,,Customer called regarding complaint
CALL00061,CUST00113,2022-02-10 08:53:00,1793,tariff_info,AGT139,callback_required,,Customer called regarding contract change
CALL00062,CUST00011,2022-12-12 15:35:00,508,tariff_info,AGT119,transferred,1,Customer called regarding tariff info
CALL00063,CUST00044,2023-03-25 14:22:00,937,move_in,AGT150,callback_required,4,Customer called regarding general info
CALL00064,CUST00066,2024-07-07 06:10:00,795,payment_question,AGT149,transferred,4,Customer called regarding contract change
CALL00065,CUST00108,2025-02-19 07:17:00,1469,tariff_info,AGT111,callback_required,3,Customer called regarding meter reading
CALL00066,CUST00168,2022-01-25 06:38:00,754,technical_issue,AGT132,transferred,3,Customer called regarding tariff info
CALL00067,CUST00190,2023-07-03 11:05:00,860,payment_question,AGT115,transferred,5,Customer called regarding billing inquiry
CALL00068,CUST00009,2025-04-06 13:30:00,1152,meter_reading,AGT116,resolved,,Customer called regarding tariff info
CALL00069,CUST00166,2025-07-24 19:47:00,252,payment_question,AGT114,resolved,5,Customer called regarding payment question
CALL00070,CUST00071,2023-03-11 20:03:00,871,move_out,AGT105,resolved,3,Customer called regarding move out
CALL00071,CUST00066,2024-04-28 20:08:00,1451,move_out,AGT148,callback_required,1,Customer called regarding move in
CALL00072,CUST00169,2023-09-01 08:33:00,823,complaint,AGT147,completed,2,Customer called regarding tariff info
CALL00073,CUST00122,2025-11-25 11:36:00,1786,meter_reading,AGT100,transferred,4,Customer called regarding complaint
CALL00074,CUST00099,2022-02-11 15:15:00,804,move_out,AGT148,resolved,,Customer called regarding billing inquiry
CALL00075,CUST00059,2025-12-16 13:28:00,606,move_out,AGT137,callback_required,,Customer called regarding move out
CALL00076,CUST00124,2025-08-13 20:42:00,492,billing_inquiry,AGT125,resolved,1,Customer called regarding complaint
CALL00077,CUST00035,2023-01-10 11:26:00,900,tariff_info,AGT136,transferred,5,Customer called regarding billing inquiry
CALL00078,CUST00198,2024-11-14 20:32:00,1385,complaint,AGT127,transferred,,Customer called regarding move in
CALL00079,CUST00174,2025-05-09 07:24:00,1024,technical_issue,AGT136,resolved,,Customer called regarding contract change
CALL00080,CUST00179,2024-11-20 22:48:00,1046,move_out,AGT101,transferred,3,Customer called regarding billing inquiry
CALL00081,CUST00172,2025-07-28 15:36:00,342,contract_change,AGT107,resolved,,Customer called regarding complaint
CALL00082,CUST00109,2025-12-04 08:34:00,882,tariff_info,AGT101,resolved,2,Customer called regarding billing inquiry
CALL00083,CUST00196,2022-05-23 18:48:00,393,general_info,AGT143,completed,5,Customer called regarding general info
CALL00084,CUST00046,2024-11-08 08:43:00,1220,complaint,AGT110,resolved,,Customer called regarding contract change
CALL00085,CUST00108,2025-12-09 16:56:00,1635,technical_issue,AGT149,callback_required,4,Customer called regarding billing inquiry
CALL00086,CUST00137,2024-05-16 15:39:00,597,contract_change,AGT125,transferred,,Customer called regarding technical issue
CALL00087,CUST00184,2025-11-25 13:56:00,238,technical_issue,AGT120,transferred,5,Customer called regarding billing inquiry
CALL00088,CUST00029,2023-08-02 17:49:00,1218,general_info,AGT126,resolved,,Customer called regarding move out
CALL00089,CUST00154,2023-01-03 08:39:00,756,complaint,AGT128,callback_required,,Customer called regarding payment question
CALL00090,CUST00156,2024-12-22 11:17:00,535,complaint,AGT132,transferred,2,Customer called regarding billing inquiry
CALL00091,CUST00179,2022-10-28 08:29:00,1544,complaint,AGT107,resolved,1,Customer called regarding move out
CALL00092,CUST00163,2024-02-11 14:42:00,514,meter_reading,AGT121,completed,,Customer called regarding payment question
CALL00093,CUST00198,2025-04-04 10:57:00,1800,complaint,AGT105,transferred,,Customer called regarding tariff info
CALL00094,CUST00199,2022-04-05 09:30:00,171,general_info,AGT109,resolved,1,Customer called regarding tariff info
CALL00095,CUST00013,2023-02-21 06:32:00,1348,complaint,AGT102,completed,4,Customer called regarding contract change
CALL00096,CUST00136,2022-12-06 19:35:00,416,payment_question,AGT119,transferred,1,Customer called regarding billing inquiry
CALL00097,CUST00118,2022-10-29 22:32:00,1411,general_info,AGT121,callback_required,4,Customer called regarding payment question
CALL00098,CUST00023,2022-06-04 19:34:00,64,move_out,AGT137,completed,4,Customer called regarding meter reading
CALL00099,CUST00044,2024-08-25 18:25:00,331,billing_inquiry,AGT135,completed,1,Customer called regarding technical issue
CALL00100,CUST00160,2022-09-03 20:03:00,1361,contract_change,AGT126,callback_required,3,Customer called regarding payment question
CALL00101,CUST00069,2023-03-24 16:51:00,1278,move_out,AGT140,callback_required,3,Customer called regarding complaint
CALL00102,CUST00175,2024-09-19 06:05:00,425,billing_inquiry,AGT147,transferred,2,Customer called regarding payment question
CALL00103,CUST00042,2025-09-08 17:13:00,895,general_info,AGT101,completed,2,Customer called regarding technical issue
CALL00104,CUST00118,2024-01-16 13:00:00,434,complaint,AGT117,resolved,1,Customer called regarding technical issue
CALL00105,CUST00157,2024-02-11 20:00:00,330,payment_question,AGT115,resolved,3,Customer called regarding billing inquiry
CALL00106,CUST00091,2023-12-28 13:44:00,1624,move_out,AGT116,completed,4,Customer called regarding move in
CALL00107,CUST00200,2023-07-25 06:15:00,879,payment_question,AGT132,callback_required,,Customer called regarding general info
CALL00108,CUST00116,2024-10-17 13:33:00,816,payment_question,AGT145,resolved,2,Customer called regarding contract change
CALL00109,CUST00060,2024-05-26 07:24:00,885,tariff_info,AGT138,resolved,,Customer called regarding meter reading
CALL00110,CUST00034,2024-02-03 15:36:00,1732,tariff_info,AGT142,callback_required,,Customer called regarding billing inquiry
CALL00111,CUST00066,2023-01-16 22:24:00,437,contract_change,AGT126,callback_required,,Customer called regarding move out
CALL00112,CUST00102,2022-05-29 20:59:00,1225,general_info,AGT126,callback_required,,Customer called regarding move in
CALL00113,CUST00097,2025-06-03 10:37:00,1569,general_info,AGT150,callback_required,,Customer called regarding complaint
CALL00114,CUST00189,2024-09-04 18:35:00,1114,tariff_info,AGT145,resolved,2,Customer called regarding move in
CALL00115,CUST00200,2024-06-07 06:19:00,308,technical_issue,AGT116,callback_required,,Customer called regarding payment question
CALL00116,CUST00156,2023-05-21 09:20:00,469,general_info,AGT133,callback_required,5,Customer called regarding meter reading
CALL00117,CUST00040,2022-09-16 18:00:00,120,billing_inquiry,AGT104,transferred,,Customer called regarding tariff info
CALL00118,CUST00103,2022-10-28 08:50:00,684,technical_issue,AGT102,transferred,5,Customer called regarding meter reading
CALL00119,CUST00056,2023-09-08 09:01:00,478,complaint,AGT136,resolved,5,Customer called regarding tariff info
CALL00120,CUST00034,2022-03-09 19:41:00,730,move_out,AGT119,callback_required,2,Customer called regarding payment question
CALL00121,CUST00003,2023-11-06 10:03:00,1122,contract_change,AGT114,transferred,1,Customer called regarding general info
CALL00122,CUST00125,2024-05-23 19:38:00,1699,meter_reading,AGT139,transferred,5,Customer called regarding move out
CALL00123,CUST00033,2025-03-10 07:41:00,817,move_out,AGT134,callback_required,1,Customer called regarding tariff info
CALL00124,CUST00169,2024-01-17 13:40:00,65,tariff_info,AGT139,resolved,5,Customer called regarding move out
CALL00125,CUST00147,2023-11-14 21:09:00,1611,payment_question,AGT100,transferred,,Customer called regarding payment question
CALL00126,CUST00126,2023-06-12 09:45:00,394,move_in,AGT114,completed,4,Customer called regarding general info
CALL00127,CUST00081,2024-04-08 09:00:00,166,tariff_info,AGT131,resolved,,Customer called regarding contract change
CALL00128,CUST00019,2024-10-13 17:03:00,522,move_out,AGT105,callback_required,2,Customer called regarding move in
CALL00129,CUST00160,2025-04-10 08:37:00,466,complaint,AGT130,callback_required,,Customer called regarding billing inquiry
CALL00130,CUST00049,2023-09-03 11:51:00,661,payment_question,AGT117,resolved,,Customer called regarding general info
CALL00131,CUST00001,2023-07-09 21:27:00,112,tariff_info,AGT147,resolved,2,Customer called regarding move in
CALL00132,CUST00017,2022-01-11 21:26:00,718,meter_reading,AGT149,completed,1,Customer called regarding complaint
CALL00133,CUST00200,2024-01-02 08:30:00,1483,technical_issue,AGT142,callback_required,5,Customer called regarding move in
CALL00134,CUST00021,2023-07-03 17:24:00,454,payment_question,AGT102,completed,3,Customer called regarding complaint
CALL00135,CUST00001,2023-12-07 17:34:00,1579,meter_reading,AGT146,completed,4,Customer called regarding payment question
CALL00136,CUST00070,2025-06-22 18:42:00,809,technical_issue,AGT138,completed,1,Customer called regarding tariff info
CALL00137,CUST00122,2022-01-06 07:18:00,83,general_info,AGT115,completed,3,Customer called regarding payment question
CALL00138,CUST00031,2025-01-10 14:01:00,1618,technical_issue,AGT138,callback_required,,Customer called regarding complaint
CALL00139,CUST00007,2025-10-26 12:37:00,843,move_out,AGT149,callback_required,1,Customer called regarding technical issue
CALL00140,CUST00132,2024-02-01 18:43:00,630,billing_inquiry,AGT142,resolved,1,Customer called regarding contract change
CALL00141,CUST00101,2023-10-21 11:38:00,1489,move_in,AGT105,resolved,,Customer called regarding move out
CALL00142,CUST00182,2025-05-14 12:55:00,477,technical_issue,AGT121,resolved,,Customer called regarding billing inquiry
CALL00143,CUST00049,2025-05-23 20:19:00,599,billing_inquiry,AGT132,completed,4,Customer called regarding tariff info
CALL00144,CUST00011,2024-11-01 21:02:00,1281,contract_change,AGT102,completed,5,Customer called regarding meter reading
CALL00145,CUST00139,2025-11-19 15:55:00,515,meter_reading,AGT105,callback_required,2,Customer called regarding move out
CALL00146,CUST00097,2022-07-25 09:21:00,1160,payment_question,AGT135,transferred,3,Customer called regarding contract change
CALL00147,CUST00103,2023-05-09 11:42:00,304,meter_reading,AGT138,resolved,,Customer called regarding tariff info
CALL00148,CUST00176,2025-10-08 11:09:00,97,move_in,AGT114,resolved,4,Customer called regarding tariff info
CALL00149,CUST00070,2024-01-15 14:18:00,1043,billing_inquiry,AGT134,callback_required,2,Customer called regarding meter reading
CALL00150,CUST00114,2022-05-11 15:24:00,1587,meter_reading,AGT139,transferred,5,Customer called regarding payment question
CALL00151,CUST00108,2024-09-22 18:26:00,330,move_out,AGT111,callback_required,5,Customer called regarding move out
CALL00152,CUST00001,2024-01-15 13:00:00,342,move_out,AGT104,transferred,,Customer called regarding move in
CALL00153,CUST00125,2025-02-11 20:00:00,502,move_out,AGT133,resolved,,Customer called regarding billing inquiry
CALL00154,CUST00101,2023-04-30 07:25:00,870,technical_issue,AGT127,completed,2,Customer called regarding complaint
CALL00155,CUST00165,2022-06-29 19:17:00,1775,billing_inquiry,AGT139,completed,,Customer called regarding technical issue
CALL00156,CUST00151,2022-03-31 09:10:00,180,technical_issue,AGT140,completed,,Customer called regarding contract change
CALL00157,CUST00006,2025-05-30 14:21:00,383,technical_issue,AGT149,resolved,5,Customer called regarding tariff info
CALL00158,CUST00179,2025-05-08 17:14:00,289,general_info,AGT141,callback_required,1,Customer called regarding billing inquiry
CALL00159,CUST00160,2024-12-28 19:02:00,332,tariff_info,AGT122,resolved,3,Customer called regarding payment question
CALL00160,CUST00070,2025-07-14 10:02:00,713,payment_question,AGT147,transferred,3,Customer called regarding technical issue
CALL00161,CUST00132,2022-07-05 09:35:00,93,complaint,AGT107,resolved,3,Customer called regarding complaint
CALL00162,CUST00055,2023-08-04 15:48:00,736,move_out,AGT125,callback_required,5,Customer called regarding move in
CALL00163,CUST00039,2022-09-10 21:39:00,1073,billing_inquiry,AGT120,resolved,2,Customer called regarding move out
CALL00164,CUST00027,2024-05-10 10:19:00,1169,move_out,AGT101,resolved,,Customer called regarding tariff info
CALL00165,CUST00164,2022-11-12 19:57:00,891,billing_inquiry,AGT108,callback_required,1,Customer called regarding move in
CALL00166,CUST00130,2024-01-18 06:04:00,826,technical_issue,AGT143,completed,,Customer called regarding technical issue
CALL00167,CUST00174,2025-07-24 08:27:00,1077,meter_reading,AGT120,resolved,,Customer called regarding complaint
CALL00168,CUST00113,2025-03-17 07:23:00,324,contract_change,AGT116,transferred,,Customer called regarding technical issue
CALL00169,CUST00152,2023-10-31 15:28:00,1221,payment_question,AGT103,resolved,3,Customer called regarding technical issue
CALL00170,CUST00025,2025-10-24 16:44:00,1017,general_info,AGT103,transferred,1,Customer called regarding general info
CALL00171,CUST00189,2022-06-13 22:40:00,1238,complaint,AGT125,resolved,3,Customer called regarding move out
CALL00172,CUST00149,2023-03-16 19:21:00,855,meter_reading,AGT135,callback_required,,Customer called regarding move in
CALL00173,CUST00183,2025-05-28 21:16:00,1344,complaint,AGT129,resolved,1,Customer called regarding move in
CALL00174,CUST00176,2024-08-17 07:49:00,440,technical_issue,AGT147,resolved,1,Customer called regarding complaint
CALL00175,CUST00068,2023-05-16 06:51:00,1375,meter_reading,AGT136,callback_required,,Customer called regarding general info
CALL00176,CUST00093,2024-06-04 21:15:00,504,technical_issue,AGT109,resolved,,Customer called regarding contract change
CALL00177,CUST00054,2025-03-04 18:18:00,590,billing_inquiry,AGT111,callback_required,2,Customer called regarding move out
CALL00178,CUST00118,2024-02-10 11:16:00,398,tariff_info,AGT130,callback_required,2,Customer called regarding technical issue
CALL00179,CUST00185,2024-12-31 16:41:00,348,billing_inquiry,AGT108,callback_required,1,Customer called regarding general info
CALL00180,CUST00025,2023-05-30 06:04:00,926,general_info,AGT112,callback_required,2,Customer called regarding complaint
CALL00181,CUST00072,2023-08-24 10:13:00,668,tariff_info,AGT142,completed,5,Customer called regarding contract change
CALL00182,CUST00156,2022-01-19 21:21:00,1739,move_in,AGT105,transferred,3,Customer called regarding contract change
CALL00183,CUST00100,2022-04-28 20:20:00,953,general_info,AGT144,completed,,Customer called regarding technical issue
CALL00184,CUST00032,2022-03-02 06:45:00,1764,move_out,AGT150,transferred,2,Customer called regarding contract change
CALL00185,CUST00048,2024-06-04 10:58:00,322,tariff_info,AGT128,resolved,2,Customer called regarding meter reading
CALL00186,CUST00107,2024-11-02 07:25:00,882,payment_question,AGT146,resolved,,Customer called regarding tariff info
CALL00187,CUST00001,2023-03-01 17:03:00,547,move_out,AGT102,transferred,2,Customer called regarding general info
CALL00188,CUST00129,2023-09-16 10:40:00,649,meter_reading,AGT146,completed,3,Customer called regarding billing inquiry
CALL00189,CUST00034,2024-10-12 14:01:00,1443,move_out,AGT130,transferred,4,Customer called regarding tariff info
CALL00190,CUST00108,2022-10-10 17:36:00,64,move_out,AGT110,completed,2,Customer called regarding move out
CALL00191,CUST00049,2024-11-07 17:40:00,1794,move_out,AGT150,transferred,1,Customer called regarding payment question
CALL00192,CUST00147,2024-07-06 14:20:00,1278,tariff_info,AGT141,callback_required,,Customer called regarding technical issue
CALL00193,CUST00151,2025-12-02 21:47:00,1236,complaint,AGT145,transferred,5,Customer called regarding meter reading
CALL00194,CUST00066,2025-05-11 22:27:00,130,general_info,AGT147,transferred,1,Customer called regarding payment question
CALL00195,CUST00153,2025-12-09 12:09:00,1746,move_out,AGT149,resolved,,Customer called regarding contract change
CALL00196,CUST00034,2023-04-01 14:57:00,840,meter_reading,AGT108,completed,,Customer called regarding complaint
CALL00197,CUST00150,2025-12-12 08:42:00,273,move_in,AGT139,transferred,3,Customer called regarding technical issue
CALL00198,CUST00065,2022-02-03 06:44:00,209,contract_change,AGT143,resolved,2,Customer called regarding contract change
CALL00199,CUST00050,2025-04-26 22:45:00,682,tariff_info,AGT119,callback_required,2,Customer called regarding move in
CALL00200,CUST00102,2024-08-02 22:44:00,1066,meter_reading,AGT132,callback_required,2,Customer called regarding technical issue
CALL00201,CUST00116,2024-12-12 21:03:00,735,complaint,AGT118,completed,1,Customer called regarding move out
CALL00202,CUST00179,2022-06-07 12:44:00,1541,payment_question,AGT136,transferred,4,Customer called regarding general info
CALL00203,CUST00154,2025-01-03 14:25:00,110,move_in,AGT132,resolved,5,Customer called regarding payment question
CALL00204,CUST00146,2024-03-03 12:56:00,1449,complaint,AGT115,completed,4,Customer called regarding contract change
CALL00205,CUST00052,2024-03-19 09:03:00,1779,complaint,AGT103,callback_required,4,Customer called regarding move out
CALL00206,CUST00034,2022-01-16 09:26:00,720,move_in,AGT120,resolved,4,Customer called regarding payment question
CALL00207,CUST00085,2024-10-19 22:25:00,720,move_in,AGT148,transferred,3,Customer called regarding meter reading
CALL00208,CUST00045,2023-06-06 21:27:00,622,billing_inquiry,AGT100,completed,4,Customer called regarding move in
CALL00209,CUST00134,2024-04-29 22:54:00,331,payment_question,AGT143,completed,4,Customer called regarding move out
CALL00210,CUST00091,2023-06-07 16:06:00,375,contract_change,AGT116,transferred,,Customer called regarding complaint
CALL00211,CUST00151,2025-06-06 21:59:00,666,billing_inquiry,AGT109,callback_required,,Customer called regarding move out
CALL00212,CUST00137,2024-05-22 06:32:00,1648,technical_issue,AGT120,resolved,1,Customer called regarding tariff info
CALL00213,CUST00006,2023-05-18 19:12:00,153,general_info,AGT119,transferred,,Customer called regarding technical issue
CALL00214,CUST00132,2025-08-09 19:03:00,415,billing_inquiry,AGT144,transferred,5,Customer called regarding general info
CALL00215,CUST00189,2024-12-31 13:01:00,1306,payment_question,AGT147,completed,,Customer called regarding general info
CALL00216,CUST00004,2025-04-10 19:40:00,195,general_info,AGT130,resolved,5,Customer called regarding tariff info
CALL00217,CUST00035,2023-07-13 16:09:00,1197,payment_question,AGT107,callback_required,5,Customer called regarding payment question
CALL00218,CUST00135,2022-01-27 15:20:00,146,tariff_info,AGT113,transferred,4,Customer called regarding tariff info
CALL00219,CUST00077,2024-11-09 06:36:00,719,tariff_info,AGT140,callback_required,1,Customer called regarding move in
CALL00220,CUST00150,2025-07-10 07:08:00,1407,move_out,AGT100,callback_required,3,Customer called regarding payment question
CALL00221,CUST00038,2025-08-25 07:51:00,537,meter_reading,AGT122,callback_required,3,Customer called regarding general info
CALL00222,CUST00005,2024-08-17 12:54:00,699,contract_change,AGT102,callback_required,,Customer called regarding tariff info
CALL00223,CUST00171,2024-07-30 21:18:00,1150,move_out,AGT129,transferred,1,Customer called regarding payment question
CALL00224,CUST00018,2024-11-17 19:47:00,607,complaint,AGT146,callback_required,,Customer called regarding complaint
CALL00225,CUST00134,2022-09-22 16:50:00,1373,complaint,AGT125,transferred,,Customer called regarding move out
CALL00226,CUST00041,2023-05-17 13:10:00,939,billing_inquiry,AGT147,transferred,4,Customer called regarding general info
CALL00227,CUST00194,2023-07-28 11:29:00,920,tariff_info,AGT118,callback_required,,Customer called regarding tariff info
CALL00228,CUST00050,2025-12-04 06:24:00,885,contract_change,AGT137,callback_required,1,Customer called regarding move in
CALL00229,CUST00024,2024-12-20 08:29:00,1167,complaint,AGT109,transferred,4,Customer called regarding move in
CALL00230,CUST00088,2025-02-27 15:26:00,1335,complaint,AGT137,completed,2,Customer called regarding technical issue
CALL00231,CUST00035,2024-07-31 10:14:00,1398,tariff_info,AGT107,resolved,5,Customer called regarding billing inquiry
CALL00232,CUST00039,2022-12-17 13:30:00,1451,general_info,AGT103,completed,4,Customer called regarding move in
CALL00233,CUST00070,2025-01-15 20:03:00,1434,complaint,AGT117,resolved,5,Customer called regarding move in
CALL00234,CUST00181,2023-06-16 08:40:00,1680,tariff_info,AGT126,resolved,2,Customer called regarding general info
CALL00235,CUST00135,2022-06-08 07:53:00,986,technical_issue,AGT129,completed,1,Customer called regarding move in
CALL00236,CUST00127,2025-05-18 07:35:00,1249,payment_question,AGT123,resolved,,Customer called regarding complaint
CALL00237,CUST00054,2024-11-01 14:35:00,1108,tariff_info,AGT126,callback_required,2,Customer called regarding billing inquiry
CALL00238,CUST00176,2024-09-07 18:05:00,369,technical_issue,AGT137,resolved,2,Customer called regarding meter reading
CALL00239,CUST00162,2025-09-29 06:40:00,1800,move_in,AGT147,completed,5,Customer called regarding meter reading
CALL00240,CUST00040,2025-03-07 22:41:00,852,meter_reading,AGT132,callback_required,1,Customer called regarding tariff info
CALL00241,CUST00002,2024-04-02 18:45:00,1617,general_info,AGT102,completed,,Customer called regarding general info
CALL00242,CUST00034,2023-03-26 21:49:00,360,general_info,AGT135,callback_required,5,Customer called regarding technical issue
CALL00243,CUST00058,2023-07-17 22:42:00,1799,move_out,AGT142,transferred,4,Customer called regarding billing inquiry
CALL00244,CUST00063,2023-10-10 07:26:00,1065,move_in,AGT129,resolved,2,Customer called regarding technical issue
CALL00245,CUST00087,2023-12-27 20:00:00,1699,tariff_info,AGT128,callback_required,2,Customer called regarding technical issue
CALL00246,CUST00026,2023-10-24 16:21:00,1354,billing_inquiry,AGT143,transferred,1,Customer called regarding move in
CALL00247,CUST00033,2025-08-11 08:33:00,1039,general_info,AGT138,callback_required,3,Customer called regarding payment question
CALL00248,CUST00012,2023-09-30 17:32:00,1160,technical_issue,AGT106,completed,3,Customer called regarding tariff info
CALL00249,CUST00014,2025-08-27 09:48:00,372,technical_issue,AGT141,transferred,2,Customer called regarding move out
CALL00250,CUST00138,2024-06-28 09:20:00,1345,move_out,AGT149,completed,5,Customer called regarding tariff info
CALL00251,CUST00116,2025-06-19 20:34:00,169,contract_change,AGT114,transferred,3,Customer called regarding move in
CALL00252,CUST00110,2024-11-15 15:16:00,903,tariff_info,AGT136,transferred,,Customer called regarding technical issue
CALL00253,CUST00198,2024-05-16 19:19:00,1727,billing_inquiry,AGT104,resolved,,Customer called regarding contract change
CALL00254,CUST00157,2023-10-16 21:13:00,1613,tariff_info,AGT132,callback_required,3,Customer called regarding general info
