enrollment_id,student_id,course_id,semester,year,grade,status
ENR000173,STU00217,CRS00049,Spring,2022,B-,completed
ENR000174,STU00239,CRS00039,Summer,2024,C,enrolled
ENR000175,STU00004,CRS00066,Summer,2022,W,withdrawn
ENR000176,STU00153,CRS00014,Fall,2023,C+,withdrawn
ENR000177,STU00167,CRS00036,Summer,2022,I,withdrawn
ENR000178,STU00097,CRS00020,Fall,2024,A,in_progress
ENR000179,STU00164,CRS00018,Summer,2020,C-,withdrawn
ENR000180,STU00133,CRS00054,Spring,2023,I,enrolled
ENR000181,STU00299,CRS00074,Spring,2021,I,completed
ENR000182,STU00274,CRS00061,Summer,2022,B-,completed
ENR000183,STU00286,CRS00024,Fall,2022,C-,completed
ENR000184,STU00133,CRS00072,Summer,2021,C+,enrolled
ENR000185,STU00114,CRS00046,Summer,2021,B-,in_progress
ENR000186,STU00170,CRS00048,Summer,2022,B-,in_progress
ENR000187,STU00061,CRS00061,Summer,2020,F,enrolled
ENR000188,STU00242,CRS00025,Fall,2024,W,in_progress
ENR000189,STU00272,CRS00039,Fall,2023,B+,completed
ENR000190,STU00103,CRS00044,Summer,2023,C-,completed
ENR000191,STU00162,CRS00024,Spring,2020,C+,completed
ENR000192,STU00161,CRS00008,Spring,2020,B-,completed
ENR000193,STU00087,CRS00074,Spring,2021,A-,completed
ENR000194,STU00223,CRS00055,Spring,2023,C-,in_progress
ENR000195,STU00003,CRS00005,Fall,2024,I,withdrawn
ENR000196,STU00008,CRS00042,Fall,2024,A,enrolled
ENR000197,STU00128,CRS00029,Spring,2022,B+,enrolled
ENR000198,STU00197,CRS00065,Spring,2024,B+,enrolled
ENR000199,STU00024,CRS00039,Spring,2022,I,withdrawn
ENR000200,STU00223,CRS00018,Spring,2022,C+,completed
ENR000201,STU00085,CRS00052,Fall,2020,B,completed
ENR000202,STU00109,CRS00003,Summer,2024,B+,enrolled
ENR000203,STU00188,CRS00005,Summer,2023,B-,enrolled
ENR000204,STU00025,CRS00014,Fall,2020,I,enrolled
ENR000205,STU00214,CRS00057,Fall,2023,D,withdrawn
ENR000206,STU00243,CRS00020,Summer,2021,W,enrolled
ENR000207,STU00155,CRS00054,Summer,2020,D,withdrawn
ENR000208,STU00071,CRS00054,Summer,2020,I,enrolled
ENR000209,STU00145,CRS00015,Spring,2020,B,completed
ENR000210,STU00135,CRS00067,Spring,2021,I,in_progress
ENR000211,STU00152,CRS00021,Summer,2020,C-,completed
ENR000212,STU00247,CRS00043,Fall,2021,A,enrolled
ENR000213,STU00057,CRS00074,Fall,2023,A-,enrolled
ENR000214,STU00052,CRS00033,Spring,2021,B-,withdrawn
ENR000215,STU00238,CRS00007,Fall,2020,A,withdrawn
ENR000216,STU00185,CRS00041,Summer,2023,A-,enrolled
ENR000217,STU00024,CRS00002,Summer,2021,W,completed
ENR000218,STU00169,CRS00046,Summer,2023,B-,enrolled
ENR000219,STU00191,CRS00044,Fall,2021,C,in_progress
ENR000220,STU00234,CRS00035,Summer,2023,C-,in_progress
ENR000221,STU00086,CRS00015,Summer,2021,I,enrolled
ENR000222,STU00082,CRS00014,Summer,2023,C-,in_progress
ENR000223,STU00093,CRS00079,Spring,2023,F,enrolled
ENR000224,STU00067,CRS00062,Fall,2023,C,in_progress
ENR000225,STU00024,CRS00009,Summer,2022,C+,enrolled
ENR000226,STU00269,CRS00074,Fall,2024,W,withdrawn
ENR000227,STU00266,CRS00067,Fall,2024,C,completed
ENR000228,STU00247,CRS00045,Fall,2023,D,enrolled
ENR000229,STU00006,CRS00021,Spring,2024,C-,completed
ENR000230,STU00039,CRS00063,Fall,2022,C+,withdrawn
ENR000231,STU00026,CRS00065,Summer,2021,W,in_progress
ENR000232,STU00207,CRS00031,Spring,2020,C-,in_progress
ENR000233,STU00046,CRS00064,Spring,2023,A-,in_progress
ENR000234,STU00010,CRS00014,Spring,2023,A,enrolled
ENR000235,STU00047,CRS00078,Summer,2024,B-,completed
ENR000236,STU00234,CRS00044,Fall,2022,B,in_progress
ENR000237,STU00170,CRS00072,Summer,2024,C-,withdrawn
ENR000238,STU00232,CRS00015,Summer,2020,B,enrolled
ENR000239,STU00175,CRS00046,Summer,2022,D,withdrawn
ENR000240,STU00055,CRS00006,Spring,2021,B+,in_progress
ENR000241,STU00055,CRS00033,Fall,2024,B,enrolled
ENR000242,STU00202,CRS00028,Fall,2023,I,withdrawn
ENR000243,STU00056,CRS00054,Summer,2020,W,enrolled
ENR000244,STU00231,CRS00059,Summer,2024,B+,in_progress
ENR000245,STU00003,CRS00068,Summer,2020,C,in_progress
ENR000246,STU00261,CRS00023,Fall,2024,I,completed
ENR000247,STU00054,CRS00050,Summer,2024,C+,in_progress
ENR000248,STU00215,CRS00078,Spring,2021,C,withdrawn
ENR000249,STU00151,CRS00058,Fall,2021,C,withdrawn
ENR000250,STU00281,CRS00041,Summer,2024,B,completed
ENR000251,STU00108,CRS00080,Summer,2022,C+,completed
ENR000252,STU00092,CRS00065,Summer,2024,W,withdrawn
ENR000253,STU00060,CRS00046,Spring,2024,F,in_progress
ENR000254,STU00274,CRS00037,Fall,2023,D,enrolled
ENR000255,STU00013,CRS00049,Fall,2021,W,enrolled
ENR000256,STU00103,CRS00035,Spring,2021,W,withdrawn
ENR000257,STU00075,CRS00008,Fall,2022,D,enrolled
ENR000258,STU00184,CRS00058,Summer,2020,W,completed
ENR000259,STU00288,CRS00050,Summer,2021,I,withdrawn
ENR000260,STU00025,CRS00049,Spring,2023,W,withdrawn
ENR000261,STU00283,CRS00007,Summer,2020,B-,completed
ENR000262,STU00227,CRS00029,Summer,2022,D,completed
ENR000263,STU00100,CRS00038,Fall,2023,W,enrolled
ENR000264,STU00096,CRS00023,Fall,2024,C,enrolled
ENR000265,STU00220,CRS00036,Spring,2024,B+,completed
ENR000266,STU00300,CRS00033,Spring,2020,C-,completed
ENR000267,STU00021,CRS00020,Summer,2022,A,withdrawn
ENR000268,STU00252,CRS00074,Spring,2024,A-,withdrawn
ENR000269,STU00270,CRS00029,Summer,2021,A-,completed
ENR000270,STU00213,CRS00070,Spring,2024,A-,withdrawn
ENR000271,STU00114,CRS00028,Spring,2022,C+,withdrawn
ENR000272,STU00112,CRS00080,Spring,2024,D,enrolled
ENR000273,STU00059,CRS00045,Fall,2023,W,completed
ENR000274,STU00021,CRS00042,Fall,2023,C,withdrawn
ENR000275,STU00277,CRS00037,Summer,2020,C+,in_progress
ENR000276,STU00250,CRS00006,Summer,2022,B,withdrawn
ENR000277,STU00264,CRS00011,Fall,2020,D,enrolled
ENR000278,STU00034,CRS00027,Summer,2021,C,enrolled
ENR000279,STU00106,CRS00069,Summer,2023,A-,completed
ENR000280,STU00013,CRS00059,Fall,2022,A-,enrolled
ENR000281,STU00028,CRS00023,Summer,2022,A-,completed
ENR000282,STU00133,CRS00053,Spring,2023,W,in_progress
ENR000283,STU00222,CRS00041,Spring,2020,W,enrolled
ENR000284,STU00274,CRS00001,Fall,2024,I,enrolled
ENR000285,STU00038,CRS00046,Fall,2024,B-,withdrawn
ENR000286,STU00045,CRS00037,Spring,2023,C,enrolled
ENR000287,STU00243,CRS00021,Fall,2024,B+,in_progress
ENR000288,STU00280,CRS00038,Spring,2021,W,withdrawn
ENR000289,STU00006,CRS00071,Fall,2024,A-,enrolled
ENR000290,STU00003,CRS00074,Spring,2024,D,enrolled
ENR000291,STU00157,CRS00027,Fall,2022,C,completed
ENR000292,STU00083,CRS00024,Summer,2021,B-,completed
ENR000293,STU00059,CRS00024,Fall,2024,D,in_progress
ENR000294,STU00282,CRS00010,Summer,2022,A-,withdrawn
ENR000295,STU00051,CRS00026,Spring,2024,C+,withdrawn
ENR000296,STU00066,CRS00031,Spring,2020,F,enrolled
ENR000297,STU00100,CRS00041,Spring,2023,C+,withdrawn
ENR000298,STU00300,CRS00020,Summer,2024,C+,withdrawn
ENR000299,STU00220,CRS00022,Spring,2020,B,completed
ENR000300,STU00224,CRS00036,Fall,2022,W,withdrawn
ENR000301,STU00246,CRS00060,Spring,2023,B-,in_progress
ENR000302,STU00283,CRS00014,Summer,2021,F,enrolled
ENR000303,STU00144,CRS00018,Fall,2024,B-,enrolled
ENR000304,STU00039,CRS00003,Summer,2024,A,in_progress
ENR000305,STU00109,CRS00005,Spring,2024,D,in_progress
ENR000306,STU00077,CRS00047,Fall,2023,F,withdrawn
ENR000307,STU00069,CRS00060,Summer,2024,A-,in_progress
ENR000308,STU00187,CRS00065,Summer,2020,B,completed
ENR000309,STU00264,CRS00018,Fall,2023,B+,completed
ENR000310,STU00248,CRS00046,Fall,2020,C-,completed
ENR000311,STU00033,CRS00034,Fall,2022,A,completed
ENR000312,STU00266,CRS00047,Spring,2023,C-,enrolled
ENR000313,STU00021,CRS00042,Summer,2020,D,withdrawn
ENR000314,STU00135,CRS00075,Summer,2024,B+,in_progress
ENR000315,STU00194,CRS00047,Summer,2024,A-,withdrawn
ENR000316,STU00193,CRS00029,Spring,2024,C+,withdrawn
ENR000317,STU00250,CRS00062,Fall,2024,D,completed
ENR000318,STU00226,CRS00022,Fall,2021,D,withdrawn
ENR000319,STU00109,CRS00020,Fall,2021,C+,enrolled
ENR000320,STU00118,CRS00054,Summer,2022,A-,in_progress
ENR000321,STU00246,CRS00062,Summer,2021,B+,in_progress
ENR000322,STU00012,CRS00032,Fall,2020,F,completed
ENR000323,STU00069,CRS00066,Summer,2020,B+,enrolled
ENR000324,STU00086,CRS00034,Summer,2021,C,enrolled
ENR000325,STU00146,CRS00011,Spring,2021,F,in_progress
ENR000326,STU00247,CRS00022,Spring,2021,F,completed
ENR000327,STU00299,CRS00024,Summer,2024,D,withdrawn
ENR000328,STU00086,CRS00044,Summer,2023,F,enrolled
ENR000329,STU00118,CRS00049,Fall,2023,A-,enrolled
ENR000330,STU00104,CRS00067,Summer,2024,C,completed
ENR000331,STU00050,CRS00023,Summer,2023,F,enrolled
ENR000332,STU00273,CRS00065,Fall,2020,C-,completed
ENR000333,STU00277,CRS00001,Summer,2023,C,withdrawn
ENR000334,STU00023,CRS00068,Fall,2023,C-,in_progress
ENR000335,STU00180,CRS00076,Fall,2024,C,completed
ENR000336,STU00131,CRS00062,Fall,2021,B-,in_progress
ENR000337,STU00132,CRS00025,Summer,2020,I,enrolled
ENR000338,STU00296,CRS00067,Summer,2020,A,in_progress
ENR000339,STU00106,CRS00041,Spring,2023,A-,completed
ENR000340,STU00219,CRS00075,Spring,2022,D,in_progress
ENR000341,STU00290,CRS00047,Spring,2024,W,in_progress
ENR000342,STU00105,CRS00053,Summer,2024,C-,completed
ENR000343,STU00190,CRS00072,Spring,2024,B-,withdrawn
ENR000344,STU00296,CRS00045,Summer,2023,B+,enrolled
ENR000345,STU00118,CRS00058,Fall,2021,B,in_progress
ENR000346,STU00174,CRS00071,Summer,2024,W,enrolled
ENR000347,STU00083,CRS00050,Fall,2020,B+,in_progress
ENR000348,STU00223,CRS00012,Spring,2020,B,withdrawn
ENR000349,STU00041,CRS00078,Summer,2020,C,in_progress
ENR000350,STU00267,CRS00037,Fall,2024,B+,in_progress
ENR000351,STU00225,CRS00002,Summer,2021,D,withdrawn
ENR000352,STU00100,CRS00005,Summer,2024,D,completed
ENR000353,STU00087,CRS00005,Fall,2022,W,enrolled
ENR000354,STU00081,CRS00012,Spring,2022,C+,in_progress
ENR000355,STU00208,CRS00076,Summer,2021,A,enrolled
ENR000356,STU00047,CRS00071,Summer,2022,D,withdrawn
ENR000357,STU00178,CRS00036,Summer,2021,B,in_progress
ENR000358,STU00207,CRS00074,Spring,2020,B+,in_progress
ENR000359,STU00260,CRS00014,Fall,2024,D,withdrawn
ENR000360,STU00175,CRS00015,Spring,2024,D,withdrawn
ENR000361,STU00227,CRS00049,Spring,2024,B,withdrawn
ENR000362,STU00235,CRS00059,Fall,2024,C-,enrolled
ENR000363,STU00133,CRS00009,Summer,2023,B,completed
ENR000364,STU00162,CRS00053,Summer,2022,D,enrolled
ENR000365,STU00135,CRS00032,Fall,2022,C,withdrawn
ENR000366,STU00039,CRS00071,Spring,2021,C+,withdrawn
ENR000367,STU00112,CRS00074,Fall,2022,I,completed
ENR000368,STU00256,CRS00026,Summer,2021,B,withdrawn
ENR000369,STU00106,CRS00030,Fall,2021,F,withdrawn
ENR000370,STU00080,CRS00014,Fall,2020,W,in_progress
ENR000371,STU00004,CRS00070,Spring,2020,C+,withdrawn
ENR000372,STU00253,CRS00074,Spring,2022,B+,withdrawn
ENR000373,STU00204,CRS00029,Fall,2024,A,in_progress
ENR000374,STU00245,CRS00070,Summer,2020,C+,in_progress
ENR000375,STU00090,CRS00059,Summer,2020,D,in_progress
ENR000376,STU00162,CRS00002,Summer,2020,B,in_progress
ENR000377,STU00298,CRS00013,Spring,2022,F,withdrawn
ENR000378,STU00096,CRS00071,Fall,2022,B-,in_progress
ENR000379,STU00176,CRS00047,Spring,2021,C,completed
ENR000380,STU00215,CRS00048,Spring,2022,B-,in_progress
ENR000381,STU00093,CRS00074,Summer,2021,W,completed
ENR000382,STU00052,CRS00035,Summer,2021,C,in_progress
ENR000383,STU00101,CRS00019,Spring,2021,A,completed
ENR000384,STU00216,CRS00064,Summer,2021,D,withdrawn
ENR000385,STU00250,CRS00039,Summer,2022,F,enrolled
ENR000386,STU00204,CRS00013,Fall,2021,B,withdrawn
ENR000387,STU00244,CRS00013,Summer,2023,C+,withdrawn
ENR000388,STU00185,CRS00047,Summer,2024,B-,withdrawn
ENR000389,STU00011,CRS00053,Spring,2020,W,completed
ENR000390,STU00296,CRS00074,Fall,2024,B-,withdrawn
ENR000391,STU00167,CRS00066,Summer,2023,C-,enrolled
ENR000392,STU00196,CRS00079,Spring,2022,W,completed
ENR000393,STU00086,CRS00044,Summer,2023,F,in_progress
ENR000394,STU00037,CRS00011,Spring,2021,B,withdrawn
ENR000395,STU00163,CRS00038,Summer,2022,W,in_progress
ENR000396,STU00139,CRS00057,Summer,2022,F,in_progress
ENR000397,STU00212,CRS00022,Fall,2021,B+,completed
ENR000398,STU00129,CRS00011,Fall,2021,C,enrolled
ENR000399,STU00049,CRS00009,Summer,2023,A,enrolled
ENR000400,STU00204,CRS00068,Fall,2020,B-,completed
ENR000401,STU00044,CRS00050,Fall,2022,B,withdrawn
ENR000402,STU00227,CRS00017,Summer,2021,B+,enrolled
ENR000403,STU00018,CRS00046,Spring,2022,C-,withdrawn
ENR000404,STU00281,CRS00057,Summer,2021,D,completed
ENR000405,STU00234,CRS00073,Summer,2023,W,withdrawn
ENR000406,STU00178,CRS00062,Fall,2024,A-,in_progress
ENR000407,STU00158,CRS00047,Spring,2023,B+,withdrawn
ENR000408,STU00006,CRS00001,Fall,2024,C+,withdrawn
ENR000409,STU00241,CRS00069,Summer,2020,C-,in_progress
ENR000410,STU00154,CRS00002,Spring,2023,F,completed
ENR000411,STU00004,CRS00071,Fall,2022,C,in_progress
ENR000412,STU00203,CRS00032,Summer,2021,I,in_progress
ENR000413,STU00194,CRS00029,Fall,2022,C,completed
ENR000414,STU00265,CRS00079,Spring,2022,W,withdrawn
ENR000415,STU00212,CRS00025,Fall,2020,B+,withdrawn
ENR000416,STU00057,CRS00059,Spring,2024,B-,in_progress
ENR000417,STU00097,CRS00042,Fall,2020,A,enrolled
ENR000418,STU00096,CRS00014,Spring,2022,B+,in_progress
ENR000419,STU00005,CRS00030,Fall,2020,A,in_progress
ENR000420,STU00112,CRS00044,Spring,2023,C-,withdrawn
ENR000421,STU00238,CRS00005,Fall,2022,B+,enrolled
ENR000422,STU00137,CRS00051,Summer,2020,C-,completed
ENR000423,STU00099,CRS00033,Fall,2023,A-,completed
ENR000424,STU00198,CRS00057,Summer,2021,A,completed
ENR000425,STU00236,CRS00013,Summer,2024,B,in_progress
ENR000426,STU00200,CRS00040,Fall,2022,W,enrolled
ENR000427,STU00282,CRS00067,Spring,2020,C-,withdrawn
ENR000428,STU00102,CRS00047,Summer,2020,B,enrolled
ENR000429,STU00121,CRS00056,Fall,2022,B+,withdrawn
ENR000430,STU00300,CRS00016,Fall,2023,A,enrolled
ENR000431,STU00298,CRS00061,Fall,2024,C+,enrolled
ENR000432,STU00128,CRS00021,Fall,2023,W,withdrawn
ENR000433,STU00031,CRS00008,Summer,2022,B+,enrolled
ENR000434,STU00065,CRS00063,Spring,2021,D,withdrawn
ENR000435,STU00225,CRS00025,Summer,2020,C,withdrawn
ENR000436,STU00069,CRS00033,Spring,2020,I,in_progress
ENR000437,STU00287,CRS00038,Summer,2024,C-,completed
ENR000438,STU00291,CRS00024,Spring,2024,C+,in_progress
ENR000439,STU00141,CRS00077,Fall,2024,A-,completed
ENR000440,STU00231,CRS00038,Summer,2022,C+,in_progress
ENR000441,STU00001,CRS00065,Summer,2023,B+,enrolled
ENR000442,STU00187,CRS00080,Spring,2021,I,enrolled
ENR000443,STU00276,CRS00050,Summer,2021,W,in_progress
ENR000444,STU00283,CRS00020,Spring,2024,C+,in_progress
ENR000445,STU00165,CRS00015,Summer,2020,W,enrolled
ENR000446,STU00023,CRS00017,Fall,2021,B,enrolled
ENR000447,STU00249,CRS00025,Fall,2020,F,in_progress
