publication_id,project_id,title,journal,publication_date,doi,citation_count
PUB00059,PRJ00025,Findings from Research in Climate Science - ...,Nature,2023-09-15,10.1234/uni.00059,447
PUB00060,PRJ00009,Findings from Research in Quantum Computing ...,IEEE Transactions,2022-07-21,10.1234/uni.00060,445
PUB00061,PRJ00010,Findings from Research in Climate Science - ...,Journal of the ACM,2023-06-25,10.1234/uni.00061,7
PUB00062,PRJ00028,Findings from Research in Macroeconomics - M...,Cell,2020-12-08,10.1234/uni.00062,303
PUB00063,PRJ00012,Findings from Research in Materials Science ...,Science,2021-06-07,10.1234/uni.00063,8
PUB00064,PRJ00026,Findings from Research in Quantum Computing ...,Cell,2024-04-18,10.1234/uni.00064,138
PUB00065,PRJ00022,Findings from Research in Climate Science - ...,Nature,2021-03-21,10.1234/uni.00065,254
PUB00066,PRJ00026,Findings from Research in Quantum Computing ...,PLOS ONE,2020-10-10,10.1234/uni.00066,424
PUB00067,PRJ00036,Findings from Research in Macroeconomics - C...,PNAS,2022-02-11,10.1234/uni.00067,97
PUB00068,PRJ00032,Findings from Research in Macroeconomics - E...,The Lancet,2025-10-21,10.1234/uni.00068,255
PUB00069,PRJ00028,Findings from Research in Macroeconomics - M...,Cell,2023-11-18,10.1234/uni.00069,249
PUB00070,PRJ00004,Findings from Research in Social Psychology ...,Science,2022-12-18,10.1234/uni.00070,34
PUB00071,PRJ00021,Findings from Research in Materials Science ...,Psychological Science,2024-05-06,10.1234/uni.00071,148
PUB00072,PRJ00010,Findings from Research in Climate Science - ...,Chemical Reviews,2021-08-21,10.1234/uni.00072,482
PUB00073,PRJ00032,Findings from Research in Macroeconomics - E...,IEEE Transactions,2021-06-05,10.1234/uni.00073,251
PUB00074,PRJ00001,Findings from Research in Organic Chemistry ...,American Economic Review,2022-06-15,10.1234/uni.00074,81
PUB00075,PRJ00022,Findings from Research in Climate Science - ...,American Economic Review,2022-06-26,10.1234/uni.00075,316
PUB00076,PRJ00028,Findings from Research in Macroeconomics - M...,Science,2025-11-10,10.1234/uni.00076,306
PUB00077,PRJ00009,Findings from Research in Quantum Computing ...,PLOS ONE,2024-12-09,10.1234/uni.00077,174
PUB00078,PRJ00024,Findings from Research in Macroeconomics - P...,Journal of the ACM,2020-06-08,10.1234/uni.00078,289
PUB00079,PRJ00031,Findings from Research in Climate Science - ...,Nature,2019-09-16,10.1234/uni.00079,228
PUB00080,PRJ00024,Findings from Research in Macroeconomics - P...,PNAS,2023-09-05,10.1234/uni.00080,107
PUB00081,PRJ00021,Findings from Research in Materials Science ...,Journal of the ACM,2021-08-14,10.1234/uni.00081,324
PUB00082,PRJ00031,Findings from Research in Climate Science - ...,Chemical Reviews,2022-02-23,10.1234/uni.00082,174
PUB00083,PRJ00037,Findings from Research in Ancient History - ...,The Lancet,2022-09-18,10.1234/uni.00083,99
PUB00084,PRJ00009,Findings from Research in Quantum Computing ...,American Economic Review,2022-08-11,10.1234/uni.00084,293
PUB00085,PRJ00015,Findings from Research in Signal Processing ...,Psychological Science,2025-08-25,10.1234/uni.00085,121
PUB00086,PRJ00016,Findings from Research in Signal Processing ...,Psychological Science,2024-06-24,10.1234/uni.00086,240
PUB00087,PRJ00002,Findings from Research in Computational Biol...,Chemical Reviews,2022-07-07,10.1234/uni.00087,450
PUB00088,PRJ00007,Findings from Research in Materials Science ...,Cell,2023-04-23,10.1234/uni.00088,319
PUB00089,PRJ00021,Findings from Research in Materials Science ...,Chemical Reviews,2019-11-30,10.1234/uni.00089,251
PUB00090,PRJ00030,Findings from Research in Machine Learning -...,The Lancet,2025-10-04,10.1234/uni.00090,136
PUB00091,PRJ00005,Findings from Research in Materials Science ...,IEEE Transactions,2024-01-16,10.1234/uni.00091,398
PUB00092,PRJ00013,Findings from Research in Machine Learning -...,The Lancet,2022-02-05,10.1234/uni.00092,73
PUB00093,PRJ00024,Findings from Research in Macroeconomics - P...,Physical Review Letters,2019-08-30,10.1234/uni.00093,126
PUB00094,PRJ00015,Findings from Research in Signal Processing ...,Journal of the ACM,2019-01-13,10.1234/uni.00094,182
PUB00095,PRJ00040,Findings from Research in Computational Biol...,Chemical Reviews,2024-05-30,10.1234/uni.00095,74
PUB00096,PRJ00018,Findings from Research in Materials Science ...,Physical Review Letters,2022-08-03,10.1234/uni.00096,160
PUB00097,PRJ00039,Findings from Research in Social Psychology ...,PNAS,2025-01-05,10.1234/uni.00097,421
PUB00098,PRJ00013,Findings from Research in Machine Learning -...,Psychological Science,2025-09-13,10.1234/uni.00098,61
PUB00099,PRJ00019,Findings from Research in Social Psychology ...,The Lancet,2019-09-06,10.1234/uni.00099,453
PUB00100,PRJ00013,Findings from Research in Machine Learning -...,Chemical Reviews,2024-11-14,10.1234/uni.00100,144
PUB00101,PRJ00016,Findings from Research in Signal Processing ...,IEEE Transactions,2023-03-21,10.1234/uni.00101,358
PUB00102,PRJ00001,Findings from Research in Organic Chemistry ...,PLOS ONE,2022-05-06,10.1234/uni.00102,104
PUB00103,PRJ00010,Findings from Research in Climate Science - ...,Nature,2022-04-27,10.1234/uni.00103,14
PUB00104,PRJ00027,Findings from Research in Organic Chemistry ...,Journal of the ACM,2019-11-19,10.1234/uni.00104,238
PUB00105,PRJ00010,Findings from Research in Climate Science - ...,American Economic Review,2024-01-04,10.1234/uni.00105,195
PUB00106,PRJ00036,Findings from Research in Macroeconomics - C...,Psychological Science,2020-10-04,10.1234/uni.00106,227
PUB00107,PRJ00021,Findings from Research in Materials Science ...,PLOS ONE,2020-03-17,10.1234/uni.00107,233
PUB00108,PRJ00018,Findings from Research in Materials Science ...,The Lancet,2021-03-21,10.1234/uni.00108,310
PUB00109,PRJ00030,Findings from Research in Machine Learning -...,Cell,2022-03-12,10.1234/uni.00109,300
PUB00110,PRJ00009,Findings from Research in Quantum Computing ...,Nature,2022-08-15,10.1234/uni.00110,63
PUB00111,PRJ00004,Findings from Research in Social Psychology ...,Chemical Reviews,2022-08-30,10.1234/uni.00111,244
PUB00112,PRJ00024,Findings from Research in Macroeconomics - P...,Journal of the ACM,2020-08-03,10.1234/uni.00112,425
PUB00113,PRJ00025,Findings from Research in Climate Science - ...,Nature,2025-03-03,10.1234/uni.00113,321
PUB00114,PRJ00028,Findings from Research in Macroeconomics - M...,IEEE Transactions,2022-08-19,10.1234/uni.00114,91
PUB00115,PRJ00021,Findings from Research in Materials Science ...,Nature,2025-11-16,10.1234/uni.00115,329
PUB00116,PRJ00019,Findings from Research in Social Psychology ...,Psychological Science,2022-08-20,10.1234/uni.00116,387
PUB00117,PRJ00037,Findings from Research in Ancient History - ...,Chemical Reviews,2019-06-11,10.1234/uni.00117,28
PUB00118,PRJ00009,Findings from Research in Quantum Computing ...,Science,2024-07-27,10.1234/uni.00118,474
PUB00119,PRJ00005,Findings from Research in Materials Science ...,Cell,2020-07-27,10.1234/uni.00119,52
PUB00120,PRJ00034,Findings from Research in Literary Theory - ...,The Lancet,2020-10-31,10.1234/uni.00120,120
PUB00121,PRJ00006,Findings from Research in Literary Theory - ...,Journal of the ACM,2023-01-15,10.1234/uni.00121,173
PUB00122,PRJ00006,Findings from Research in Literary Theory - ...,Journal of the ACM,2023-08-18,10.1234/uni.00122,384
PUB00123,PRJ00005,Findings from Research in Materials Science ...,IEEE Transactions,2024-07-10,10.1234/uni.00123,279
PUB00124,PRJ00004,Findings from Research in Social Psychology ...,IEEE Transactions,2024-11-19,10.1234/uni.00124,328
PUB00125,PRJ00026,Findings from Research in Quantum Computing ...,Chemical Reviews,2020-09-26,10.1234/uni.00125,421
PUB00126,PRJ00006,Findings from Research in Literary Theory - ...,Physical Review Letters,2021-04-28,10.1234/uni.00126,81
PUB00127,PRJ00008,Findings from Research in Machine Learning -...,PNAS,2021-12-04,10.1234/uni.00127,122
PUB00128,PRJ00004,Findings from Research in Social Psychology ...,Nature,2025-04-03,10.1234/uni.00128,26
PUB00129,PRJ00015,Findings from Research in Signal Processing ...,Nature,2024-05-14,10.1234/uni.00129,21
PUB00130,PRJ00015,Findings from Research in Signal Processing ...,Cell,2021-08-10,10.1234/uni.00130,488
PUB00131,PRJ00009,Findings from Research in Quantum Computing ...,Journal of the ACM,2024-08-12,10.1234/uni.00131,165
PUB00132,PRJ00025,Findings from Research in Climate Science - ...,Nature,2023-06-10,10.1234/uni.00132,261
PUB00133,PRJ00019,Findings from Research in Social Psychology ...,Nature,2024-07-09,10.1234/uni.00133,342
PUB00134,PRJ00027,Findings from Research in Organic Chemistry ...,Science,2025-03-02,10.1234/uni.00134,20
PUB00135,PRJ00013,Findings from Research in Machine Learning -...,Nature,2025-08-12,10.1234/uni.00135,106
PUB00136,PRJ00015,Findings from Research in Signal Processing ...,Physical Review Letters,2025-07-14,10.1234/uni.00136,3
PUB00137,PRJ00023,Findings from Research in Literary Theory - ...,Psychological Science,2019-11-27,10.1234/uni.00137,451
PUB00138,PRJ00024,Findings from Research in Macroeconomics - P...,Cell,2024-09-16,10.1234/uni.00138,203
PUB00139,PRJ00014,Findings from Research in Literary Theory - ...,Chemical Reviews,2020-09-15,10.1234/uni.00139,3
PUB00140,PRJ00040,Findings from Research in Computational Biol...,PLOS ONE,2022-02-26,10.1234/uni.00140,284
PUB00141,PRJ00024,Findings from Research in Macroeconomics - P...,IEEE Transactions,2024-09-23,10.1234/uni.00141,81
PUB00142,PRJ00013,Findings from Research in Machine Learning -...,PLOS ONE,2025-10-24,10.1234/uni.00142,171
PUB00143,PRJ00013,Findings from Research in Machine Learning -...,PLOS ONE,2022-09-01,10.1234/uni.00143,201
PUB00144,PRJ00008,Findings from Research in Machine Learning -...,Physical Review Letters,2022-03-14,10.1234/uni.00144,14
PUB00145,PRJ00029,Findings from Research in Ancient History - ...,American Economic Review,2025-10-07,10.1234/uni.00145,343
PUB00146,PRJ00033,Findings from Research in Literary Theory - ...,PNAS,2023-07-20,10.1234/uni.00146,94
PUB00147,PRJ00008,Findings from Research in Machine Learning -...,IEEE Transactions,2019-06-20,10.1234/uni.00147,411
PUB00148,PRJ00007,Findings from Research in Materials Science ...,PNAS,2021-04-22,10.1234/uni.00148,388
PUB00149,PRJ00037,Findings from Research in Ancient History - ...,The Lancet,2022-05-08,10.1234/uni.00149,345
PUB00150,PRJ00014,Findings from Research in Literary Theory - ...,PLOS ONE,2025-08-26,10.1234/uni.00150,184
PUB00151,PRJ00030,Findings from Research in Machine Learning -...,American Economic Review,2019-08-11,10.1234/uni.00151,320
PUB00152,PRJ00015,Findings from Research in Signal Processing ...,PLOS ONE,2025-05-10,10.1234/uni.00152,111
PUB00153,PRJ00033,Findings from Research in Literary Theory - ...,PLOS ONE,2019-04-08,10.1234/uni.00153,6
PUB00154,PRJ00014,Findings from Research in Literary Theory - ...,Journal of the ACM,2021-01-11,10.1234/uni.00154,105
PUB00155,PRJ00032,Findings from Research in Macroeconomics - E...,The Lancet,2023-05-11,10.1234/uni.00155,167
PUB00156,PRJ00030,Findings from Research in Machine Learning -...,Psychological Science,2023-05-20,10.1234/uni.00156,385
PUB00157,PRJ00011,Findings from Research in Computational Biol...,Physical Review Letters,2024-07-06,10.1234/uni.00157,287
PUB00158,PRJ00039,Findings from Research in Social Psychology ...,American Economic Review,2022-03-14,10.1234/uni.00158,438
PUB00159,PRJ00016,Findings from Research in Signal Processing ...,Psychological Science,2019-11-15,10.1234/uni.00159,54
PUB00160,PRJ00001,Findings from Research in Organic Chemistry ...,Psychological Science,2019-05-08,10.1234/uni.00160,25
PUB00161,PRJ00001,Findings from Research in Organic Chemistry ...,Nature,2022-01-28,10.1234/uni.00161,155
PUB00162,PRJ00029,Findings from Research in Ancient History - ...,The Lancet,2023-04-12,10.1234/uni.00162,290
PUB00163,PRJ00011,Findings from Research in Computational Biol...,Nature,2020-02-03,10.1234/uni.00163,188
PUB00164,PRJ00014,Findings from Research in Literary Theory - ...,IEEE Transactions,2021-02-20,10.1234/uni.00164,379
PUB00165,PRJ00024,Findings from Research in Macroeconomics - P...,PLOS ONE,2019-11-08,10.1234/uni.00165,213
PUB00166,PRJ00002,Findings from Research in Computational Biol...,Nature,2022-05-03,10.1234/uni.00166,460
PUB00167,PRJ00008,Findings from Research in Machine Learning -...,Cell,2022-05-22,10.1234/uni.00167,134
PUB00168,PRJ00030,Findings from Research in Machine Learning -...,Science,2021-04-18,10.1234/uni.00168,470
PUB00169,PRJ00002,Findings from Research in Computational Biol...,Cell,2024-05-05,10.1234/uni.00169,7
PUB00170,PRJ00008,Findings from Research in Machine Learning -...,The Lancet,2019-12-19,10.1234/uni.00170,120
PUB00171,PRJ00030,Findings from Research in Machine Learning -...,The Lancet,2025-07-02,10.1234/uni.00171,285
PUB00172,PRJ00018,Findings from Research in Materials Science ...,Nature,2022-01-11,10.1234/uni.00172,359
PUB00173,PRJ00037,Findings from Research in Ancient History - ...,Science,2024-05-18,10.1234/uni.00173,374
PUB00174,PRJ00010,Findings from Research in Climate Science - ...,Science,2021-06-01,10.1234/uni.00174,203
PUB00175,PRJ00025,Findings from Research in Climate Science - ...,Nature,2019-05-03,10.1234/uni.00175,254
PUB00176,PRJ00028,Findings from Research in Macroeconomics - M...,IEEE Transactions,2024-03-22,10.1234/uni.00176,89
PUB00177,PRJ00001,Findings from Research in Organic Chemistry ...,Nature,2025-06-20,10.1234/uni.00177,336
PUB00178,PRJ00005,Findings from Research in Materials Science ...,The Lancet,2022-02-24,10.1234/uni.00178,144
PUB00179,PRJ00031,Findings from Research in Climate Science - ...,PLOS ONE,2021-04-10,10.1234/uni.00179,12
PUB00180,PRJ00018,Findings from Research in Materials Science ...,PNAS,2021-02-09,10.1234/uni.00180,353
PUB00181,PRJ00029,Findings from Research in Ancient History - ...,American Economic Review,2019-01-08,10.1234/uni.00181,22
PUB00182,PRJ00037,Findings from Research in Ancient History - ...,Chemical Reviews,2023-11-19,10.1234/uni.00182,487
PUB00183,PRJ00032,Findings from Research in Macroeconomics - E...,The Lancet,2021-08-06,10.1234/uni.00183,434
PUB00184,PRJ00004,Findings from Research in Social Psychology ...,Journal of the ACM,2022-03-19,10.1234/uni.00184,45
PUB00185,PRJ00039,Findings from Research in Social Psychology ...,Physical Review Letters,2023-02-13,10.1234/uni.00185,420
PUB00186,PRJ00031,Findings from Research in Climate Science - ...,Cell,2025-02-08,10.1234/uni.00186,191
PUB00187,PRJ00024,Findings from Research in Macroeconomics - P...,Chemical Reviews,2025-03-06,10.1234/uni.00187,74
PUB00188,PRJ00021,Findings from Research in Materials Science ...,IEEE Transactions,2022-11-21,10.1234/uni.00188,89
PUB00189,PRJ00038,Findings from Research in Computational Biol...,Journal of the ACM,2023-07-04,10.1234/uni.00189,239
PUB00190,PRJ00023,Findings from Research in Literary Theory - ...,Cell,2022-04-12,10.1234/uni.00190,416
PUB00191,PRJ00032,Findings from Research in Macroeconomics - E...,IEEE Transactions,2025-01-30,10.1234/uni.00191,184
PUB00192,PRJ00028,Findings from Research in Macroeconomics - M...,Psychological Science,2019-12-21,10.1234/uni.00192,129
PUB00193,PRJ00009,Findings from Research in Quantum Computing ...,Journal of the ACM,2022-09-25,10.1234/uni.00193,330
PUB00194,PRJ00030,Findings from Research in Machine Learning -...,Chemical Reviews,2024-01-21,10.1234/uni.00194,441
PUB00195,PRJ00011,Findings from Research in Computational Biol...,Journal of the ACM,2019-06-25,10.1234/uni.00195,259
PUB00196,PRJ00010,Findings from Research in Climate Science - ...,Journal of the ACM,2025-09-18,10.1234/uni.00196,276
PUB00197,PRJ00011,Findings from Research in Computational Biol...,Cell,2025-06-07,10.1234/uni.00197,500
PUB00198,PRJ00014,Findings from Research in Literary Theory - ...,Science,2023-06-12,10.1234/uni.00198,421
PUB00199,PRJ00027,Findings from Research in Organic Chemistry ...,Chemical Reviews,2020-04-03,10.1234/uni.00199,278
PUB00200,PRJ00003,Findings from Research in Quantum Computing ...,Science,2024-10-29,10.1234/uni.00200,294
