return_id,so_id,customer_id,request_date,reason,status,refund_amount
RET00063,SO00400,CUST00033,2025-04-12,expired,received,0
RET00064,SO00059,CUST00096,2024-01-23,customer_change,received,3768.08
RET00065,SO00485,CUST00056,2024-05-07,damaged_in_transit,rejected,2809.86
RET00066,SO00097,CUST00106,2025-08-07,defective,requested,863.6
RET00067,SO00250,CUST00005,2024-11-17,expired,requested,0
RET00068,SO00093,CUST00029,2024-06-06,damaged_in_transit,rejected,2138.73
RET00069,SO00169,CUST00079,2023-10-11,defective,refunded,3490.82
RET00070,SO00182,CUST00096,2023-09-25,customer_change,received,0
RET00071,SO00004,CUST00067,2023-08-18,customer_change,requested,2234.15
RET00072,SO00139,CUST00137,2025-08-02,quality_issue,received,1594.62
RET00073,SO00095,CUST00084,2024-10-03,expired,requested,3557.99
RET00074,SO00283,CUST00112,2023-11-29,customer_change,received,2571.94
RET00075,SO00250,CUST00005,2023-04-05,defective,requested,0
RET00076,SO00239,CUST00014,2023-09-14,expired,rejected,0
RET00077,SO00336,CUST00141,2025-07-07,customer_change,requested,1197.04
RET00078,SO00439,CUST00103,2024-09-09,quality_issue,received,0
RET00079,SO00472,CUST00102,2023-12-22,expired,approved,0
RET00080,SO00180,CUST00040,2024-02-18,expired,approved,0
RET00081,SO00346,CUST00110,2025-01-05,customer_change,refunded,2773.98
RET00082,SO00338,CUST00024,2023-04-09,wrong_item,refunded,1891.79
RET00083,SO00327,CUST00040,2025-08-25,defective,requested,0
RET00084,SO00287,CUST00102,2023-05-13,quality_issue,refunded,3375.68
RET00085,SO00268,CUST00013,2023-05-30,expired,requested,0
RET00086,SO00296,CUST00081,2023-08-26,customer_change,requested,0
RET00087,SO00478,CUST00007,2024-06-11,damaged_in_transit,refunded,408.63
RET00088,SO00053,CUST00024,2023-05-04,quality_issue,refunded,0
RET00089,SO00156,CUST00130,2024-09-10,customer_change,approved,4066.67
RET00090,SO00344,CUST00082,2024-01-14,wrong_item,refunded,3345.53
RET00091,SO00497,CUST00023,2025-10-11,customer_change,requested,0
RET00092,SO00287,CUST00102,2023-10-29,damaged_in_transit,approved,0
RET00093,SO00477,CUST00075,2023-11-18,defective,rejected,2753.01
RET00094,SO00084,CUST00063,2025-04-11,customer_change,rejected,302.01
RET00095,SO00210,CUST00043,2025-04-23,expired,requested,0
RET00096,SO00221,CUST00112,2024-02-21,quality_issue,approved,3232.94
RET00097,SO00185,CUST00033,2023-05-10,customer_change,received,0
RET00098,SO00423,CUST00118,2023-08-11,expired,requested,944.56
RET00099,SO00382,CUST00014,2023-01-20,expired,rejected,105.87
RET00100,SO00024,CUST00048,2025-09-25,quality_issue,requested,2560.58
RET00101,SO00376,CUST00057,2025-06-09,quality_issue,approved,0
RET00102,SO00256,CUST00115,2025-11-20,wrong_item,received,2969.34
RET00103,SO00345,CUST00147,2025-10-04,expired,received,4326.16
RET00104,SO00479,CUST00009,2025-04-19,damaged_in_transit,requested,3992.22
RET00105,SO00345,CUST00147,2024-11-27,customer_change,received,0
RET00106,SO00219,CUST00072,2025-03-20,damaged_in_transit,received,0
RET00107,SO00307,CUST00017,2025-10-25,defective,refunded,1357.23
RET00108,SO00245,CUST00094,2023-01-08,defective,approved,0
RET00109,SO00392,CUST00111,2023-11-02,defective,approved,0
RET00110,SO00092,CUST00037,2024-04-07,defective,approved,0
RET00111,SO00381,CUST00010,2024-06-07,damaged_in_transit,approved,1856.09
RET00112,SO00227,CUST00100,2024-05-09,defective,rejected,3794.68
RET00113,SO00237,CUST00019,2023-03-22,expired,refunded,0
RET00114,SO00045,CUST00053,2025-11-20,damaged_in_transit,approved,1358.81
RET00115,SO00205,CUST00080,2025-01-23,defective,approved,0
RET00116,SO00286,CUST00056,2025-09-14,expired,rejected,123.62
RET00117,SO00369,CUST00060,2024-03-05,customer_change,refunded,1044.33
RET00118,SO00070,CUST00083,2025-06-08,wrong_item,approved,647.59
RET00119,SO00273,CUST00075,2025-03-30,wrong_item,rejected,0
RET00120,SO00072,CUST00148,2025-10-15,expired,approved,0
RET00121,SO00385,CUST00110,2023-07-28,defective,approved,3587.3
RET00122,SO00423,CUST00118,2023-01-15,quality_issue,rejected,0
RET00123,SO00336,CUST00141,2024-05-29,defective,approved,55.7
RET00124,SO00102,CUST00054,2024-04-22,wrong_item,requested,2687.03
RET00125,SO00416,CUST00012,2025-12-28,damaged_in_transit,received,0
RET00126,SO00393,CUST00121,2023-09-19,damaged_in_transit,refunded,3129.68
RET00127,SO00007,CUST00123,2025-08-09,wrong_item,refunded,0
RET00128,SO00269,CUST00023,2023-08-21,customer_change,refunded,1928.21
RET00129,SO00009,CUST00111,2024-08-28,damaged_in_transit,received,0
RET00130,SO00373,CUST00114,2023-07-16,damaged_in_transit,refunded,2696.9
RET00131,SO00114,CUST00005,2023-11-19,customer_change,received,0
RET00132,SO00106,CUST00144,2025-07-11,wrong_item,rejected,0
RET00133,SO00272,CUST00123,2024-02-23,damaged_in_transit,approved,2780.46
RET00134,SO00326,CUST00105,2024-03-28,quality_issue,refunded,3035.94
RET00135,SO00468,CUST00122,2024-03-08,defective,received,0
RET00136,SO00085,CUST00003,2025-11-10,damaged_in_transit,rejected,2103.03
RET00137,SO00177,CUST00035,2023-06-15,expired,requested,0
RET00138,SO00006,CUST00035,2025-06-11,customer_change,rejected,0
RET00139,SO00344,CUST00082,2025-04-05,expired,refunded,0
RET00140,SO00153,CUST00009,2025-05-05,customer_change,requested,4144.19
RET00141,SO00296,CUST00081,2024-05-20,wrong_item,rejected,3620.8
RET00142,SO00046,CUST00040,2024-04-18,quality_issue,received,0
RET00143,SO00076,CUST00135,2025-02-19,wrong_item,approved,0
RET00144,SO00181,CUST00123,2024-05-10,expired,refunded,0
RET00145,SO00294,CUST00011,2024-04-11,quality_issue,rejected,0
RET00146,SO00173,CUST00064,2023-01-15,wrong_item,rejected,1601.93
RET00147,SO00381,CUST00010,2025-04-29,damaged_in_transit,refunded,3264.59
RET00148,SO00102,CUST00054,2025-08-20,defective,rejected,0
RET00149,SO00017,CUST00008,2023-11-03,expired,requested,0
RET00150,SO00075,CUST00071,2024-02-22,customer_change,refunded,0
RET00151,SO00381,CUST00010,2024-12-19,expired,refunded,2306.02
RET00152,SO00369,CUST00060,2023-12-15,expired,approved,0
RET00153,SO00259,CUST00109,2024-07-02,quality_issue,approved,326.56
RET00154,SO00342,CUST00132,2023-01-11,defective,rejected,0
RET00155,SO00309,CUST00018,2024-09-11,quality_issue,rejected,0
RET00156,SO00369,CUST00060,2025-06-24,wrong_item,approved,0
RET00157,SO00156,CUST00130,2024-02-09,expired,refunded,3070.19
RET00158,SO00323,CUST00121,2023-07-07,customer_change,refunded,3934.46
RET00159,SO00316,CUST00083,2024-02-10,customer_change,requested,1463.18
RET00160,SO00481,CUST00150,2023-08-09,defective,received,0
RET00161,SO00252,CUST00085,2024-07-10,customer_change,refunded,4176.96
RET00162,SO00131,CUST00044,2024-03-13,expired,approved,3840.57
RET00163,SO00452,CUST00092,2024-10-28,wrong_item,rejected,149.97
RET00164,SO00170,CUST00129,2025-06-13,damaged_in_transit,requested,2212.51
RET00165,SO00410,CUST00031,2025-07-09,customer_change,requested,4611.82
RET00166,SO00277,CUST00062,2025-06-30,damaged_in_transit,approved,1773.8
RET00167,SO00311,CUST00138,2025-11-06,damaged_in_transit,rejected,0
RET00168,SO00021,CUST00015,2023-11-20,expired,received,0
RET00169,SO00123,CUST00011,2025-11-13,quality_issue,rejected,1949.67
RET00170,SO00202,CUST00023,2024-06-27,wrong_item,received,1160.97
RET00171,SO00129,CUST00116,2024-11-06,wrong_item,requested,0
RET00172,SO00053,CUST00024,2025-03-07,defective,approved,317.49
RET00173,SO00267,CUST00144,2024-03-05,damaged_in_transit,received,0
RET00174,SO00149,CUST00027,2025-05-24,defective,received,292.99
RET00175,SO00245,CUST00094,2024-06-15,customer_change,received,0
RET00176,SO00377,CUST00095,2023-06-17,customer_change,requested,0
RET00177,SO00060,CUST00122,2023-04-01,wrong_item,rejected,2025.3
RET00178,SO00161,CUST00108,2025-04-17,expired,rejected,3509.55
RET00179,SO00327,CUST00040,2023-03-28,damaged_in_transit,requested,0
RET00180,SO00309,CUST00018,2024-03-16,wrong_item,received,0
RET00181,SO00279,CUST00072,2025-04-01,defective,requested,2578.12
RET00182,SO00162,CUST00098,2023-02-23,wrong_item,rejected,0
RET00183,SO00438,CUST00020,2024-01-31,quality_issue,requested,0
RET00184,SO00449,CUST00110,2023-05-21,wrong_item,received,4280.75
RET00185,SO00049,CUST00054,2025-02-06,quality_issue,requested,0
RET00186,SO00469,CUST00025,2024-08-27,quality_issue,rejected,579.68
RET00187,SO00468,CUST00122,2025-02-04,defective,received,0
RET00188,SO00295,CUST00104,2024-03-31,quality_issue,refunded,407.42
RET00189,SO00222,CUST00107,2023-06-07,customer_change,requested,3210.05
RET00190,SO00313,CUST00139,2024-02-22,expired,approved,4738.63
RET00191,SO00436,CUST00005,2023-02-05,customer_change,requested,418.65
RET00192,SO00493,CUST00098,2024-03-01,wrong_item,requested,1397.24
RET00193,SO00181,CUST00123,2023-10-04,defective,rejected,4298.02
RET00194,SO00414,CUST00098,2023-03-26,expired,requested,4134.22
RET00195,SO00245,CUST00094,2025-08-22,customer_change,received,1743.78
RET00196,SO00080,CUST00096,2024-06-06,quality_issue,requested,0
RET00197,SO00055,CUST00103,2024-01-07,customer_change,approved,3248.33
RET00198,SO00470,CUST00143,2025-03-06,quality_issue,received,2146.63
RET00199,SO00252,CUST00085,2023-12-11,defective,requested,240.33
RET00200,SO00330,CUST00017,2023-06-17,defective,approved,3552.28
