line_id,po_id,product_id,quantity,unit_price,line_total
POL000041,PO00346,PRD00063,345,1144.7,394922.72
POL000042,PO00225,PRD00067,338,421.34,142412.98
POL000043,PO00062,PRD00019,203,29.43,5973.43
POL000044,PO00303,PRD00014,380,2401.78,912677.56
POL000045,PO00087,PRD00009,187,2427.59,453959.44
POL000046,PO00174,PRD00026,305,1990.85,607209.46
POL000047,PO00207,PRD00016,120,1682.75,201929.63
POL000048,PO00372,PRD00064,143,1195.91,171014.62
POL000049,PO00393,PRD00075,304,1692.78,514605.58
POL000050,PO00330,PRD00052,183,103.69,18975.73
POL000051,PO00309,PRD00052,249,104.81,26097.11
POL000052,PO00076,PRD00099,233,1207.81,281419.47
POL000053,PO00129,PRD00063,255,1193.65,304380.96
POL000054,PO00069,PRD00004,51,1544.45,78767.14
POL000055,PO00035,PRD00064,348,950.6,330807.74
POL000056,PO00092,PRD00049,310,1569.71,486611.48
POL000057,PO00079,PRD00039,319,2355.71,751469.9
POL000058,PO00390,PRD00010,339,2583.48,875800.42
POL000059,PO00393,PRD00064,406,1096.6,445218.29
POL000060,PO00151,PRD00085,255,1172.94,299099.5
POL000061,PO00134,PRD00070,176,2548.48,448532.58
POL000062,PO00277,PRD00070,10,2648.59,26485.91
POL000063,PO00017,PRD00056,451,2802.64,1263988.75
POL000064,PO00197,PRD00058,162,294.14,47650.23
POL000065,PO00227,PRD00059,19,1067.26,20277.86
POL000066,PO00286,PRD00085,441,1274.98,562265.29
POL000067,PO00362,PRD00022,252,232.24,58523.95
POL000068,PO00160,PRD00092,200,749.34,149867.84
POL000069,PO00057,PRD00073,346,692.27,239526.32
POL000070,PO00284,PRD00088,277,1837.15,508891.81
POL000071,PO00244,PRD00072,438,1238.08,542279.24
POL000072,PO00029,PRD00051,135,1251.68,168977.25
POL000073,PO00194,PRD00079,347,2046.19,710028.35
POL000074,PO00146,PRD00042,32,518.04,16577.17
POL000075,PO00024,PRD00017,429,2042.84,876378.79
POL000076,PO00380,PRD00075,14,1961.02,27454.24
POL000077,PO00321,PRD00044,195,76.0,14819.7
POL000078,PO00177,PRD00046,211,1882.7,397250.13
POL000079,PO00339,PRD00032,127,2008.69,255103.45
POL000080,PO00160,PRD00076,44,1256.92,55304.69
POL000081,PO00034,PRD00040,59,1354.36,79907.44
POL000082,PO00011,PRD00069,167,2039.28,340560.46
POL000083,PO00337,PRD00055,291,1305.57,379919.56
POL000084,PO00216,PRD00035,11,1304.33,14347.64
POL000085,PO00302,PRD00003,163,2323.51,378732.4
POL000086,PO00200,PRD00042,294,530.63,156006.12
POL000087,PO00251,PRD00013,354,1149.11,406786.3
POL000088,PO00173,PRD00064,258,1211.41,312543.29
POL000089,PO00342,PRD00044,86,89.42,7689.92
POL000090,PO00187,PRD00056,104,2490.1,258970.48
POL000091,PO00039,PRD00069,110,2216.86,243854.87
POL000092,PO00025,PRD00039,294,2204.95,648255.32
POL000093,PO00116,PRD00080,381,1347.89,513545.72
POL000094,PO00368,PRD00075,49,1866.56,91461.52
POL000095,PO00140,PRD00009,291,2316.67,674150.35
POL000096,PO00244,PRD00055,108,1240.27,133949.39
POL000097,PO00040,PRD00084,422,1700.05,717421.75
POL000098,PO00154,PRD00056,340,2522.25,857564.78
POL000099,PO00103,PRD00054,206,1901.15,391636.03
POL000100,PO00264,PRD00059,344,1339.3,460717.6
POL000101,PO00093,PRD00003,322,2559.11,824033.28
POL000102,PO00096,PRD00074,256,2134.79,546506.66
POL000103,PO00381,PRD00060,138,109.22,15072.88
POL000104,PO00273,PRD00079,437,2313.59,1011036.67
POL000105,PO00223,PRD00073,373,720.64,268798.81
POL000106,PO00268,PRD00026,187,1784.29,333662.42
POL000107,PO00124,PRD00020,383,1901.74,728367.94
POL000108,PO00154,PRD00056,211,2356.78,497281.52
POL000109,PO00033,PRD00082,105,2662.61,279573.69
POL000110,PO00137,PRD00037,331,2231.81,738730.07
POL000111,PO00352,PRD00077,121,1854.48,224391.74
POL000112,PO00059,PRD00020,99,1546.32,153086.17
POL000113,PO00159,PRD00060,249,98.29,24474.96
POL000114,PO00224,PRD00055,332,1457.99,484053.53
POL000115,PO00104,PRD00021,140,1062.74,148784.28
POL000116,PO00133,PRD00036,338,382.99,129450.17
POL000117,PO00330,PRD00006,494,1860.93,919300.29
POL000118,PO00011,PRD00008,441,1040.14,458703.45
POL000119,PO00161,PRD00078,153,2722.12,416485.1
POL000120,PO00209,PRD00047,344,305.13,104965.12
POL000121,PO00047,PRD00051,483,1381.48,667256.81
POL000122,PO00072,PRD00031,58,2410.76,139824.07
POL000123,PO00257,PRD00016,268,1603.05,429616.41
POL000124,PO00298,PRD00100,477,757.08,361129.1
POL000125,PO00255,PRD00012,122,2082.0,254003.44
POL000126,PO00396,PRD00041,169,1721.76,290976.88
POL000127,PO00378,PRD00050,413,338.75,139904.05
POL000128,PO00121,PRD00055,112,1161.1,130043.05
POL000129,PO00090,PRD00028,497,1941.56,964957.57
POL000130,PO00210,PRD00033,442,1133.61,501053.54
POL000131,PO00252,PRD00069,192,2509.72,481866.94
POL000132,PO00058,PRD00041,280,1529.86,428360.87
POL000133,PO00350,PRD00032,494,2036.92,1006236.1
POL000134,PO00075,PRD00047,244,310.22,75694.18
POL000135,PO00158,PRD00003,331,2749.76,910169.7
POL000136,PO00311,PRD00005,431,2523.07,1087441.98
POL000137,PO00028,PRD00089,470,190.93,89738.82
POL000138,PO00123,PRD00033,283,1065.78,301615.86
POL000139,PO00328,PRD00090,186,2094.13,389508.37
POL000140,PO00351,PRD00016,274,1695.97,464694.96
POL000141,PO00227,PRD00050,5,354.02,1770.09
POL000142,PO00202,PRD00033,155,968.26,150081.01
POL000143,PO00388,PRD00031,153,2155.41,329777.76
POL000144,PO00083,PRD00057,324,1113.09,360641.32
POL000145,PO00393,PRD00083,209,2375.84,496551.19
POL000146,PO00141,PRD00011,422,419.13,176873.12
POL000147,PO00252,PRD00061,378,286.54,108311.15
POL000148,PO00171,PRD00092,217,837.19,181669.48
POL000149,PO00052,PRD00021,358,1107.31,396417.68
POL000150,PO00034,PRD00046,216,2031.0,438695.96
POL000151,PO00281,PRD00095,168,435.61,73181.69
POL000152,PO00015,PRD00098,27,29.66,800.73
POL000153,PO00095,PRD00081,228,2686.83,612597.35
POL000154,PO00070,PRD00001,206,2156.44,444225.62
POL000155,PO00157,PRD00041,295,1369.44,403983.39
POL000156,PO00081,PRD00032,265,2322.27,615400.79
POL000157,PO00394,PRD00084,391,1606.92,628304.9
POL000158,PO00305,PRD00088,211,1956.07,412730.52
POL000159,PO00164,PRD00058,245,295.78,72466.96
POL000160,PO00069,PRD00034,89,2485.28,221189.92
POL000161,PO00168,PRD00037,102,2175.02,221852.1
POL000162,PO00189,PRD00024,202,2772.94,560134.69
POL000163,PO00293,PRD00029,11,861.22,9473.38
POL000164,PO00286,PRD00083,314,2269.15,712511.85
POL000165,PO00046,PRD00060,102,89.66,9145.25
POL000166,PO00087,PRD00007,206,2026.98,417558.76
POL000167,PO00308,PRD00034,77,2062.87,158841.34
POL000168,PO00189,PRD00022,485,241.95,117347.88
POL000169,PO00008,PRD00092,270,737.54,199135.4
POL000170,PO00233,PRD00087,254,1903.11,483389.44
POL000171,PO00366,PRD00027,98,617.79,60543.76
POL000172,PO00137,PRD00037,383,2480.48,950024.86
POL000173,PO00067,PRD00056,439,2273.01,997849.27
POL000174,PO00111,PRD00037,373,2616.92,976109.33
POL000175,PO00215,PRD00024,210,2710.21,569144.24
POL000176,PO00015,PRD00038,500,1385.7,692848.57
POL000177,PO00317,PRD00058,465,245.9,114342.24
POL000178,PO00299,PRD00088,332,1775.63,589509.56
POL000179,PO00006,PRD00061,69,327.01,22563.4
POL000180,PO00355,PRD00051,352,1145.44,403196.26
POL000181,PO00197,PRD00091,217,1885.96,409253.03
POL000182,PO00132,PRD00010,49,2443.24,119718.61
POL000183,PO00027,PRD00043,477,942.77,449702.91
POL000184,PO00182,PRD00078,481,2577.67,1239857.25
POL000185,PO00307,PRD00091,384,1924.92,739171.14
POL000186,PO00003,PRD00033,259,1143.6,296192.3
POL000187,PO00155,PRD00051,344,1205.13,414563.15
POL000188,PO00287,PRD00006,298,1576.7,469856.44
POL000189,PO00087,PRD00065,253,374.73,94805.44
POL000190,PO00240,PRD00017,46,2011.5,92528.92
POL000191,PO00272,PRD00056,73,2313.23,168865.95
POL000192,PO00161,PRD00006,66,1744.09,115109.73
POL000193,PO00144,PRD00096,185,1928.01,356681.01
POL000194,PO00145,PRD00034,314,2585.6,811879.05
POL000195,PO00136,PRD00067,161,392.44,63182.86
POL000196,PO00085,PRD00041,378,1797.96,679627.45
POL000197,PO00392,PRD00020,285,1992.4,567833.02
POL000198,PO00337,PRD00082,409,2368.81,968844.17
POL000199,PO00097,PRD00020,28,1655.59,46356.4
POL000200,PO00019,PRD00061,134,264.52,35446.13
POL000201,PO00240,PRD00056,60,2862.65,171758.96
POL000202,PO00254,PRD00006,227,1669.41,378956.03
POL000203,PO00364,PRD00072,249,1362.92,339366.41
POL000204,PO00058,PRD00093,444,659.14,292658.14
POL000205,PO00179,PRD00012,105,2244.73,235697.09
POL000206,PO00093,PRD00022,384,237.79,91312.01
POL000207,PO00140,PRD00073,457,728.22,332795.17
POL000208,PO00109,PRD00075,498,1546.27,770044.11
POL000209,PO00393,PRD00074,93,2277.38,211796.12
POL000210,PO00040,PRD00032,394,2181.2,859394.01
POL000211,PO00049,PRD00043,14,957.97,13411.51
POL000212,PO00349,PRD00016,202,1469.83,296905.15
POL000213,PO00055,PRD00042,79,518.17,40935.3
POL000214,PO00236,PRD00091,338,1750.57,591691.37
POL000215,PO00322,PRD00035,305,1290.3,393542.98
POL000216,PO00169,PRD00006,336,1808.54,607669.32
POL000217,PO00232,PRD00042,486,645.38,313653.94
POL000218,PO00376,PRD00073,67,634.13,42486.43
POL000219,PO00025,PRD00083,145,2070.13,300168.87
POL000220,PO00029,PRD00096,37,1733.6,64143.31
POL000221,PO00309,PRD00049,48,1444.43,69332.69
POL000222,PO00092,PRD00031,495,2552.32,1263399.34
POL000223,PO00205,PRD00012,11,2235.14,24586.49
POL000224,PO00084,PRD00050,400,306.03,122411.53
POL000225,PO00332,PRD00097,489,1208.98,591191.04
POL000226,PO00062,PRD00039,252,2476.92,624185.04
POL000227,PO00377,PRD00040,463,1502.73,695764.34
POL000228,PO00068,PRD00046,341,1731.86,590562.75
POL000229,PO00189,PRD00066,103,76.79,7909.39
POL000230,PO00199,PRD00061,138,299.79,41370.44
POL000231,PO00217,PRD00012,388,1974.48,766099.44
POL000232,PO00189,PRD00079,96,2098.43,201449.39
POL000233,PO00219,PRD00012,21,2029.55,42620.57
POL000234,PO00238,PRD00087,115,2244.23,258086.13
POL000235,PO00366,PRD00020,477,1799.06,858152.47
POL000236,PO00323,PRD00083,269,1913.26,514665.63
POL000237,PO00240,PRD00056,41,2796.85,114671.05
POL000238,PO00245,PRD00039,77,2601.7,200330.95
POL000239,PO00351,PRD00039,431,2100.42,905282.46
POL000240,PO00219,PRD00038,292,1289.86,376638.26
POL000241,PO00040,PRD00006,263,1539.15,404797.58
POL000242,PO00218,PRD00053,49,622.99,30526.69
POL000243,PO00369,PRD00073,417,642.88,268079.3
POL000244,PO00131,PRD00075,42,1962.9,82441.76
POL000245,PO00009,PRD00015,380,2311.54,878384.46
POL000246,PO00092,PRD00024,432,2411.59,1041805.91
POL000247,PO00043,PRD00054,449,2180.42,979006.63
POL000248,PO00161,PRD00076,371,1104.03,409595.5
POL000249,PO00344,PRD00058,320,290.54,92973.86
POL000250,PO00175,PRD00024,109,2256.21,245926.79
POL000251,PO00383,PRD00078,133,2725.39,362477.39
POL000252,PO00055,PRD00056,274,2131.92,584145.66
POL000253,PO00203,PRD00015,7,1987.56,13912.89
POL000254,PO00245,PRD00059,355,1205.86,428080.27
POL000255,PO00337,PRD00096,309,1825.27,564009.43
POL000256,PO00156,PRD00080,417,1353.57,564438.94
POL000257,PO00185,PRD00089,345,200.12,69042.64
POL000258,PO00346,PRD00051,412,1179.46,485936.85
POL000259,PO00065,PRD00018,8,1810.48,14483.84
POL000260,PO00009,PRD00090,497,1693.44,841640.81
POL000261,PO00014,PRD00027,247,569.17,140586.11
POL000262,PO00333,PRD00031,224,2602.75,583016.19
POL000263,PO00276,PRD00025,45,1069.18,48113.0
POL000264,PO00238,PRD00019,243,29.62,7197.46
POL000265,PO00060,PRD00022,463,212.44,98359.49
POL000266,PO00360,PRD00057,494,1172.4,579164.11
POL000267,PO00011,PRD00058,300,245.44,73633.02
POL000268,PO00151,PRD00073,425,763.77,324601.92
POL000269,PO00027,PRD00043,5,902.16,4510.79
POL000270,PO00366,PRD00056,213,2753.05,586398.64
POL000271,PO00378,PRD00075,306,1942.43,594382.43
POL000272,PO00149,PRD00005,250,2283.13,570781.3
POL000273,PO00263,PRD00076,372,1156.57,430245.4
POL000274,PO00348,PRD00063,119,1381.99,164456.51
POL000275,PO00271,PRD00003,217,2467.27,535396.51
POL000276,PO00284,PRD00009,138,2375.11,327765.55
POL000277,PO00214,PRD00061,60,293.76,17625.6
POL000278,PO00331,PRD00045,230,2277.1,523733.05
POL000279,PO00011,PRD00021,148,1273.8,188522.41
POL000280,PO00241,PRD00045,225,1976.95,444813.53
POL000281,PO00113,PRD00076,466,1181.24,550459.5
POL000282,PO00309,PRD00092,337,745.05,251083.4
POL000283,PO00151,PRD00093,365,712.71,260140.14
POL000284,PO00214,PRD00087,335,2300.3,770600.81
POL000285,PO00242,PRD00021,319,1088.07,347095.33
POL000286,PO00354,PRD00096,45,1795.09,80779.09
POL000287,PO00067,PRD00023,103,1490.26,153496.94
POL000288,PO00252,PRD00013,407,1064.24,433146.71
POL000289,PO00253,PRD00039,121,2073.69,250916.96
POL000290,PO00025,PRD00003,184,2687.6,494518.65
POL000291,PO00183,PRD00087,82,1939.34,159026.11
POL000292,PO00258,PRD00005,414,2045.83,846975.51
POL000293,PO00221,PRD00015,317,2023.9,641577.14
POL000294,PO00288,PRD00029,250,704.0,176001.12
POL000295,PO00175,PRD00046,394,1702.63,670836.24
POL000296,PO00286,PRD00035,459,1102.99,506274.68
POL000297,PO00354,PRD00066,310,80.95,25093.46
POL000298,PO00362,PRD00007,475,2219.77,1054393.04
POL000299,PO00235,PRD00097,57,1320.12,75246.88
POL000300,PO00313,PRD00079,401,2370.92,950737.06
POL000301,PO00053,PRD00072,22,1383.44,30435.58
POL000302,PO00086,PRD00081,61,2746.03,167507.56
POL000303,PO00186,PRD00021,373,1118.46,417185.64
POL000304,PO00227,PRD00098,260,28.44,7393.43
POL000305,PO00051,PRD00020,332,1727.94,573677.05
POL000306,PO00071,PRD00016,435,1391.15,605148.6
POL000307,PO00213,PRD00099,394,1166.15,459463.51
POL000308,PO00243,PRD00044,147,86.57,12725.83
POL000309,PO00044,PRD00035,191,1311.44,250485.42
POL000310,PO00213,PRD00047,323,305.79,98770.95
POL000311,PO00078,PRD00097,386,1165.85,450017.67
POL000312,PO00117,PRD00018,411,1952.98,802673.91
POL000313,PO00210,PRD00059,488,1372.42,669739.07
POL000314,PO00350,PRD00047,484,250.27,121128.8
POL000315,PO00075,PRD00099,6,1458.12,8748.74
POL000316,PO00265,PRD00009,44,2021.62,88951.44
POL000317,PO00206,PRD00099,85,1341.69,114043.5
POL000318,PO00202,PRD00098,19,29.82,566.52
POL000319,PO00329,PRD00020,463,1841.89,852793.44
POL000320,PO00324,PRD00092,410,788.36,323225.86
POL000321,PO00267,PRD00038,215,1448.47,311420.29
POL000322,PO00349,PRD00090,284,2077.54,590020.1
POL000323,PO00370,PRD00096,161,1919.28,309004.76
POL000324,PO00005,PRD00036,461,380.4,175362.25
POL000325,PO00076,PRD00090,207,1838.02,380470.44
POL000326,PO00106,PRD00070,320,2533.69,810781.18
POL000327,PO00334,PRD00057,358,1123.01,402036.3
POL000328,PO00333,PRD00052,398,94.96,37795.98
POL000329,PO00155,PRD00011,19,391.05,7430.0
POL000330,PO00200,PRD00093,369,790.02,291518.1
POL000331,PO00065,PRD00067,277,374.21,103656.62
POL000332,PO00048,PRD00066,283,72.69,20571.65
POL000333,PO00175,PRD00097,326,1037.71,338293.9
POL000334,PO00015,PRD00070,304,2163.15,657598.15
POL000335,PO00397,PRD00039,372,2219.07,825494.07
POL000336,PO00259,PRD00015,375,1913.62,717606.63
POL000337,PO00191,PRD00034,322,2358.24,759354.47
POL000338,PO00064,PRD00007,388,2046.34,793980.24
POL000339,PO00064,PRD00058,153,271.76,41579.26
POL000340,PO00003,PRD00059,174,1421.03,247259.48
POL000341,PO00382,PRD00075,290,1933.47,560706.87
POL000342,PO00322,PRD00086,274,1912.43,524007.01
POL000343,PO00120,PRD00045,154,2010.76,309657.58
POL000344,PO00367,PRD00074,345,2083.65,718858.36
POL000345,PO00194,PRD00067,378,369.85,139805.06
POL000346,PO00168,PRD00067,299,363.24,108609.6
POL000347,PO00399,PRD00047,233,256.23,59701.52
POL000348,PO00365,PRD00055,425,1265.52,537844.16
POL000349,PO00048,PRD00008,218,1037.91,226265.25
POL000350,PO00244,PRD00028,229,1818.82,416510.31
POL000351,PO00347,PRD00068,207,580.6,120184.88
POL000352,PO00266,PRD00100,203,835.25,169555.44
POL000353,PO00300,PRD00064,326,1082.44,352874.81
POL000354,PO00226,PRD00089,477,199.32,95073.7
POL000355,PO00375,PRD00054,422,1846.65,779285.54
POL000356,PO00259,PRD00017,249,2262.94,563471.25
POL000357,PO00067,PRD00091,263,1953.15,513678.27
POL000358,PO00061,PRD00089,109,173.36,18896.32
POL000359,PO00017,PRD00096,81,1937.15,156909.18
POL000360,PO00190,PRD00016,309,1689.26,521981.1
POL000361,PO00057,PRD00016,190,1560.67,296527.72
POL000362,PO00021,PRD00067,79,354.26,27986.69
POL000363,PO00157,PRD00048,156,1939.66,302587.05
POL000364,PO00015,PRD00019,73,32.91,2402.59
POL000365,PO00216,PRD00007,480,2189.23,1050828.63
POL000366,PO00146,PRD00028,94,2281.77,214486.83
POL000367,PO00251,PRD00001,63,2403.44,151416.97
POL000368,PO00035,PRD00006,214,1734.65,371214.82
POL000369,PO00159,PRD00073,232,777.61,180405.2
POL000370,PO00194,PRD00061,428,313.64,134238.55
POL000371,PO00311,PRD00017,391,1897.35,741863.28
POL000372,PO00326,PRD00059,390,1222.56,476796.73
POL000373,PO00230,PRD00020,444,1924.75,854586.93
POL000374,PO00046,PRD00080,341,1229.02,419095.49
POL000375,PO00199,PRD00030,461,114.84,52941.0
POL000376,PO00277,PRD00006,491,1833.7,900347.58
POL000377,PO00227,PRD00095,143,461.14,65942.99
POL000378,PO00085,PRD00091,13,1799.25,23390.24
POL000379,PO00396,PRD00091,159,1793.46,285160.71
POL000380,PO00064,PRD00083,287,1914.03,549326.68
POL000381,PO00317,PRD00070,296,2512.2,743609.79
POL000382,PO00292,PRD00067,97,430.23,41732.15
POL000383,PO00258,PRD00003,62,2526.49,156642.5
POL000384,PO00273,PRD00024,493,2132.04,1051096.89
POL000385,PO00106,PRD00032,425,2317.06,984752.41
POL000386,PO00297,PRD00057,44,1286.12,56589.12
POL000387,PO00311,PRD00042,206,619.55,127627.92
POL000388,PO00252,PRD00003,175,2366.41,414121.08
POL000389,PO00213,PRD00004,441,1453.68,641071.57
POL000390,PO00196,PRD00033,47,976.34,45888.16
POL000391,PO00051,PRD00070,87,2181.8,189816.95
POL000392,PO00094,PRD00033,394,968.06,381415.12
POL000393,PO00158,PRD00053,348,567.18,197378.59
POL000394,PO00315,PRD00042,93,517.86,48160.98
POL000395,PO00030,PRD00039,200,1998.26,399651.55
POL000396,PO00073,PRD00053,458,596.46,273180.77
POL000397,PO00193,PRD00016,27,1391.45,37569.23
POL000398,PO00386,PRD00077,301,1757.51,529009.99
POL000399,PO00261,PRD00097,259,1115.72,288971.41
POL000400,PO00059,PRD00035,32,1164.77,37272.71
POL000401,PO00284,PRD00053,34,626.68,21307.12
POL000402,PO00209,PRD00082,120,2711.65,325397.82
POL000403,PO00010,PRD00035,284,1403.2,398508.16
POL000404,PO00346,PRD00013,127,1177.89,149592.38
POL000405,PO00334,PRD00017,156,2171.7,338785.31
POL000406,PO00229,PRD00011,434,402.46,174669.57
POL000407,PO00105,PRD00019,192,30.7,5894.01
POL000408,PO00087,PRD00032,276,2478.78,684143.27
POL000409,PO00285,PRD00058,22,226.16,4975.58
POL000410,PO00238,PRD00080,149,1239.5,184684.92
POL000411,PO00086,PRD00001,31,2677.83,83012.66
POL000412,PO00247,PRD00035,307,1139.85,349932.5
POL000413,PO00349,PRD00049,180,1642.66,295679.17
POL000414,PO00109,PRD00075,431,1822.13,785337.37
POL000415,PO00024,PRD00021,379,1205.05,456713.58
POL000416,PO00036,PRD00039,46,2200.37,101216.96
POL000417,PO00063,PRD00018,372,2029.4,754937.81
POL000418,PO00144,PRD00056,108,2574.96,278095.84
POL000419,PO00163,PRD00088,485,1713.31,830954.39
POL000420,PO00134,PRD00097,363,1139.18,413521.88
POL000421,PO00126,PRD00085,165,1120.49,184880.68
POL000422,PO00236,PRD00077,169,1631.2,275673.29
POL000423,PO00355,PRD00018,331,2248.39,744215.77
POL000424,PO00312,PRD00061,3,329.65,988.96
POL000425,PO00345,PRD00023,212,1689.39,358150.72
POL000426,PO00357,PRD00091,251,1899.89,476871.62
POL000427,PO00276,PRD00011,404,430.41,173887.44
POL000428,PO00334,PRD00010,276,2064.14,569702.16
POL000429,PO00344,PRD00057,345,1044.63,360397.77
POL000430,PO00193,PRD00077,184,1843.53,339210.2
POL000431,PO00394,PRD00090,5,1657.88,8289.39
POL000432,PO00190,PRD00025,228,969.72,221096.29
POL000433,PO00381,PRD00003,389,2253.61,876654.38
POL000434,PO00364,PRD00046,99,1728.22,171094.05
POL000435,PO00315,PRD00081,156,2699.73,421157.25
POL000436,PO00114,PRD00030,253,135.18,34200.74
POL000437,PO00019,PRD00036,253,423.03,107026.63
POL000438,PO00362,PRD00078,108,2089.47,225663.23
POL000439,PO00327,PRD00051,57,1392.81,79390.0
POL000440,PO00292,PRD00065,253,299.07,75665.06
POL000441,PO00100,PRD00085,379,1199.57,454636.63
POL000442,PO00350,PRD00078,290,2213.35,641870.37
POL000443,PO00302,PRD00017,382,1850.44,706868.28
POL000444,PO00133,PRD00073,439,637.58,279898.83
POL000445,PO00268,PRD00094,401,1240.2,497319.9
POL000446,PO00348,PRD00003,497,2551.62,1268156.82
POL000447,PO00273,PRD00079,130,2256.79,293382.37
POL000448,PO00233,PRD00001,481,2317.84,1114879.14
POL000449,PO00345,PRD00084,27,1999.38,53983.27
POL000450,PO00166,PRD00056,433,2862.58,1239496.29
POL000451,PO00141,PRD00016,349,1536.17,536121.71
POL000452,PO00254,PRD00047,265,314.01,83213.01
POL000453,PO00370,PRD00029,25,708.58,17714.62
POL000454,PO00216,PRD00069,230,2237.38,514598.02
POL000455,PO00201,PRD00025,172,994.43,171042.6
POL000456,PO00293,PRD00004,378,1322.95,500074.64
POL000457,PO00354,PRD00055,491,1133.87,556728.21
POL000458,PO00128,PRD00026,85,1712.15,145532.38
POL000459,PO00033,PRD00081,321,2172.13,697254.43
POL000460,PO00246,PRD00056,414,2136.49,884505.09
POL000461,PO00321,PRD00043,431,947.56,408397.1
POL000462,PO00056,PRD00061,123,334.72,41170.15
POL000463,PO00028,PRD00043,267,1114.62,297604.34
POL000464,PO00038,PRD00100,308,778.34,239729.44
POL000465,PO00392,PRD00013,321,1074.22,344825.55
POL000466,PO00064,PRD00011,499,335.74,167536.24
POL000467,PO00018,PRD00049,161,1663.95,267896.62
POL000468,PO00356,PRD00009,401,1887.28,756798.76
POL000469,PO00227,PRD00008,155,960.45,148870.03
POL000470,PO00222,PRD00009,53,2237.87,118607.15
POL000471,PO00287,PRD00007,151,2163.19,326642.43
POL000472,PO00206,PRD00013,317,1174.29,372248.36
POL000473,PO00120,PRD00077,404,1999.81,807924.76
POL000474,PO00006,PRD00059,197,1227.87,241890.96
POL000475,PO00220,PRD00080,318,1043.32,331777.27
POL000476,PO00334,PRD00087,401,1843.45,739221.71
POL000477,PO00265,PRD00043,301,929.76,279856.92
POL000478,PO00053,PRD00002,305,450.74,137475.09
POL000479,PO00304,PRD00025,464,1162.06,539197.99
POL000480,PO00327,PRD00066,132,73.69,9726.85
POL000481,PO00247,PRD00093,318,724.71,230456.91
POL000482,PO00125,PRD00018,409,1722.64,704557.99
POL000483,PO00066,PRD00040,300,1396.33,418898.85
POL000484,PO00334,PRD00097,184,1090.11,200581.06
POL000485,PO00278,PRD00100,75,671.91,50393.25
POL000486,PO00159,PRD00078,176,2298.33,404506.92
POL000487,PO00005,PRD00067,301,419.08,126142.57
POL000488,PO00075,PRD00008,122,931.55,113649.37
POL000489,PO00287,PRD00007,217,1865.95,404911.71
POL000490,PO00103,PRD00082,466,2196.05,1023359.82
POL000491,PO00036,PRD00044,97,90.79,8806.92
POL000492,PO00356,PRD00089,240,180.97,43432.5
POL000493,PO00170,PRD00075,290,2068.85,599965.69
POL000494,PO00316,PRD00039,215,2154.92,463308.05
POL000495,PO00054,PRD00059,449,1348.88,605648.6
POL000496,PO00022,PRD00064,113,1247.47,140963.96
POL000497,PO00328,PRD00029,355,697.73,247694.31
POL000498,PO00320,PRD00028,123,2070.38,254656.95
POL000499,PO00394,PRD00043,414,1098.02,454580.7
POL000500,PO00106,PRD00052,95,114.67,10893.45
POL000501,PO00004,PRD00047,6,254.11,1524.66
POL000502,PO00016,PRD00072,59,1232.32,72706.91
