event_id,shipment_id,event_datetime,event_type,location,description
EVT000033,SHP000566,2025-09-28 09:17:00,pickup,"Tokyo, Japan",Customs Clearance at Tokyo
EVT000034,SHP000087,2024-10-14 16:57:00,pickup,"Moscow, Russia",Pickup at Moscow
EVT000035,SHP000132,2024-05-12 02:11:00,arrival,"Dubai, UAE",Pickup at Dubai
EVT000036,SHP000158,2024-04-30 02:55:00,pickup,"Sydney, Australia",Pickup at Sydney
EVT000037,SHP000014,2023-05-25 04:37:00,exception,"Houston, USA",Delay at Houston
EVT000038,SHP000472,2024-11-08 21:06:00,delivery,"São Paulo, Brazil",Pickup at São Paulo
EVT000039,SHP000058,2024-02-13 23:59:00,pickup,"Los Angeles, USA",Departure at Los Angeles
EVT000040,SHP000094,2023-01-08 13:50:00,exception,"Singapore, Singapore",Departure at Singapore
EVT000041,SHP000216,2023-06-12 12:20:00,exception,"Rotterdam, Netherlands",Delivery at Rotterdam
EVT000042,SHP000198,2024-02-09 22:31:00,delivery,"Barcelona, Spain",Exception at Barcelona
EVT000043,SHP000191,2024-08-12 23:43:00,delivery,"Barcelona, Spain",Delay at Barcelona
EVT000044,SHP000063,2024-01-14 16:00:00,pickup,"Chicago, USA",Departure at Chicago
EVT000045,SHP000203,2023-10-22 17:36:00,departure,"Antwerp, Belgium",Exception at Antwerp
EVT000046,SHP000127,2024-01-21 05:54:00,arrival,"Singapore, Singapore",Delay at Singapore
EVT000047,SHP000234,2025-03-19 20:53:00,delivery,"Hamburg, Germany",Arrival at Hamburg
EVT000048,SHP000423,2024-08-07 06:27:00,arrival,"Osaka, Japan",Delay at Osaka
EVT000049,SHP000354,2025-12-22 00:41:00,exception,"Mumbai, India",Arrival at Mumbai
EVT000050,SHP000289,2023-05-13 01:04:00,customs_clearance,"Hamburg, Germany",Arrival at Hamburg
EVT000051,SHP000062,2025-05-30 02:43:00,delay,"Toronto, Canada",Exception at Toronto
EVT000052,SHP000457,2023-06-30 10:37:00,delay,"Shanghai, China",Arrival at Shanghai
EVT000053,SHP000068,2024-06-21 23:53:00,arrival,"Sydney, Australia",Customs Clearance at Sydney
EVT000054,SHP000367,2025-01-28 15:19:00,delay,"Barcelona, Spain",Customs Clearance at Barcelona
EVT000055,SHP000321,2024-01-25 07:37:00,departure,"Mumbai, India",Pickup at Mumbai
EVT000056,SHP000362,2025-08-10 14:20:00,delay,"Valencia, Spain",Delay at Valencia
EVT000057,SHP000413,2025-08-09 14:09:00,departure,"Chicago, USA",Exception at Chicago
EVT000058,SHP000395,2023-02-20 04:50:00,arrival,"Valencia, Spain",Customs Clearance at Valencia
EVT000059,SHP000153,2025-01-18 00:27:00,delay,"Felixstowe, UK",Delay at Felixstowe
EVT000060,SHP000177,2024-01-12 06:06:00,pickup,"Los Angeles, USA",Customs Clearance at Los Angeles
EVT000061,SHP000484,2024-07-08 10:12:00,pickup,"Los Angeles, USA",Customs Clearance at Los Angeles
EVT000062,SHP000402,2024-09-13 17:17:00,departure,"Hamburg, Germany",Departure at Hamburg
EVT000063,SHP000499,2025-10-19 13:27:00,delay,"Toronto, Canada",Departure at Toronto
EVT000064,SHP000500,2023-05-03 11:06:00,pickup,"Moscow, Russia",Arrival at Moscow
EVT000065,SHP000489,2024-08-15 04:15:00,delivery,"Toronto, Canada",Customs Clearance at Toronto
EVT000066,SHP000222,2025-10-01 00:19:00,exception,"Valencia, Spain",Departure at Valencia
EVT000067,SHP000347,2024-09-28 21:39:00,customs_clearance,"São Paulo, Brazil",Delivery at São Paulo
EVT000068,SHP000125,2023-09-23 16:18:00,arrival,"Toronto, Canada",Exception at Toronto
EVT000069,SHP000383,2025-01-26 18:30:00,pickup,"Los Angeles, USA",Pickup at Los Angeles
EVT000070,SHP000458,2025-05-04 07:13:00,arrival,"Hong Kong, China",Exception at Hong Kong
EVT000071,SHP000240,2025-09-02 08:35:00,arrival,"Houston, USA",Delivery at Houston
EVT000072,SHP000340,2023-09-18 10:50:00,exception,"Tokyo, Japan",Delivery at Tokyo
EVT000073,SHP000235,2024-04-30 07:31:00,delivery,"Sydney, Australia",Customs Clearance at Sydney
EVT000074,SHP000020,2025-11-12 03:24:00,delay,"Houston, USA",Departure at Houston
EVT000075,SHP000330,2025-12-19 15:29:00,delivery,"Singapore, Singapore",Exception at Singapore
EVT000076,SHP000273,2025-07-09 12:49:00,departure,"Singapore, Singapore",Delay at Singapore
EVT000077,SHP000283,2025-01-15 01:30:00,departure,"Los Angeles, USA",Departure at Los Angeles
EVT000078,SHP000004,2024-12-30 19:30:00,delivery,"Houston, USA",Departure at Houston
EVT000079,SHP000280,2025-09-19 10:38:00,delivery,"Houston, USA",Departure at Houston
EVT000080,SHP000193,2023-09-04 09:46:00,pickup,"Toronto, Canada",Exception at Toronto
EVT000081,SHP000200,2025-10-29 09:15:00,delay,"Osaka, Japan",Customs Clearance at Osaka
EVT000082,SHP000434,2024-09-02 08:13:00,departure,"Shanghai, China",Arrival at Shanghai
EVT000083,SHP000026,2025-05-13 02:23:00,customs_clearance,"Shanghai, China",Delay at Shanghai
EVT000084,SHP000152,2025-02-21 17:10:00,delivery,"Chicago, USA",Customs Clearance at Chicago
EVT000085,SHP000322,2024-07-14 14:17:00,departure,"Dubai, UAE",Exception at Dubai
EVT000086,SHP000465,2023-11-30 18:08:00,arrival,"Busan, South Korea",Pickup at Busan
EVT000087,SHP000127,2024-10-30 17:30:00,arrival,"Rotterdam, Netherlands",Departure at Rotterdam
EVT000088,SHP000323,2023-02-22 20:27:00,exception,"Felixstowe, UK",Arrival at Felixstowe
EVT000089,SHP000406,2024-10-30 19:53:00,delay,"Hamburg, Germany",Pickup at Hamburg
EVT000090,SHP000290,2023-03-22 16:03:00,exception,"Houston, USA",Exception at Houston
EVT000091,SHP000136,2023-05-11 02:08:00,departure,"Barcelona, Spain",Pickup at Barcelona
EVT000092,SHP000536,2024-04-26 02:48:00,arrival,"Hamburg, Germany",Arrival at Hamburg
EVT000093,SHP000347,2025-04-25 10:48:00,pickup,"Singapore, Singapore",Customs Clearance at Singapore
EVT000094,SHP000411,2023-05-08 16:26:00,exception,"Mumbai, India",Delay at Mumbai
EVT000095,SHP000406,2023-07-03 06:28:00,departure,"Los Angeles, USA",Pickup at Los Angeles
EVT000096,SHP000268,2024-05-05 01:41:00,exception,"Mumbai, India",Delivery at Mumbai
EVT000097,SHP000025,2024-04-06 15:02:00,pickup,"Rotterdam, Netherlands",Departure at Rotterdam
EVT000098,SHP000239,2023-10-09 16:20:00,arrival,"Los Angeles, USA",Customs Clearance at Los Angeles
EVT000099,SHP000406,2025-11-10 09:31:00,pickup,"Shanghai, China",Exception at Shanghai
EVT000100,SHP000425,2023-05-20 01:12:00,delivery,"Mumbai, India",Pickup at Mumbai
EVT000101,SHP000214,2025-10-03 00:22:00,exception,"Mumbai, India",Pickup at Mumbai
EVT000102,SHP000596,2025-11-08 05:25:00,departure,"Hong Kong, China",Departure at Hong Kong
EVT000103,SHP000550,2024-07-30 08:35:00,arrival,"Shanghai, China",Delivery at Shanghai
EVT000104,SHP000398,2024-02-17 19:16:00,arrival,"Hamburg, Germany",Departure at Hamburg
EVT000105,SHP000335,2025-03-15 03:41:00,arrival,"Antwerp, Belgium",Customs Clearance at Antwerp
EVT000106,SHP000030,2025-11-14 12:13:00,departure,"Chicago, USA",Pickup at Chicago
EVT000107,SHP000043,2023-08-07 23:59:00,delay,"Felixstowe, UK",Departure at Felixstowe
EVT000108,SHP000205,2024-09-03 22:43:00,departure,"Sydney, Australia",Delivery at Sydney
EVT000109,SHP000311,2025-08-07 01:41:00,exception,"Hong Kong, China",Departure at Hong Kong
EVT000110,SHP000581,2024-03-20 16:01:00,arrival,"Antwerp, Belgium",Pickup at Antwerp
EVT000111,SHP000222,2024-11-14 06:31:00,exception,"Hamburg, Germany",Customs Clearance at Hamburg
EVT000112,SHP000336,2025-03-11 19:48:00,departure,"Chicago, USA",Customs Clearance at Chicago
EVT000113,SHP000492,2024-08-07 21:54:00,departure,"Mumbai, India",Pickup at Mumbai
EVT000114,SHP000110,2023-03-05 19:03:00,delay,"Shanghai, China",Pickup at Shanghai
EVT000115,SHP000281,2024-09-13 14:24:00,exception,"Shanghai, China",Delivery at Shanghai
EVT000116,SHP000164,2023-04-20 11:13:00,exception,"Dubai, UAE",Departure at Dubai
EVT000117,SHP000434,2023-06-05 08:26:00,exception,"Hong Kong, China",Pickup at Hong Kong
EVT000118,SHP000305,2023-09-03 09:09:00,arrival,"Rotterdam, Netherlands",Customs Clearance at Rotterdam
EVT000119,SHP000210,2023-03-04 15:11:00,pickup,"Dubai, UAE",Pickup at Dubai
EVT000120,SHP000089,2025-07-21 18:44:00,delivery,"Mumbai, India",Arrival at Mumbai
EVT000121,SHP000277,2025-09-09 02:46:00,exception,"Shanghai, China",Departure at Shanghai
EVT000122,SHP000221,2025-03-25 21:24:00,pickup,"Singapore, Singapore",Pickup at Singapore
EVT000123,SHP000510,2025-08-11 13:11:00,pickup,"Valencia, Spain",Delivery at Valencia
EVT000124,SHP000046,2023-05-10 08:45:00,arrival,"Moscow, Russia",Exception at Moscow
EVT000125,SHP000491,2024-07-01 00:42:00,arrival,"Tokyo, Japan",Delay at Tokyo
EVT000126,SHP000193,2025-07-06 00:41:00,pickup,"Mumbai, India",Delay at Mumbai
EVT000127,SHP000577,2025-09-27 07:45:00,delay,"Valencia, Spain",Exception at Valencia
EVT000128,SHP000049,2025-01-15 02:38:00,arrival,"Busan, South Korea",Customs Clearance at Busan
EVT000129,SHP000484,2023-12-02 11:42:00,arrival,"Mumbai, India",Exception at Mumbai
EVT000130,SHP000565,2023-10-26 10:47:00,exception,"Mumbai, India",Arrival at Mumbai
EVT000131,SHP000417,2025-04-02 11:29:00,arrival,"Hamburg, Germany",Delay at Hamburg
EVT000132,SHP000300,2025-10-09 21:34:00,customs_clearance,"Los Angeles, USA",Arrival at Los Angeles
EVT000133,SHP000443,2024-06-02 04:21:00,arrival,"Singapore, Singapore",Exception at Singapore
EVT000134,SHP000478,2023-12-03 01:21:00,delivery,"Chicago, USA",Delay at Chicago
EVT000135,SHP000149,2024-11-30 17:40:00,delay,"Toronto, Canada",Exception at Toronto
EVT000136,SHP000164,2023-10-13 06:52:00,exception,"Sydney, Australia",Customs Clearance at Sydney
EVT000137,SHP000084,2023-08-18 16:34:00,pickup,"Valencia, Spain",Delivery at Valencia
EVT000138,SHP000107,2023-01-09 08:59:00,delivery,"Sydney, Australia",Exception at Sydney
EVT000139,SHP000169,2024-11-16 15:07:00,arrival,"Mumbai, India",Exception at Mumbai
EVT000140,SHP000383,2025-03-19 16:42:00,delay,"Mumbai, India",Customs Clearance at Mumbai
EVT000141,SHP000225,2024-12-20 23:26:00,exception,"Sydney, Australia",Delay at Sydney
EVT000142,SHP000109,2025-07-18 04:53:00,exception,"Mumbai, India",Delay at Mumbai
EVT000143,SHP000193,2025-10-30 03:31:00,departure,"Shanghai, China",Pickup at Shanghai
EVT000144,SHP000314,2025-04-11 09:52:00,departure,"Mumbai, India",Delivery at Mumbai
EVT000145,SHP000099,2023-02-18 00:01:00,arrival,"Tokyo, Japan",Pickup at Tokyo
EVT000146,SHP000213,2023-05-27 02:16:00,customs_clearance,"Hamburg, Germany",Pickup at Hamburg
EVT000147,SHP000433,2025-04-05 00:44:00,delivery,"Hong Kong, China",Arrival at Hong Kong
EVT000148,SHP000352,2025-02-06 06:19:00,customs_clearance,"Felixstowe, UK",Delivery at Felixstowe
EVT000149,SHP000490,2023-03-27 21:31:00,pickup,"São Paulo, Brazil",Customs Clearance at São Paulo
EVT000150,SHP000328,2023-03-05 08:44:00,customs_clearance,"Hong Kong, China",Delay at Hong Kong
EVT000151,SHP000393,2023-07-20 13:44:00,delivery,"Mumbai, India",Delivery at Mumbai
EVT000152,SHP000360,2025-10-01 00:24:00,pickup,"Moscow, Russia",Customs Clearance at Moscow
EVT000153,SHP000089,2024-05-31 17:05:00,pickup,"Barcelona, Spain",Departure at Barcelona
EVT000154,SHP000097,2025-02-16 23:21:00,departure,"Chicago, USA",Delivery at Chicago
EVT000155,SHP000481,2024-10-23 09:35:00,delay,"Rotterdam, Netherlands",Exception at Rotterdam
EVT000156,SHP000463,2025-04-20 03:00:00,exception,"Tokyo, Japan",Departure at Tokyo
EVT000157,SHP000029,2025-06-29 02:32:00,departure,"Osaka, Japan",Customs Clearance at Osaka
EVT000158,SHP000282,2025-03-05 17:41:00,exception,"Sydney, Australia",Pickup at Sydney
EVT000159,SHP000260,2023-08-29 22:33:00,customs_clearance,"Sydney, Australia",Departure at Sydney
EVT000160,SHP000463,2023-11-30 01:18:00,delivery,"Busan, South Korea",Arrival at Busan
EVT000161,SHP000437,2023-11-14 02:12:00,customs_clearance,"Dubai, UAE",Customs Clearance at Dubai
EVT000162,SHP000256,2025-03-04 23:51:00,exception,"Shanghai, China",Departure at Shanghai
EVT000163,SHP000386,2024-09-11 05:14:00,arrival,"Rotterdam, Netherlands",Delay at Rotterdam
EVT000164,SHP000598,2024-04-13 22:28:00,delay,"Barcelona, Spain",Exception at Barcelona
EVT000165,SHP000119,2023-12-03 04:08:00,exception,"Dubai, UAE",Delivery at Dubai
EVT000166,SHP000577,2025-06-16 15:23:00,delay,"Shanghai, China",Exception at Shanghai
EVT000167,SHP000441,2025-12-11 22:23:00,exception,"Shanghai, China",Delivery at Shanghai
EVT000168,SHP000109,2025-08-28 01:17:00,customs_clearance,"Valencia, Spain",Delivery at Valencia
EVT000169,SHP000433,2023-05-14 02:16:00,exception,"Singapore, Singapore",Arrival at Singapore
EVT000170,SHP000487,2025-11-04 07:58:00,departure,"Felixstowe, UK",Pickup at Felixstowe
EVT000171,SHP000025,2023-06-26 18:11:00,exception,"Hamburg, Germany",Departure at Hamburg
EVT000172,SHP000457,2025-02-03 17:16:00,customs_clearance,"Moscow, Russia",Pickup at Moscow
EVT000173,SHP000190,2025-04-26 03:35:00,pickup,"Sydney, Australia",Departure at Sydney
EVT000174,SHP000208,2024-09-07 04:47:00,exception,"Los Angeles, USA",Customs Clearance at Los Angeles
EVT000175,SHP000012,2023-05-03 16:50:00,pickup,"Hong Kong, China",Pickup at Hong Kong
EVT000176,SHP000538,2024-06-28 18:33:00,pickup,"Moscow, Russia",Arrival at Moscow
EVT000177,SHP000141,2024-05-14 15:51:00,departure,"Houston, USA",Departure at Houston
EVT000178,SHP000487,2025-09-07 06:06:00,departure,"Barcelona, Spain",Customs Clearance at Barcelona
EVT000179,SHP000567,2023-05-26 04:42:00,departure,"São Paulo, Brazil",Delay at São Paulo
EVT000180,SHP000523,2023-05-20 15:32:00,pickup,"Los Angeles, USA",Delivery at Los Angeles
EVT000181,SHP000169,2025-04-26 20:23:00,departure,"Mumbai, India",Delay at Mumbai
EVT000182,SHP000269,2023-05-03 13:02:00,delay,"Valencia, Spain",Arrival at Valencia
EVT000183,SHP000405,2024-01-30 21:46:00,arrival,"Shanghai, China",Customs Clearance at Shanghai
EVT000184,SHP000461,2024-04-05 23:58:00,departure,"Toronto, Canada",Customs Clearance at Toronto
EVT000185,SHP000522,2023-11-19 07:38:00,delivery,"Valencia, Spain",Arrival at Valencia
EVT000186,SHP000510,2025-06-05 19:01:00,customs_clearance,"Singapore, Singapore",Pickup at Singapore
EVT000187,SHP000576,2023-10-26 20:02:00,arrival,"Singapore, Singapore",Arrival at Singapore
EVT000188,SHP000403,2025-08-09 20:51:00,arrival,"Antwerp, Belgium",Arrival at Antwerp
EVT000189,SHP000549,2024-10-31 09:54:00,customs_clearance,"Toronto, Canada",Delivery at Toronto
EVT000190,SHP000500,2023-10-09 15:21:00,pickup,"Felixstowe, UK",Exception at Felixstowe
EVT000191,SHP000502,2025-12-27 16:39:00,exception,"Houston, USA",Pickup at Houston
EVT000192,SHP000258,2024-07-03 08:55:00,arrival,"São Paulo, Brazil",Delivery at São Paulo
EVT000193,SHP000526,2024-10-03 10:58:00,departure,"Mumbai, India",Delivery at Mumbai
EVT000194,SHP000196,2024-09-19 06:52:00,arrival,"Hong Kong, China",Delivery at Hong Kong
EVT000195,SHP000422,2024-06-24 19:27:00,exception,"Antwerp, Belgium",Exception at Antwerp
EVT000196,SHP000193,2023-10-13 22:18:00,departure,"Toronto, Canada",Exception at Toronto
EVT000197,SHP000371,2024-10-19 06:51:00,customs_clearance,"Mumbai, India",Delivery at Mumbai
EVT000198,SHP000533,2023-08-29 23:46:00,arrival,"Hamburg, Germany",Exception at Hamburg
EVT000199,SHP000253,2024-11-21 05:56:00,exception,"Tokyo, Japan",Delay at Tokyo
EVT000200,SHP000509,2024-05-18 12:30:00,exception,"Hong Kong, China",Arrival at Hong Kong
EVT000201,SHP000582,2024-11-30 04:16:00,delivery,"Chicago, USA",Pickup at Chicago
EVT000202,SHP000259,2025-02-10 17:25:00,pickup,"Dubai, UAE",Pickup at Dubai
EVT000203,SHP000194,2025-10-10 14:59:00,delivery,"Antwerp, Belgium",Delivery at Antwerp
EVT000204,SHP000284,2025-05-11 06:17:00,pickup,"Osaka, Japan",Customs Clearance at Osaka
EVT000205,SHP000502,2023-08-10 15:27:00,customs_clearance,"Toronto, Canada",Arrival at Toronto
EVT000206,SHP000123,2024-01-06 03:23:00,delay,"Los Angeles, USA",Delay at Los Angeles
EVT000207,SHP000056,2023-05-24 08:06:00,delivery,"Rotterdam, Netherlands",Delivery at Rotterdam
EVT000208,SHP000275,2023-07-16 23:43:00,customs_clearance,"Los Angeles, USA",Departure at Los Angeles
EVT000209,SHP000041,2023-05-03 00:07:00,arrival,"Moscow, Russia",Delivery at Moscow
EVT000210,SHP000284,2025-05-30 07:14:00,departure,"Busan, South Korea",Delivery at Busan
EVT000211,SHP000585,2024-12-25 07:09:00,pickup,"Antwerp, Belgium",Delivery at Antwerp
EVT000212,SHP000599,2024-03-26 05:51:00,delay,"Houston, USA",Customs Clearance at Houston
EVT000213,SHP000209,2023-02-05 05:05:00,delivery,"Mumbai, India",Exception at Mumbai
EVT000214,SHP000277,2023-09-13 03:15:00,delay,"Barcelona, Spain",Customs Clearance at Barcelona
EVT000215,SHP000227,2025-07-30 19:10:00,departure,"Mumbai, India",Departure at Mumbai
EVT000216,SHP000287,2023-01-07 07:42:00,arrival,"Dubai, UAE",Customs Clearance at Dubai
EVT000217,SHP000594,2025-03-02 14:13:00,departure,"Toronto, Canada",Pickup at Toronto
EVT000218,SHP000084,2025-06-28 14:09:00,exception,"Valencia, Spain",Customs Clearance at Valencia
EVT000219,SHP000390,2024-07-10 06:56:00,exception,"Shanghai, China",Customs Clearance at Shanghai
EVT000220,SHP000448,2024-12-02 10:01:00,customs_clearance,"Osaka, Japan",Delivery at Osaka
EVT000221,SHP000398,2024-02-25 11:09:00,exception,"Chicago, USA",Pickup at Chicago
EVT000222,SHP000387,2025-04-07 06:13:00,arrival,"Hamburg, Germany",Arrival at Hamburg
EVT000223,SHP000415,2024-05-24 22:18:00,departure,"Antwerp, Belgium",Customs Clearance at Antwerp
EVT000224,SHP000481,2024-05-14 20:44:00,pickup,"Shanghai, China",Customs Clearance at Shanghai
EVT000225,SHP000023,2024-12-07 11:24:00,pickup,"Felixstowe, UK",Customs Clearance at Felixstowe
EVT000226,SHP000447,2025-05-18 02:27:00,arrival,"Chicago, USA",Arrival at Chicago
EVT000227,SHP000235,2025-01-20 08:30:00,departure,"Antwerp, Belgium",Departure at Antwerp
EVT000228,SHP000225,2025-11-25 19:33:00,delay,"Sydney, Australia",Departure at Sydney
EVT000229,SHP000038,2025-01-16 01:48:00,departure,"Felixstowe, UK",Pickup at Felixstowe
EVT000230,SHP000163,2023-04-13 08:05:00,delivery,"Singapore, Singapore",Arrival at Singapore
EVT000231,SHP000464,2024-08-23 04:54:00,customs_clearance,"Los Angeles, USA",Arrival at Los Angeles
EVT000232,SHP000191,2025-04-18 09:10:00,delivery,"Mumbai, India",Pickup at Mumbai
EVT000233,SHP000238,2023-04-17 18:41:00,delay,"Singapore, Singapore",Delay at Singapore
EVT000234,SHP000181,2025-08-21 13:57:00,departure,"Busan, South Korea",Departure at Busan
EVT000235,SHP000018,2023-06-07 02:49:00,pickup,"Tokyo, Japan",Arrival at Tokyo
EVT000236,SHP000184,2023-09-12 14:35:00,delay,"Mumbai, India",Arrival at Mumbai
EVT000237,SHP000184,2025-12-28 05:15:00,delay,"Los Angeles, USA",Pickup at Los Angeles
EVT000238,SHP000334,2024-07-11 16:52:00,pickup,"Hamburg, Germany",Delivery at Hamburg
EVT000239,SHP000517,2025-03-17 04:10:00,pickup,"Rotterdam, Netherlands",Customs Clearance at Rotterdam
EVT000240,SHP000160,2024-05-10 19:53:00,arrival,"Los Angeles, USA",Delivery at Los Angeles
EVT000241,SHP000286,2024-05-18 14:11:00,exception,"Chicago, USA",Pickup at Chicago
EVT000242,SHP000255,2023-03-28 02:24:00,departure,"Hamburg, Germany",Pickup at Hamburg
EVT000243,SHP000295,2025-12-19 15:43:00,delay,"Chicago, USA",Customs Clearance at Chicago
EVT000244,SHP000564,2025-04-07 16:29:00,exception,"Mumbai, India",Delivery at Mumbai
EVT000245,SHP000363,2025-04-09 08:33:00,customs_clearance,"Toronto, Canada",Departure at Toronto
EVT000246,SHP000516,2023-09-16 01:13:00,pickup,"Barcelona, Spain",Delivery at Barcelona
EVT000247,SHP000377,2023-08-25 19:57:00,customs_clearance,"Busan, South Korea",Customs Clearance at Busan
EVT000248,SHP000385,2025-02-04 00:20:00,customs_clearance,"Busan, South Korea",Departure at Busan
EVT000249,SHP000017,2025-06-10 20:48:00,departure,"Tokyo, Japan",Customs Clearance at Tokyo
EVT000250,SHP000144,2024-09-10 12:15:00,departure,"São Paulo, Brazil",Pickup at São Paulo
EVT000251,SHP000233,2024-06-01 15:25:00,customs_clearance,"Chicago, USA",Exception at Chicago
EVT000252,SHP000477,2024-02-24 14:08:00,customs_clearance,"Hong Kong, China",Pickup at Hong Kong
EVT000253,SHP000252,2023-07-27 09:23:00,pickup,"Los Angeles, USA",Arrival at Los Angeles
EVT000254,SHP000477,2025-06-06 02:38:00,arrival,"Felixstowe, UK",Arrival at Felixstowe
EVT000255,SHP000525,2025-09-04 01:59:00,delay,"Mumbai, India",Delay at Mumbai
EVT000256,SHP000491,2024-12-22 10:12:00,arrival,"Singapore, Singapore",Delivery at Singapore
EVT000257,SHP000170,2023-07-27 04:47:00,exception,"Shanghai, China",Delivery at Shanghai
EVT000258,SHP000277,2023-02-20 16:13:00,exception,"Rotterdam, Netherlands",Delivery at Rotterdam
EVT000259,SHP000381,2025-07-07 12:21:00,delay,"Shanghai, China",Delivery at Shanghai
EVT000260,SHP000472,2024-10-30 09:23:00,pickup,"Hong Kong, China",Delay at Hong Kong
EVT000261,SHP000530,2023-09-10 14:48:00,customs_clearance,"Sydney, Australia",Customs Clearance at Sydney
EVT000262,SHP000527,2025-11-02 02:09:00,delay,"Rotterdam, Netherlands",Customs Clearance at Rotterdam
EVT000263,SHP000339,2025-06-19 23:46:00,exception,"Moscow, Russia",Arrival at Moscow
EVT000264,SHP000148,2024-02-07 02:39:00,customs_clearance,"Los Angeles, USA",Arrival at Los Angeles
EVT000265,SHP000404,2023-03-27 01:19:00,pickup,"Mumbai, India",Departure at Mumbai
EVT000266,SHP000200,2024-02-01 13:51:00,delay,"Valencia, Spain",Departure at Valencia
EVT000267,SHP000438,2024-06-06 06:00:00,pickup,"Mumbai, India",Departure at Mumbai
EVT000268,SHP000039,2025-09-15 02:14:00,customs_clearance,"Antwerp, Belgium",Departure at Antwerp
EVT000269,SHP000506,2023-06-13 21:29:00,delay,"Dubai, UAE",Arrival at Dubai
EVT000270,SHP000382,2024-06-12 18:35:00,delivery,"Barcelona, Spain",Delay at Barcelona
EVT000271,SHP000339,2024-10-30 16:09:00,exception,"São Paulo, Brazil",Exception at São Paulo
EVT000272,SHP000533,2024-07-25 19:49:00,departure,"Moscow, Russia",Departure at Moscow
EVT000273,SHP000023,2025-09-16 08:21:00,delivery,"Valencia, Spain",Arrival at Valencia
EVT000274,SHP000511,2023-04-16 18:19:00,delay,"Felixstowe, UK",Delay at Felixstowe
EVT000275,SHP000264,2023-10-31 17:14:00,delay,"Dubai, UAE",Delay at Dubai
EVT000276,SHP000225,2025-08-08 04:59:00,pickup,"Mumbai, India",Exception at Mumbai
EVT000277,SHP000556,2025-01-13 13:47:00,customs_clearance,"Osaka, Japan",Customs Clearance at Osaka
EVT000278,SHP000581,2024-09-04 02:15:00,departure,"Houston, USA",Delivery at Houston
EVT000279,SHP000493,2023-05-16 10:59:00,pickup,"Moscow, Russia",Customs Clearance at Moscow
