inspection_id,shipment_id,product_id,inspection_date,inspector,result,defect_count,notes
QIN00164,SHP000398,PRD00075,2023-11-17,INSP119,failed,0,Routine inspection
QIN00165,SHP000330,PRD00037,2023-01-28,INSP130,failed,0,Routine inspection
QIN00166,SHP000349,PRD00017,2024-11-13,INSP187,passed,7,Follow-up required
QIN00167,SHP000142,PRD00088,2025-03-15,INSP140,failed,0,Follow-up required
QIN00168,SHP000339,PRD00016,2024-08-06,INSP179,pending_review,0,Routine inspection
QIN00169,SHP000055,PRD00025,2023-10-14,INSP116,failed,0,Routine inspection
QIN00170,SHP000300,PRD00055,2024-11-06,INSP104,failed,10,Routine inspection
QIN00171,SHP000463,PRD00006,2023-11-01,INSP104,passed,0,Routine inspection
QIN00172,SHP000076,PRD00025,2025-05-06,INSP139,conditional,11,Routine inspection
QIN00173,SHP000482,PRD00051,2023-08-16,INSP198,failed,0,Routine inspection
QIN00174,SHP000096,PRD00082,2023-10-30,INSP161,passed,10,Follow-up required
QIN00175,SHP000415,PRD00014,2023-11-12,INSP121,failed,7,Routine inspection
QIN00176,SHP000028,PRD00047,2025-03-01,INSP137,conditional,0,Routine inspection
QIN00177,SHP000255,PRD00086,2023-01-09,INSP132,conditional,0,Routine inspection
QIN00178,SHP000349,PRD00075,2024-11-12,INSP106,failed,6,Routine inspection
QIN00179,SHP000439,PRD00001,2025-10-20,INSP163,pending_review,9,Routine inspection
QIN00180,SHP000222,PRD00030,2023-10-08,INSP162,pending_review,6,Routine inspection
QIN00181,SHP000064,PRD00034,2025-04-21,INSP104,passed,0,Routine inspection
QIN00182,SHP000251,PRD00052,2025-02-11,INSP192,failed,13,Routine inspection
QIN00183,SHP000577,PRD00003,2024-01-12,INSP187,failed,0,Routine inspection
QIN00184,SHP000384,PRD00044,2023-02-17,INSP151,passed,0,Routine inspection
QIN00185,SHP000443,PRD00083,2025-08-04,INSP103,passed,3,Follow-up required
QIN00186,SHP000058,PRD00027,2024-03-03,INSP132,conditional,0,Routine inspection
QIN00187,SHP000488,PRD00021,2023-08-23,INSP148,failed,6,Routine inspection
QIN00188,SHP000237,PRD00076,2023-05-29,INSP194,failed,0,Routine inspection
QIN00189,SHP000151,PRD00015,2023-01-06,INSP143,failed,0,Follow-up required
QIN00190,SHP000178,PRD00054,2023-03-28,INSP107,failed,7,Routine inspection
QIN00191,SHP000456,PRD00096,2024-07-26,INSP123,pending_review,10,Follow-up required
QIN00192,SHP000574,PRD00042,2025-10-02,INSP194,pending_review,4,Follow-up required
QIN00193,SHP000199,PRD00020,2023-11-22,INSP188,passed,5,Routine inspection
QIN00194,SHP000591,PRD00071,2023-04-19,INSP137,conditional,0,Routine inspection
QIN00195,SHP000516,PRD00075,2024-10-25,INSP117,conditional,0,Follow-up required
QIN00196,SHP000582,PRD00054,2023-02-09,INSP182,pending_review,8,Routine inspection
QIN00197,SHP000264,PRD00044,2023-12-29,INSP146,pending_review,0,Routine inspection
QIN00198,SHP000257,PRD00061,2025-10-10,INSP170,conditional,0,Follow-up required
QIN00199,SHP000280,PRD00054,2024-10-13,INSP161,pending_review,0,Routine inspection
QIN00200,SHP000445,PRD00012,2023-10-19,INSP178,pending_review,4,Routine inspection
QIN00201,SHP000159,PRD00052,2025-12-05,INSP107,failed,0,Routine inspection
QIN00202,SHP000411,PRD00088,2023-05-26,INSP190,pending_review,0,Routine inspection
QIN00203,SHP000002,PRD00044,2024-02-06,INSP163,passed,0,Routine inspection
QIN00204,SHP000035,PRD00043,2025-03-03,INSP193,pending_review,0,Follow-up required
QIN00205,SHP000207,PRD00010,2025-04-02,INSP148,conditional,11,Routine inspection
QIN00206,SHP000148,PRD00060,2025-12-08,INSP124,passed,8,Follow-up required
QIN00207,SHP000370,PRD00031,2025-02-03,INSP186,conditional,0,Routine inspection
QIN00208,SHP000019,PRD00011,2023-06-25,INSP178,conditional,0,Routine inspection
QIN00209,SHP000003,PRD00090,2023-08-31,INSP160,passed,0,Routine inspection
QIN00210,SHP000410,PRD00063,2023-07-30,INSP146,failed,0,Routine inspection
QIN00211,SHP000106,PRD00093,2023-04-23,INSP160,conditional,0,Follow-up required
QIN00212,SHP000435,PRD00071,2025-02-02,INSP193,pending_review,0,Routine inspection
QIN00213,SHP000156,PRD00083,2024-08-24,INSP152,passed,0,Routine inspection
QIN00214,SHP000069,PRD00012,2023-03-13,INSP173,passed,0,Routine inspection
QIN00215,SHP000109,PRD00064,2025-01-11,INSP103,failed,0,Follow-up required
QIN00216,SHP000357,PRD00086,2024-08-14,INSP172,pending_review,0,Routine inspection
QIN00217,SHP000236,PRD00091,2023-12-26,INSP104,passed,0,Routine inspection
QIN00218,SHP000482,PRD00047,2025-08-27,INSP134,pending_review,0,Routine inspection
QIN00219,SHP000342,PRD00082,2024-04-16,INSP176,pending_review,0,Routine inspection
QIN00220,SHP000463,PRD00096,2024-09-25,INSP132,failed,0,Routine inspection
QIN00221,SHP000265,PRD00086,2023-12-06,INSP107,conditional,0,Follow-up required
QIN00222,SHP000358,PRD00100,2024-03-08,INSP156,conditional,0,Routine inspection
QIN00223,SHP000376,PRD00012,2024-01-20,INSP130,pending_review,7,Routine inspection
QIN00224,SHP000434,PRD00097,2025-03-20,INSP194,pending_review,0,Follow-up required
QIN00225,SHP000386,PRD00099,2023-01-10,INSP167,conditional,0,Routine inspection
QIN00226,SHP000469,PRD00039,2023-04-06,INSP146,conditional,0,Routine inspection
QIN00227,SHP000522,PRD00011,2024-07-17,INSP134,passed,0,Follow-up required
QIN00228,SHP000346,PRD00065,2025-03-31,INSP121,conditional,11,Routine inspection
QIN00229,SHP000272,PRD00043,2023-02-24,INSP172,pending_review,0,Follow-up required
QIN00230,SHP000250,PRD00041,2023-10-25,INSP156,passed,0,Follow-up required
QIN00231,SHP000059,PRD00090,2025-11-27,INSP147,passed,8,Routine inspection
QIN00232,SHP000435,PRD00066,2024-10-20,INSP176,failed,2,Follow-up required
QIN00233,SHP000591,PRD00053,2023-08-30,INSP164,failed,0,Routine inspection
QIN00234,SHP000204,PRD00084,2024-07-17,INSP188,passed,1,Routine inspection
QIN00235,SHP000152,PRD00085,2025-05-07,INSP133,failed,0,Routine inspection
QIN00236,SHP000508,PRD00085,2023-10-02,INSP101,conditional,9,Routine inspection
QIN00237,SHP000168,PRD00074,2025-11-24,INSP161,passed,4,Routine inspection
QIN00238,SHP000289,PRD00061,2024-06-07,INSP177,conditional,0,Routine inspection
QIN00239,SHP000302,PRD00023,2024-05-22,INSP158,passed,0,Routine inspection
QIN00240,SHP000259,PRD00088,2025-08-29,INSP123,passed,0,Follow-up required
QIN00241,SHP000188,PRD00064,2024-11-19,INSP168,passed,11,Routine inspection
QIN00242,SHP000186,PRD00055,2025-07-02,INSP154,pending_review,0,Routine inspection
QIN00243,SHP000473,PRD00061,2024-11-08,INSP137,conditional,0,Follow-up required
QIN00244,SHP000463,PRD00098,2024-08-26,INSP108,failed,0,Follow-up required
QIN00245,SHP000140,PRD00093,2024-03-12,INSP153,passed,0,Routine inspection
QIN00246,SHP000446,PRD00024,2025-07-18,INSP142,passed,6,Follow-up required
QIN00247,SHP000256,PRD00067,2023-02-25,INSP114,failed,9,Routine inspection
QIN00248,SHP000491,PRD00078,2024-05-11,INSP154,conditional,0,Routine inspection
QIN00249,SHP000072,PRD00047,2025-04-18,INSP170,pending_review,0,Follow-up required
QIN00250,SHP000246,PRD00008,2025-08-11,INSP103,pending_review,0,Follow-up required
QIN00251,SHP000031,PRD00041,2024-04-20,INSP113,pending_review,0,Routine inspection
QIN00252,SHP000461,PRD00082,2024-09-05,INSP130,failed,0,Routine inspection
QIN00253,SHP000181,PRD00084,2025-10-04,INSP108,pending_review,0,Follow-up required
QIN00254,SHP000306,PRD00059,2024-12-22,INSP153,failed,3,Follow-up required
QIN00255,SHP000079,PRD00027,2023-01-30,INSP162,failed,0,Routine inspection
QIN00256,SHP000049,PRD00051,2025-05-02,INSP109,conditional,0,Follow-up required
QIN00257,SHP000523,PRD00043,2025-11-17,INSP151,pending_review,0,Routine inspection
QIN00258,SHP000304,PRD00011,2025-12-06,INSP103,failed,0,Routine inspection
QIN00259,SHP000535,PRD00023,2024-11-24,INSP117,passed,12,Routine inspection
QIN00260,SHP000043,PRD00041,2024-07-12,INSP149,conditional,0,Routine inspection
QIN00261,SHP000161,PRD00089,2025-12-26,INSP136,pending_review,10,Follow-up required
QIN00262,SHP000249,PRD00011,2024-03-27,INSP186,failed,14,Follow-up required
QIN00263,SHP000172,PRD00027,2023-11-23,INSP102,failed,12,Routine inspection
QIN00264,SHP000301,PRD00017,2025-06-25,INSP195,pending_review,0,Follow-up required
QIN00265,SHP000555,PRD00090,2024-11-23,INSP123,pending_review,0,Routine inspection
QIN00266,SHP000388,PRD00004,2024-05-13,INSP119,passed,0,Routine inspection
QIN00267,SHP000460,PRD00072,2024-04-08,INSP134,pending_review,0,Routine inspection
QIN00268,SHP000550,PRD00030,2024-03-30,INSP134,conditional,11,Routine inspection
QIN00269,SHP000351,PRD00055,2023-12-22,INSP124,failed,14,Routine inspection
QIN00270,SHP000038,PRD00008,2024-06-05,INSP142,failed,0,Routine inspection
QIN00271,SHP000599,PRD00061,2024-03-23,INSP107,failed,7,Routine inspection
QIN00272,SHP000130,PRD00022,2024-12-06,INSP157,passed,0,Follow-up required
QIN00273,SHP000261,PRD00006,2023-11-09,INSP142,conditional,0,Routine inspection
QIN00274,SHP000534,PRD00078,2024-04-01,INSP174,pending_review,14,Routine inspection
QIN00275,SHP000301,PRD00014,2023-08-01,INSP153,pending_review,2,Routine inspection
QIN00276,SHP000598,PRD00054,2024-08-07,INSP151,pending_review,0,Routine inspection
QIN00277,SHP000352,PRD00049,2023-01-21,INSP138,conditional,0,Routine inspection
QIN00278,SHP000271,PRD00096,2025-06-02,INSP163,failed,0,Routine inspection
QIN00279,SHP000073,PRD00089,2023-11-30,INSP136,conditional,0,Routine inspection
QIN00280,SHP000449,PRD00004,2023-01-22,INSP184,pending_review,7,Routine inspection
QIN00281,SHP000269,PRD00041,2024-07-25,INSP120,pending_review,0,Routine inspection
QIN00282,SHP000025,PRD00082,2024-10-23,INSP126,passed,0,Routine inspection
QIN00283,SHP000049,PRD00029,2024-05-16,INSP173,passed,0,Follow-up required
QIN00284,SHP000517,PRD00064,2023-07-06,INSP197,pending_review,0,Follow-up required
QIN00285,SHP000365,PRD00055,2023-04-20,INSP141,passed,0,Routine inspection
QIN00286,SHP000120,PRD00047,2024-03-23,INSP126,pending_review,0,Routine inspection
QIN00287,SHP000334,PRD00052,2025-07-27,INSP102,failed,0,Routine inspection
QIN00288,SHP000170,PRD00066,2025-08-01,INSP109,conditional,11,Routine inspection
QIN00289,SHP000377,PRD00060,2024-08-28,INSP145,pending_review,0,Routine inspection
QIN00290,SHP000584,PRD00048,2025-01-23,INSP103,conditional,0,Routine inspection
QIN00291,SHP000397,PRD00018,2023-06-19,INSP156,passed,0,Routine inspection
QIN00292,SHP000294,PRD00010,2024-04-04,INSP179,conditional,10,Follow-up required
QIN00293,SHP000376,PRD00019,2023-05-07,INSP158,failed,2,Routine inspection
QIN00294,SHP000321,PRD00013,2023-05-18,INSP178,failed,0,Routine inspection
QIN00295,SHP000384,PRD00063,2024-08-27,INSP190,conditional,0,Follow-up required
QIN00296,SHP000210,PRD00006,2023-10-05,INSP160,pending_review,8,Routine inspection
QIN00297,SHP000027,PRD00066,2023-10-17,INSP138,passed,0,Routine inspection
QIN00298,SHP000248,PRD00023,2023-07-07,INSP200,failed,9,Routine inspection
QIN00299,SHP000293,PRD00002,2023-12-21,INSP174,failed,13,Follow-up required
QIN00300,SHP000023,PRD00074,2024-05-28,INSP111,failed,2,Routine inspection
