shipment_id,po_id,warehouse_id,ship_date,carrier,tracking_number,status,estimated_arrival
SHP000162,PO00293,WH006,2025-05-01,Kuehne+Nagel,TRK403959566,picked_up,2025-05-06
SHP000163,PO00013,WH006,2025-01-07,Kuehne+Nagel,TRK800056275,in_transit,2025-01-20
SHP000164,PO00241,WH005,2023-03-05,MSC,TRK147900241,in_transit,2023-03-13
SHP000165,PO00077,WH010,2023-02-22,CEVA,TRK327074541,in_transit,2023-02-28
SHP000166,PO00262,WH009,2024-12-05,Kuehne+Nagel,TRK991986075,delayed,2024-12-14
SHP000167,PO00017,WH003,2025-02-19,DHL,TRK341142023,delayed,2025-02-24
SHP000168,PO00258,WH010,2025-05-06,DHL,TRK666674119,pending,2025-05-26
SHP000169,PO00311,WH008,2025-12-10,DB Schenker,TRK440311040,in_transit,2025-12-29
SHP000170,PO00100,WH010,2024-08-23,MSC,TRK360998015,in_transit,2024-09-02
SHP000171,PO00119,WH008,2024-10-06,UPS,TRK577823147,exception,2024-10-12
SHP000172,PO00210,WH006,2023-06-13,XPO Logistics,TRK642930517,pending,2023-06-27
SHP000173,PO00186,WH008,2024-04-16,Kuehne+Nagel,TRK346706467,delayed,2024-05-03
SHP000174,PO00065,WH009,2024-05-16,CEVA,TRK815007530,picked_up,2024-06-01
SHP000175,PO00311,WH005,2024-08-10,MSC,TRK226662904,pending,2024-08-23
SHP000176,PO00210,WH007,2025-10-31,CEVA,TRK630643461,exception,2025-11-07
SHP000177,PO00396,WH004,2024-01-04,FedEx,TRK279068942,pending,2024-01-21
SHP000178,PO00215,WH005,2025-08-20,Maersk,TRK136588469,delivered,2025-08-26
SHP000179,PO00013,WH003,2023-05-30,XPO Logistics,TRK668341938,delivered,2023-06-06
SHP000180,PO00217,WH006,2023-09-19,XPO Logistics,TRK359238756,exception,2023-10-04
SHP000181,PO00151,WH002,2024-11-20,CEVA,TRK753648327,delayed,2024-12-03
SHP000182,PO00056,WH001,2023-06-01,DB Schenker,TRK539025895,exception,2023-06-15
SHP000183,PO00231,WH007,2024-08-15,Maersk,TRK887528569,picked_up,2024-09-02
SHP000184,PO00371,WH010,2025-11-09,Maersk,TRK108357729,delayed,2025-11-14
SHP000185,PO00304,WH006,2025-07-17,MSC,TRK570929255,picked_up,2025-08-01
SHP000186,PO00261,WH010,2024-07-26,UPS,TRK419275555,delivered,2024-08-01
SHP000187,PO00175,WH001,2025-11-26,CEVA,TRK645705539,delivered,2025-12-15
SHP000188,PO00147,WH006,2025-02-25,Maersk,TRK253756136,pending,2025-03-10
SHP000189,PO00377,WH004,2025-05-31,CMA CGM,TRK717549533,delayed,2025-06-19
SHP000190,PO00161,WH002,2024-12-12,Maersk,TRK227293255,in_transit,2024-12-24
SHP000191,PO00141,WH008,2025-06-17,Maersk,TRK409751772,in_transit,2025-06-27
SHP000192,PO00311,WH002,2024-04-19,Maersk,TRK203053463,picked_up,2024-04-30
SHP000193,PO00283,WH009,2023-12-12,CEVA,TRK142675910,delayed,2023-12-15
SHP000194,PO00276,WH004,2023-01-14,FedEx,TRK496791155,picked_up,2023-02-01
SHP000195,PO00145,WH010,2025-05-23,XPO Logistics,TRK235483349,delivered,2025-06-09
SHP000196,PO00152,WH002,2023-09-03,Kuehne+Nagel,TRK629629113,in_transit,2023-09-20
SHP000197,PO00045,WH003,2024-07-24,MSC,TRK962903047,pending,2024-07-30
SHP000198,PO00382,WH004,2023-06-02,Maersk,TRK644451715,in_transit,2023-06-15
SHP000199,PO00142,WH008,2025-11-16,MSC,TRK141185351,delivered,2025-11-21
SHP000200,PO00052,WH009,2024-10-12,XPO Logistics,TRK809883387,exception,2024-10-21
SHP000201,PO00019,WH001,2024-05-18,CEVA,TRK503951395,picked_up,2024-05-25
SHP000202,PO00345,WH004,2024-06-27,Maersk,TRK620235608,picked_up,2024-07-15
SHP000203,PO00376,WH008,2024-08-01,UPS,TRK781582020,pending,2024-08-08
SHP000204,PO00265,WH004,2023-01-07,DHL,TRK626875613,delayed,2023-01-23
SHP000205,PO00313,WH004,2023-12-31,Kuehne+Nagel,TRK838714681,in_transit,2024-01-04
SHP000206,PO00315,WH007,2024-04-25,DB Schenker,TRK669578311,exception,2024-05-09
SHP000207,PO00093,WH005,2024-04-19,DB Schenker,TRK626371835,exception,2024-05-01
SHP000208,PO00201,WH010,2025-01-01,DB Schenker,TRK417201826,pending,2025-01-21
SHP000209,PO00113,WH002,2024-08-11,DB Schenker,TRK449392419,picked_up,2024-08-27
SHP000210,PO00340,WH007,2023-08-26,DB Schenker,TRK442422662,exception,2023-09-03
SHP000211,PO00059,WH006,2025-03-26,DB Schenker,TRK964062922,delivered,2025-04-02
SHP000212,PO00308,WH007,2024-04-25,CMA CGM,TRK387681056,delayed,2024-04-28
SHP000213,PO00111,WH007,2023-05-05,MSC,TRK380896497,exception,2023-05-25
SHP000214,PO00163,WH007,2025-03-12,Kuehne+Nagel,TRK528078864,in_transit,2025-03-29
SHP000215,PO00028,WH005,2025-09-21,MSC,TRK783185620,pending,2025-10-01
SHP000216,PO00158,WH008,2025-04-19,CEVA,TRK278815751,delayed,2025-04-29
SHP000217,PO00106,WH002,2024-11-06,CEVA,TRK679570741,pending,2024-11-13
SHP000218,PO00370,WH001,2025-02-15,MSC,TRK478709419,delayed,2025-02-20
SHP000219,PO00033,WH001,2025-11-28,MSC,TRK674959397,picked_up,2025-12-07
SHP000220,PO00081,WH009,2025-03-21,CMA CGM,TRK960373645,picked_up,2025-03-31
SHP000221,PO00192,WH006,2025-04-26,XPO Logistics,TRK887411763,picked_up,2025-05-05
SHP000222,PO00007,WH001,2023-02-11,DHL,TRK638480797,delivered,2023-03-02
SHP000223,PO00249,WH001,2023-11-18,CMA CGM,TRK126032185,picked_up,2023-11-30
SHP000224,PO00324,WH004,2023-03-11,DHL,TRK972947639,delivered,2023-03-22
SHP000225,PO00336,WH007,2023-09-26,DHL,TRK182170332,pending,2023-10-07
SHP000226,PO00259,WH007,2023-02-11,XPO Logistics,TRK749476211,picked_up,2023-02-14
SHP000227,PO00049,WH010,2025-03-12,CEVA,TRK435211139,in_transit,2025-03-21
SHP000228,PO00218,WH009,2023-02-17,CMA CGM,TRK592746176,picked_up,2023-03-01
SHP000229,PO00052,WH005,2025-08-23,CMA CGM,TRK561209234,pending,2025-09-07
SHP000230,PO00114,WH007,2024-07-24,CMA CGM,TRK854711076,delayed,2024-08-11
SHP000231,PO00260,WH004,2025-02-22,DB Schenker,TRK881208866,delivered,2025-02-25
SHP000232,PO00191,WH009,2023-08-10,UPS,TRK720493372,pending,2023-08-27
SHP000233,PO00204,WH004,2025-07-04,DB Schenker,TRK704681222,pending,2025-07-18
SHP000234,PO00330,WH005,2024-11-11,DHL,TRK202423196,delayed,2024-11-18
SHP000235,PO00087,WH004,2025-09-30,UPS,TRK190074889,picked_up,2025-10-21
SHP000236,PO00207,WH010,2025-08-27,CEVA,TRK916668272,picked_up,2025-09-15
SHP000237,PO00031,WH008,2024-05-31,CMA CGM,TRK895117770,in_transit,2024-06-16
SHP000238,PO00078,WH001,2024-10-20,CEVA,TRK536512863,pending,2024-11-10
SHP000239,PO00138,WH004,2025-09-27,DB Schenker,TRK436098559,exception,2025-10-17
SHP000240,PO00121,WH006,2025-08-02,XPO Logistics,TRK695719743,exception,2025-08-20
SHP000241,PO00376,WH002,2023-08-04,DHL,TRK503389825,picked_up,2023-08-20
SHP000242,PO00388,WH001,2023-11-28,DHL,TRK278452642,picked_up,2023-12-17
SHP000243,PO00225,WH002,2023-03-21,DB Schenker,TRK283311445,exception,2023-04-06
SHP000244,PO00269,WH008,2023-10-14,Kuehne+Nagel,TRK528858563,pending,2023-11-03
SHP000245,PO00152,WH002,2025-06-10,CMA CGM,TRK661008736,in_transit,2025-06-22
SHP000246,PO00315,WH006,2023-12-06,CMA CGM,TRK661836740,exception,2023-12-13
SHP000247,PO00105,WH010,2025-01-30,CEVA,TRK369766215,delivered,2025-02-18
SHP000248,PO00237,WH004,2024-11-07,Maersk,TRK663047076,exception,2024-11-14
SHP000249,PO00243,WH001,2024-10-12,Maersk,TRK261436089,delivered,2024-10-28
SHP000250,PO00035,WH001,2024-09-30,UPS,TRK845225335,pending,2024-10-09
SHP000251,PO00276,WH008,2024-11-08,FedEx,TRK771059394,delivered,2024-11-14
SHP000252,PO00305,WH003,2023-05-17,XPO Logistics,TRK342697336,in_transit,2023-05-31
SHP000253,PO00322,WH001,2024-01-30,CMA CGM,TRK981278352,delivered,2024-02-10
SHP000254,PO00300,WH005,2025-01-22,CMA CGM,TRK702489740,delayed,2025-02-06
SHP000255,PO00329,WH004,2023-06-08,Maersk,TRK210569940,exception,2023-06-29
SHP000256,PO00111,WH005,2024-01-01,CEVA,TRK209867551,picked_up,2024-01-12
SHP000257,PO00268,WH010,2025-02-23,CEVA,TRK928905792,delayed,2025-03-08
SHP000258,PO00310,WH005,2025-08-27,Maersk,TRK102867735,picked_up,2025-09-05
SHP000259,PO00111,WH002,2023-10-28,Maersk,TRK610525583,pending,2023-11-04
SHP000260,PO00166,WH002,2023-04-17,XPO Logistics,TRK966761327,delivered,2023-04-24
SHP000261,PO00218,WH008,2024-10-31,XPO Logistics,TRK916051762,pending,2024-11-12
SHP000262,PO00124,WH009,2025-03-16,Kuehne+Nagel,TRK858324357,delivered,2025-03-31
SHP000263,PO00182,WH005,2025-12-05,XPO Logistics,TRK183966244,delayed,2025-12-18
SHP000264,PO00110,WH003,2024-07-22,Kuehne+Nagel,TRK701817116,delivered,2024-07-29
SHP000265,PO00251,WH005,2023-09-04,Kuehne+Nagel,TRK800178588,in_transit,2023-09-24
SHP000266,PO00092,WH001,2025-01-18,MSC,TRK882211796,delivered,2025-02-04
SHP000267,PO00110,WH010,2024-01-27,MSC,TRK292205795,exception,2024-02-11
SHP000268,PO00006,WH004,2025-06-24,XPO Logistics,TRK309260052,pending,2025-07-08
SHP000269,PO00301,WH005,2024-11-03,MSC,TRK372473079,delayed,2024-11-09
SHP000270,PO00007,WH010,2024-07-13,CMA CGM,TRK788992272,delivered,2024-07-17
SHP000271,PO00204,WH001,2024-06-02,FedEx,TRK714374583,pending,2024-06-13
SHP000272,PO00368,WH008,2025-07-19,Maersk,TRK608361362,exception,2025-08-06
SHP000273,PO00332,WH009,2023-08-01,MSC,TRK130963459,delayed,2023-08-05
SHP000274,PO00366,WH003,2023-12-29,DHL,TRK550512628,pending,2024-01-05
SHP000275,PO00029,WH008,2023-05-08,DHL,TRK684205193,in_transit,2023-05-21
SHP000276,PO00100,WH010,2023-02-04,MSC,TRK861614695,picked_up,2023-02-17
SHP000277,PO00301,WH006,2025-11-23,Kuehne+Nagel,TRK547083251,exception,2025-11-26
SHP000278,PO00343,WH001,2023-05-14,XPO Logistics,TRK258391889,exception,2023-05-23
SHP000279,PO00137,WH002,2023-12-20,FedEx,TRK395843204,delayed,2024-01-06
SHP000280,PO00102,WH009,2025-04-18,FedEx,TRK434110361,in_transit,2025-04-26
SHP000281,PO00288,WH006,2023-08-30,DB Schenker,TRK710071396,exception,2023-09-12
SHP000282,PO00045,WH010,2025-08-06,DHL,TRK197239910,picked_up,2025-08-11
SHP000283,PO00374,WH002,2024-01-16,CEVA,TRK772833401,pending,2024-01-29
SHP000284,PO00393,WH003,2023-01-22,MSC,TRK594296083,pending,2023-01-31
SHP000285,PO00371,WH004,2024-09-22,Maersk,TRK433382948,pending,2024-10-01
SHP000286,PO00195,WH005,2023-12-31,Maersk,TRK706707033,in_transit,2024-01-11
SHP000287,PO00212,WH004,2024-01-21,UPS,TRK290172648,in_transit,2024-02-01
SHP000288,PO00133,WH008,2024-06-25,DB Schenker,TRK481342741,delayed,2024-06-30
SHP000289,PO00187,WH006,2025-12-07,Maersk,TRK139439705,delayed,2025-12-24
SHP000290,PO00198,WH003,2024-03-07,MSC,TRK793645789,exception,2024-03-23
SHP000291,PO00148,WH004,2024-12-01,XPO Logistics,TRK991052897,exception,2024-12-20
SHP000292,PO00138,WH002,2025-11-17,CMA CGM,TRK334349438,delivered,2025-11-26
SHP000293,PO00134,WH001,2023-08-25,Maersk,TRK610252663,picked_up,2023-09-13
SHP000294,PO00240,WH010,2024-10-23,CEVA,TRK505777943,exception,2024-11-06
SHP000295,PO00302,WH001,2024-10-22,MSC,TRK108480736,picked_up,2024-10-28
SHP000296,PO00216,WH008,2024-11-16,DHL,TRK300909460,in_transit,2024-11-29
SHP000297,PO00157,WH003,2025-08-14,Maersk,TRK907502360,pending,2025-09-03
SHP000298,PO00225,WH010,2025-07-23,CEVA,TRK845712019,delivered,2025-08-13
SHP000299,PO00375,WH007,2025-08-27,CMA CGM,TRK876715256,in_transit,2025-09-06
SHP000300,PO00308,WH006,2025-09-15,CMA CGM,TRK143088147,picked_up,2025-09-30
SHP000301,PO00391,WH009,2023-08-09,Kuehne+Nagel,TRK931153961,in_transit,2023-08-25
