po_id,supplier_id,order_date,expected_delivery,status,total_amount
PO00093,SUP00027,2024-09-13,2024-10-18,cancelled,111968.65
PO00094,SUP00060,2024-07-14,2024-07-30,draft,116976.63
PO00095,SUP00009,2024-01-14,2024-01-22,received,114485.9
PO00096,SUP00040,2024-06-30,2024-08-14,submitted,85272.94
PO00097,SUP00039,2024-04-20,2024-05-11,approved,103262.99
PO00098,SUP00006,2025-09-03,2025-09-18,received,75597.53
PO00099,SUP00031,2025-02-04,2025-02-22,in_transit,127893.35
PO00100,SUP00031,2023-10-09,2023-10-26,draft,29392.34
PO00101,SUP00027,2023-01-31,2023-02-24,submitted,142554.61
PO00102,SUP00048,2024-02-20,2024-03-11,in_transit,10387.38
PO00103,SUP00056,2025-09-30,2025-10-27,submitted,130082.85
PO00104,SUP00028,2025-04-09,2025-04-18,in_transit,91385.53
PO00105,SUP00047,2024-10-02,2024-11-03,cancelled,91919.98
PO00106,SUP00037,2025-12-11,2025-12-20,in_transit,78337.04
PO00107,SUP00030,2023-03-28,2023-04-19,in_transit,78046.05
PO00108,SUP00048,2023-03-22,2023-05-03,cancelled,58415.98
PO00109,SUP00004,2024-01-24,2024-02-18,approved,66213.3
PO00110,SUP00050,2024-08-08,2024-09-13,approved,25389.75
PO00111,SUP00040,2023-04-22,2023-06-01,in_transit,135599.51
PO00112,SUP00054,2025-07-14,2025-07-26,draft,108535.7
PO00113,SUP00012,2023-10-05,2023-11-06,in_transit,62327.12
PO00114,SUP00002,2024-01-02,2024-02-07,cancelled,88752.16
PO00115,SUP00058,2024-02-18,2024-03-25,approved,13981.86
PO00116,SUP00045,2023-12-02,2023-12-16,cancelled,14133.09
PO00117,SUP00029,2025-01-13,2025-01-25,in_transit,78810.69
PO00118,SUP00047,2025-11-13,2025-11-30,in_transit,57112.46
PO00119,SUP00003,2023-12-16,2024-01-13,cancelled,85040.99
PO00120,SUP00056,2023-11-04,2023-11-21,submitted,130388.37
PO00121,SUP00050,2023-04-16,2023-05-19,cancelled,46555.3
PO00122,SUP00050,2025-07-02,2025-07-27,draft,94154.7
PO00123,SUP00058,2023-09-27,2023-10-16,approved,1028.17
PO00124,SUP00001,2025-07-28,2025-09-04,received,128383.95
PO00125,SUP00052,2023-01-12,2023-02-26,submitted,132464.09
PO00126,SUP00014,2025-09-01,2025-10-07,draft,61817.63
PO00127,SUP00039,2023-01-14,2023-02-05,approved,132384.1
PO00128,SUP00040,2024-03-01,2024-03-11,draft,28133.58
PO00129,SUP00042,2024-12-15,2024-12-24,draft,22233.48
PO00130,SUP00043,2024-09-03,2024-10-01,draft,138097.51
PO00131,SUP00007,2025-05-03,2025-05-21,approved,24619.62
PO00132,SUP00040,2023-12-30,2024-02-04,approved,112525.55
PO00133,SUP00060,2023-03-15,2023-03-27,approved,115392.54
PO00134,SUP00024,2025-02-15,2025-02-26,received,113887.08
PO00135,SUP00005,2024-08-22,2024-09-28,cancelled,20614.6
PO00136,SUP00056,2024-07-16,2024-08-13,received,79294.38
PO00137,SUP00014,2024-03-04,2024-03-14,cancelled,16840.68
PO00138,SUP00041,2025-12-19,2025-12-31,cancelled,72807.62
PO00139,SUP00039,2024-08-11,2024-09-14,approved,91522.27
PO00140,SUP00017,2025-12-12,2026-01-24,approved,149256.14
PO00141,SUP00060,2023-09-23,2023-11-05,cancelled,74711.34
PO00142,SUP00041,2025-10-16,2025-11-23,received,121293.06
PO00143,SUP00015,2024-08-17,2024-09-05,draft,736.35
PO00144,SUP00030,2023-08-30,2023-09-19,in_transit,120034.87
PO00145,SUP00027,2023-04-04,2023-05-02,cancelled,52772.68
PO00146,SUP00014,2023-01-24,2023-02-12,approved,103657.55
PO00147,SUP00051,2023-05-19,2023-06-14,received,45392.46
PO00148,SUP00021,2023-01-13,2023-01-27,approved,103032.45
PO00149,SUP00026,2023-03-01,2023-03-19,approved,29505.33
PO00150,SUP00060,2025-09-08,2025-10-15,cancelled,119689.53
PO00151,SUP00009,2025-09-13,2025-09-29,received,94266.47
PO00152,SUP00058,2024-11-17,2024-12-23,in_transit,117706.36
PO00153,SUP00060,2023-04-25,2023-06-04,cancelled,45251.89
PO00154,SUP00044,2024-10-08,2024-11-19,submitted,80614.88
PO00155,SUP00037,2024-11-10,2024-12-09,submitted,10398.85
PO00156,SUP00018,2023-03-05,2023-04-02,cancelled,147551.01
PO00157,SUP00035,2023-12-06,2024-01-18,submitted,91050.52
PO00158,SUP00039,2023-08-28,2023-09-23,approved,105937.29
PO00159,SUP00046,2023-03-06,2023-03-30,in_transit,62373.5
PO00160,SUP00057,2024-05-01,2024-05-31,approved,68060.0
PO00161,SUP00014,2025-12-11,2026-01-06,approved,26664.41
PO00162,SUP00051,2023-03-18,2023-04-06,in_transit,137046.4
PO00163,SUP00033,2023-02-21,2023-03-30,submitted,135790.89
PO00164,SUP00013,2024-11-27,2025-01-03,received,109999.94
PO00165,SUP00020,2024-11-01,2024-11-17,draft,115537.47
PO00166,SUP00053,2025-11-23,2025-12-08,draft,31175.47
PO00167,SUP00030,2025-03-04,2025-04-13,approved,17817.48
PO00168,SUP00060,2023-04-01,2023-05-16,approved,130845.33
PO00169,SUP00030,2023-04-05,2023-04-18,cancelled,78326.37
PO00170,SUP00048,2024-10-01,2024-10-09,approved,86845.2
PO00171,SUP00041,2024-03-05,2024-04-01,approved,30483.05
PO00172,SUP00018,2025-12-26,2026-01-22,cancelled,116031.67
PO00173,SUP00008,2024-07-12,2024-07-28,draft,24045.65
PO00174,SUP00001,2025-11-18,2025-12-01,approved,31383.32
PO00175,SUP00036,2024-10-14,2024-11-07,cancelled,21662.75
PO00176,SUP00052,2024-08-03,2024-09-15,draft,37101.35
PO00177,SUP00020,2024-11-24,2025-01-04,submitted,66825.32
PO00178,SUP00002,2025-08-22,2025-09-01,draft,16336.07
PO00179,SUP00006,2025-05-23,2025-06-24,received,27257.96
PO00180,SUP00058,2025-07-02,2025-07-31,submitted,47209.88
PO00181,SUP00046,2025-12-28,2026-01-09,in_transit,146065.44
PO00182,SUP00037,2023-09-27,2023-10-09,cancelled,122021.23
PO00183,SUP00030,2023-07-19,2023-08-24,cancelled,46903.56
PO00184,SUP00046,2025-08-11,2025-09-17,submitted,35138.28
PO00185,SUP00010,2024-06-12,2024-07-12,cancelled,59115.5
PO00186,SUP00059,2024-11-07,2024-12-04,draft,68265.82
PO00187,SUP00005,2025-08-31,2025-09-14,in_transit,53040.4
PO00188,SUP00055,2023-12-16,2024-01-10,received,115307.26
PO00189,SUP00037,2023-09-18,2023-10-27,cancelled,15888.37
PO00190,SUP00051,2023-08-08,2023-09-04,draft,83644.4
PO00191,SUP00051,2024-09-10,2024-10-21,received,69415.74
PO00192,SUP00027,2024-05-03,2024-05-25,in_transit,82418.38
PO00193,SUP00025,2023-05-16,2023-06-13,cancelled,31631.6
PO00194,SUP00038,2025-06-01,2025-07-05,approved,85298.07
PO00195,SUP00035,2024-04-28,2024-05-16,draft,99560.53
PO00196,SUP00048,2025-09-23,2025-10-07,in_transit,89028.39
PO00197,SUP00021,2023-07-19,2023-08-23,in_transit,26838.01
PO00198,SUP00005,2023-08-11,2023-09-25,in_transit,115815.84
PO00199,SUP00021,2025-10-09,2025-10-19,submitted,14034.68
PO00200,SUP00057,2023-01-01,2023-01-17,in_transit,99301.77
PO00201,SUP00035,2024-08-19,2024-09-19,in_transit,92528.04
PO00202,SUP00013,2024-02-26,2024-03-24,cancelled,45310.43
PO00203,SUP00020,2025-06-09,2025-07-08,received,148548.24
PO00204,SUP00001,2025-11-11,2025-12-13,approved,127221.69
PO00205,SUP00004,2025-01-26,2025-03-09,draft,145200.98
PO00206,SUP00046,2025-01-05,2025-01-19,draft,129256.55
PO00207,SUP00016,2025-06-03,2025-07-17,approved,59443.11
PO00208,SUP00046,2025-02-22,2025-03-26,received,57543.97
PO00209,SUP00014,2023-12-22,2024-01-28,received,21290.8
PO00210,SUP00025,2025-01-07,2025-02-09,cancelled,23562.96
PO00211,SUP00009,2023-10-03,2023-10-10,draft,11226.03
PO00212,SUP00010,2025-09-23,2025-10-27,submitted,146258.77
PO00213,SUP00006,2023-10-09,2023-11-11,cancelled,129092.84
PO00214,SUP00039,2025-05-21,2025-06-08,in_transit,68431.96
PO00215,SUP00036,2025-07-10,2025-08-10,submitted,53618.43
PO00216,SUP00028,2023-01-16,2023-02-28,cancelled,74974.47
PO00217,SUP00016,2025-10-24,2025-11-17,received,61920.25
PO00218,SUP00037,2025-01-21,2025-01-30,received,146745.9
PO00219,SUP00031,2025-01-24,2025-02-07,cancelled,87250.18
PO00220,SUP00006,2023-10-18,2023-11-27,approved,147545.08
PO00221,SUP00030,2025-11-24,2025-12-06,received,78741.84
PO00222,SUP00006,2024-05-17,2024-06-23,cancelled,94784.1
PO00223,SUP00043,2023-06-09,2023-07-20,approved,119815.69
PO00224,SUP00040,2023-04-19,2023-05-17,draft,80487.47
PO00225,SUP00031,2025-07-18,2025-08-26,received,135955.23
PO00226,SUP00047,2024-11-09,2024-12-12,approved,53260.72
PO00227,SUP00019,2023-12-10,2023-12-19,received,104410.15
PO00228,SUP00048,2024-09-14,2024-10-27,cancelled,39436.25
PO00229,SUP00031,2023-12-13,2024-01-25,approved,8217.17
PO00230,SUP00052,2023-02-25,2023-03-22,submitted,72971.65
PO00231,SUP00033,2023-06-07,2023-07-01,received,38181.62
PO00232,SUP00018,2024-07-17,2024-08-09,draft,2623.35
PO00233,SUP00039,2023-12-24,2024-02-06,cancelled,110975.6
PO00234,SUP00029,2025-01-27,2025-02-14,cancelled,39557.26
PO00235,SUP00016,2025-09-20,2025-10-08,draft,120006.11
PO00236,SUP00022,2023-06-22,2023-07-08,submitted,89533.84
PO00237,SUP00054,2025-10-12,2025-11-14,submitted,115669.98
PO00238,SUP00043,2025-06-20,2025-07-07,cancelled,32023.08
PO00239,SUP00054,2024-12-07,2024-12-17,draft,96518.03
PO00240,SUP00004,2023-12-10,2024-01-15,approved,60112.35
PO00241,SUP00031,2025-12-26,2026-01-16,cancelled,57280.22
PO00242,SUP00025,2025-08-29,2025-09-21,in_transit,22199.9
PO00243,SUP00001,2024-08-14,2024-09-18,approved,57609.61
PO00244,SUP00034,2023-03-26,2023-04-08,cancelled,137697.97
PO00245,SUP00023,2025-06-03,2025-06-27,approved,50577.63
PO00246,SUP00052,2023-07-21,2023-08-13,in_transit,98324.32
PO00247,SUP00030,2024-05-10,2024-06-23,received,115689.34
PO00248,SUP00022,2024-01-04,2024-01-31,cancelled,82368.08
PO00249,SUP00001,2023-05-20,2023-05-27,received,61981.69
PO00250,SUP00007,2025-07-02,2025-07-31,approved,33302.74
PO00251,SUP00017,2024-01-31,2024-02-09,draft,4043.22
PO00252,SUP00004,2024-03-20,2024-05-04,cancelled,95893.39
PO00253,SUP00008,2023-06-26,2023-08-10,cancelled,19921.13
PO00254,SUP00049,2024-01-14,2024-01-28,approved,104500.22
PO00255,SUP00019,2025-08-14,2025-08-25,approved,95997.69
PO00256,SUP00050,2025-05-24,2025-06-20,draft,38971.82
PO00257,SUP00018,2023-05-08,2023-06-08,draft,58594.27
PO00258,SUP00017,2024-06-26,2024-07-14,in_transit,66365.94
PO00259,SUP00060,2024-02-15,2024-03-18,in_transit,27177.1
PO00260,SUP00007,2023-10-22,2023-12-02,submitted,115421.74
PO00261,SUP00040,2023-08-06,2023-09-10,draft,107452.35
PO00262,SUP00003,2023-05-30,2023-06-10,approved,85916.01
PO00263,SUP00050,2025-07-02,2025-07-10,submitted,134528.6
PO00264,SUP00042,2023-01-02,2023-01-11,approved,99858.57
PO00265,SUP00010,2024-11-06,2024-12-08,received,86408.72
PO00266,SUP00046,2025-10-01,2025-11-07,cancelled,65690.62
PO00267,SUP00050,2023-05-24,2023-07-04,in_transit,34264.1
PO00268,SUP00045,2025-09-14,2025-09-28,approved,85302.96
PO00269,SUP00022,2024-09-12,2024-10-14,cancelled,8751.6
PO00270,SUP00006,2025-01-18,2025-02-28,approved,128074.64
PO00271,SUP00006,2025-07-30,2025-08-24,submitted,97344.99
PO00272,SUP00036,2023-03-22,2023-04-22,approved,99279.75
PO00273,SUP00045,2025-03-09,2025-03-22,approved,94777.25
PO00274,SUP00032,2023-06-23,2023-07-28,submitted,110430.97
PO00275,SUP00003,2024-01-31,2024-02-08,received,108100.99
PO00276,SUP00016,2025-09-28,2025-10-29,received,9917.4
PO00277,SUP00042,2024-09-22,2024-10-30,in_transit,80324.04
PO00278,SUP00002,2023-03-17,2023-04-14,cancelled,8880.14
PO00279,SUP00003,2025-04-10,2025-04-24,cancelled,32145.89
PO00280,SUP00043,2025-12-07,2026-01-12,received,141043.42
PO00281,SUP00010,2024-04-22,2024-05-03,submitted,6013.21
PO00282,SUP00032,2023-02-09,2023-03-18,received,136123.24
PO00283,SUP00003,2024-05-12,2024-05-27,cancelled,2647.6
PO00284,SUP00004,2024-09-21,2024-10-04,submitted,68699.6
PO00285,SUP00054,2023-05-11,2023-05-24,received,17569.86
PO00286,SUP00052,2024-03-27,2024-04-07,in_transit,120765.8
PO00287,SUP00022,2025-04-03,2025-04-30,cancelled,18559.96
PO00288,SUP00037,2023-10-09,2023-11-05,submitted,125545.85
PO00289,SUP00049,2023-04-04,2023-05-18,draft,26430.42
PO00290,SUP00008,2024-07-14,2024-07-30,submitted,113753.74
PO00291,SUP00045,2025-01-27,2025-03-10,submitted,25168.42
PO00292,SUP00060,2023-03-25,2023-04-09,cancelled,15445.19
PO00293,SUP00040,2025-02-09,2025-02-26,in_transit,2836.73
PO00294,SUP00006,2023-01-14,2023-01-21,draft,27322.22
PO00295,SUP00046,2024-08-04,2024-09-06,in_transit,104178.78
PO00296,SUP00045,2023-09-17,2023-10-07,approved,21891.64
PO00297,SUP00034,2025-07-11,2025-08-13,submitted,36268.44
PO00298,SUP00040,2023-03-19,2023-05-03,in_transit,27410.07
PO00299,SUP00040,2023-06-30,2023-07-26,draft,52504.11
PO00300,SUP00036,2024-04-27,2024-05-16,received,18067.42
PO00301,SUP00007,2025-01-11,2025-02-21,in_transit,76377.34
PO00302,SUP00050,2024-03-02,2024-03-26,draft,8433.82
PO00303,SUP00051,2023-11-02,2023-12-09,submitted,74878.47
PO00304,SUP00043,2023-03-30,2023-04-09,approved,96906.7
PO00305,SUP00014,2025-06-09,2025-07-02,in_transit,50477.05
PO00306,SUP00003,2023-08-02,2023-08-12,submitted,138766.77
PO00307,SUP00011,2023-03-01,2023-04-08,draft,77478.11
PO00308,SUP00058,2024-04-26,2024-05-31,approved,89109.65
PO00309,SUP00027,2024-02-12,2024-03-10,draft,34894.45
PO00310,SUP00021,2024-04-11,2024-04-24,in_transit,35949.2
PO00311,SUP00056,2024-02-14,2024-03-16,draft,133759.09
PO00312,SUP00031,2025-09-19,2025-09-29,submitted,133628.08
PO00313,SUP00014,2025-07-20,2025-08-07,submitted,58405.88
PO00314,SUP00030,2024-02-02,2024-03-02,submitted,146345.61
PO00315,SUP00022,2023-09-18,2023-09-27,draft,103985.47
PO00316,SUP00018,2023-10-07,2023-10-21,in_transit,127821.88
PO00317,SUP00027,2023-12-17,2024-01-14,approved,33368.11
PO00318,SUP00039,2023-11-18,2023-12-05,received,86929.16
PO00319,SUP00055,2024-04-15,2024-04-27,received,62048.57
PO00320,SUP00032,2024-03-19,2024-05-02,in_transit,71286.6
PO00321,SUP00018,2023-01-30,2023-03-05,submitted,110558.74
PO00322,SUP00016,2024-11-01,2024-12-05,received,87130.32
PO00323,SUP00010,2023-01-11,2023-02-13,draft,147037.51
PO00324,SUP00031,2025-10-29,2025-11-07,in_transit,64141.8
PO00325,SUP00031,2023-07-20,2023-08-24,draft,74545.11
PO00326,SUP00036,2023-01-26,2023-02-28,submitted,142515.12
PO00327,SUP00023,2024-08-28,2024-09-19,draft,97322.21
PO00328,SUP00002,2025-09-09,2025-10-05,in_transit,24689.52
PO00329,SUP00055,2023-02-19,2023-03-27,submitted,69832.22
PO00330,SUP00056,2025-04-10,2025-04-28,approved,118583.88
PO00331,SUP00041,2025-08-08,2025-08-15,draft,129127.21
PO00332,SUP00025,2024-11-12,2024-12-22,in_transit,5390.77
PO00333,SUP00049,2024-07-06,2024-08-16,submitted,86496.79
PO00334,SUP00051,2023-06-15,2023-07-13,draft,110496.24
PO00335,SUP00033,2025-01-15,2025-01-25,approved,17089.5
PO00336,SUP00030,2023-03-25,2023-04-24,cancelled,55281.73
PO00337,SUP00036,2023-05-18,2023-06-29,submitted,106545.9
PO00338,SUP00009,2024-11-16,2024-12-08,cancelled,81175.26
PO00339,SUP00031,2024-03-05,2024-03-26,approved,48409.34
PO00340,SUP00033,2025-05-16,2025-06-09,approved,8641.77
PO00341,SUP00023,2025-07-15,2025-08-22,draft,75466.79
PO00342,SUP00031,2025-12-25,2026-02-04,in_transit,134967.95
PO00343,SUP00040,2025-01-23,2025-02-03,in_transit,28658.86
PO00344,SUP00006,2023-06-14,2023-07-16,approved,134742.91
PO00345,SUP00005,2023-08-12,2023-08-29,cancelled,41753.44
PO00346,SUP00010,2025-10-13,2025-10-29,received,131311.47
PO00347,SUP00041,2023-02-16,2023-03-13,cancelled,62772.23
PO00348,SUP00035,2023-09-28,2023-11-04,in_transit,52331.69
PO00349,SUP00048,2023-02-13,2023-03-10,draft,28764.57
PO00350,SUP00056,2024-04-20,2024-05-30,in_transit,96878.47
PO00351,SUP00038,2024-12-03,2024-12-30,cancelled,73179.18
PO00352,SUP00045,2025-12-21,2026-02-01,approved,67065.82
PO00353,SUP00037,2023-09-28,2023-10-24,approved,26174.7
PO00354,SUP00015,2025-09-18,2025-10-18,draft,145623.25
PO00355,SUP00010,2024-12-24,2025-01-18,submitted,68661.02
PO00356,SUP00040,2023-11-26,2024-01-06,submitted,43144.36
PO00357,SUP00054,2023-11-11,2023-11-28,draft,36066.85
PO00358,SUP00021,2023-09-17,2023-10-22,submitted,39430.88
PO00359,SUP00014,2023-03-13,2023-04-09,submitted,146714.37
PO00360,SUP00024,2025-07-07,2025-08-17,received,146332.12
PO00361,SUP00020,2023-09-06,2023-09-14,in_transit,60982.07
PO00362,SUP00050,2023-10-25,2023-11-30,submitted,139207.79
PO00363,SUP00001,2025-11-05,2025-12-03,approved,97262.97
PO00364,SUP00031,2024-08-16,2024-09-28,received,100199.72
PO00365,SUP00047,2025-06-24,2025-07-22,cancelled,103527.47
PO00366,SUP00031,2023-03-24,2023-04-08,draft,101862.25
PO00367,SUP00020,2023-02-20,2023-03-24,submitted,92819.54
PO00368,SUP00029,2025-01-01,2025-01-13,received,49291.79
PO00369,SUP00042,2024-02-04,2024-03-19,approved,79201.86
PO00370,SUP00013,2023-02-16,2023-02-28,in_transit,80992.64
PO00371,SUP00044,2023-06-28,2023-08-06,in_transit,59466.33
PO00372,SUP00021,2025-11-13,2025-11-23,approved,136312.82
PO00373,SUP00026,2023-10-30,2023-12-03,approved,55759.68
PO00374,SUP00001,2024-08-05,2024-09-03,in_transit,53027.58
PO00375,SUP00056,2023-06-29,2023-07-19,in_transit,109314.08
PO00376,SUP00048,2025-05-01,2025-06-05,cancelled,43650.79
PO00377,SUP00058,2025-05-18,2025-06-20,received,21365.37
PO00378,SUP00039,2023-06-26,2023-07-12,in_transit,31563.68
PO00379,SUP00056,2025-12-11,2026-01-08,received,10384.31
PO00380,SUP00049,2025-02-08,2025-02-20,cancelled,1489.52
PO00381,SUP00059,2024-07-13,2024-08-15,in_transit,26646.51
PO00382,SUP00046,2023-10-08,2023-10-27,in_transit,28307.96
PO00383,SUP00019,2025-10-01,2025-10-10,approved,123508.48
PO00384,SUP00054,2024-09-14,2024-10-22,in_transit,84112.52
PO00385,SUP00015,2023-02-24,2023-03-03,approved,23526.58
PO00386,SUP00041,2025-08-25,2025-09-08,approved,98245.04
PO00387,SUP00027,2024-01-03,2024-02-10,cancelled,136065.58
PO00388,SUP00016,2023-02-28,2023-03-14,in_transit,114825.39
PO00389,SUP00005,2025-01-10,2025-02-23,in_transit,72332.64
PO00390,SUP00056,2024-06-12,2024-07-19,draft,146151.68
PO00391,SUP00024,2025-11-15,2025-12-28,approved,3122.99
PO00392,SUP00011,2023-04-30,2023-05-16,cancelled,48292.33
PO00393,SUP00009,2025-01-01,2025-01-18,approved,8406.81
PO00394,SUP00027,2024-12-30,2025-01-09,received,43833.5
PO00395,SUP00041,2023-06-07,2023-07-16,cancelled,29475.32
PO00396,SUP00012,2023-07-13,2023-08-27,received,113017.96
PO00397,SUP00021,2024-10-09,2024-11-04,cancelled,41083.12
PO00398,SUP00045,2025-01-12,2025-01-25,approved,80395.84
PO00399,SUP00053,2023-10-22,2023-10-29,approved,20973.94
PO00400,SUP00024,2025-09-20,2025-10-23,submitted,51376.81
